Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2009 - Q3,,,,,,0.0,0.0,0.0
2009 - Q4,265548.0,190258.0,187508.0,2750.0,75290.0,876.0,18590.0,0.0
2010 - Q1,285927.0,209848.0,209681.0,167.0,76079.0,1063.0,18785.0,16.64
2010 - Q2,263918.0,190447.0,187864.0,2583.0,73471.0,1365.0,18141.0,13.92
2010 - Q3,251422.0,176559.0,173988.0,2571.0,74863.0,1201.0,18485.0,12.24
2010 - Q4,233479.0,156481.0,154029.0,2452.0,76998.0,1049.0,19012.0,11.73
2011 - Q1,229413.0,152646.0,150169.0,2477.0,76767.0,951.0,18955.0,12.09
2011 - Q2,219078.0,145457.0,143011.0,2446.0,73621.0,1081.0,18178.0,8.7
2011 - Q3,190136.0,115365.0,113110.0,2255.0,74771.0,1141.0,18462.0,5.7
2011 - Q4,189234.0,111167.0,108851.0,2316.0,78068.0,1202.0,19276.0,4.33
2012 - Q1,193246.0,116484.0,114147.0,2337.0,76762.0,1159.0,18954.0,5.52
2012 - Q2,181213.0,109165.0,106956.0,2209.0,72048.0,750.0,17790.0,9.6
2012 - Q3,185716.0,112876.0,110602.0,2274.0,72840.0,695.0,17985.0,10.5
2012 - Q4,191301.0,114525.0,112421.0,2104.0,76775.0,1235.0,18957.0,6.88
2013 - Q1,203966.0,124235.0,122085.0,2150.0,79731.0,1557.0,19687.0,5.08
2013 - Q2,207323.0,132368.0,130541.0,1827.0,74955.0,1521.0,18507.0,5.66
2013 - Q3,197357.0,120865.0,118987.0,1878.0,76492.0,1706.0,18887.0,5.75
2013 - Q4,207503.0,125112.0,123394.0,1718.0,82390.0,837.0,20343.0,11.95
2014 - Q1,189246.0,106243.0,104475.0,1768.0,83003.0,566.0,20495.0,18.55
2014 - Q2,191606.0,110367.0,108761.0,1606.0,81239.0,778.0,20059.0,14.78
2014 - Q3,200048.0,117800.0,116141.0,1659.0,82248.0,633.0,20308.0,14.85
2014 - Q4,261309.0,177633.0,176134.0,1499.0,83676.0,874.0,20661.0,11.33
2015 - Q1,214042.0,128627.0,127102.0,1525.0,85416.0,1214.0,21090.0,10.63
2015 - Q2,205826.0,122657.0,121263.0,1394.0,83170.0,1203.0,20536.0,10.56
2015 - Q3,197872.0,115146.0,113761.0,1385.0,82726.0,967.0,20426.0,16.44
2015 - Q4,213148.0,128277.0,125704.0,2573.0,84871.0,1146.0,20956.0,13.96
2016 - Q1,219784.0,134058.0,131454.0,2604.0,85726.0,918.0,21167.0,17.43
2016 - Q2,230748.0,148635.0,146030.0,2605.0,82113.0,764.0,20275.0,20.81
2016 - Q3,219402.0,135615.0,93996.0,41619.0,83787.0,1230.0,20688.0,11.14
2016 - Q4,198244.0,23515.0,303.0,23212.0,85420.0,1101.0,21522.0,12.71
2017 - Q1,182494.0,96625.0,73413.0,23212.0,85869.0,1001.0,21635.0,13.79
2017 - Q2,177278.0,94631.0,72924.0,21707.0,82648.0,1168.0,20823.0,15.76
2017 - Q3,185525.0,100432.0,84972.0,15460.0,85093.0,1324.0,21439.0,14.35
2017 - Q4,205729.0,119292.0,110514.0,8778.0,86437.0,1086.0,21545.0,16.3
2018 - Q1,230830.0,143647.0,136870.0,6777.0,87184.0,1179.0,21731.0,18.65
2018 - Q2,206148.0,121973.0,121264.0,709.0,84175.0,1237.0,20981.0,17.79
2018 - Q3,188316.0,103264.0,101971.0,1293.0,85052.0,813.0,21199.0,25.7
2018 - Q4,212164.0,124989.0,123697.0,1292.0,87175.0,1168.0,21728.0,17.9
2019 - Q1,178206.0,89951.0,89297.0,654.0,88255.0,1237.0,21998.0,16.41
2019 - Q2,211108.0,125969.0,125286.0,683.0,85139.0,1326.0,21221.0,12.44
2019 - Q3,172642.0,86059.0,84843.0,1216.0,86582.0,1499.0,21581.0,10.67
2019 - Q4,189817.0,101758.0,100722.0,1036.0,88059.0,1328.0,21949.0,12.43
2020 - Q1,172352.0,83607.0,82934.0,673.0,88746.0,1234.0,22120.0,14.75
2020 - Q2,170035.0,84720.0,84047.0,673.0,85315.0,1174.0,21265.0,11.07
2020 - Q3,149735.0,63912.0,63239.0,673.0,85823.0,951.0,21392.0,12.83
2020 - Q4,158478.0,74553.0,73880.0,673.0,83925.0,113.0,20919.0,98.96
2021 - Q1,145838.0,61300.0,60637.0,663.0,84538.0,89.0,21071.0,157.16
2021 - Q2,148733.0,67359.0,66858.0,501.0,81374.0,110.0,20283.0,125.04
2021 - Q3,148103.0,66090.0,66090.0,0.0,82013.0,134.0,20442.0,104.72
2021 - Q4,170434.0,88877.0,88877.0,0.0,81557.0,501.0,20328.0,29.16
2022 - Q1,151459.0,69631.0,69631.0,0.0,81828.0,412.0,20396.0,53.7
2022 - Q2,130953.0,50331.0,50331.0,0.0,80623.0,376.0,20095.0,53.16
2022 - Q3,137403.0,56252.0,56252.0,0.0,81151.0,351.0,20227.0,52.98
2022 - Q4,154404.0,72979.0,72979.0,0.0,81425.0,533.0,20295.0,36.4
2023 - Q1,144493.0,62596.0,62596.0,0.0,81897.0,580.0,20413.0,21.19
2023 - Q2,137776.0,59316.0,59316.0,0.0,78460.0,643.0,19556.0,21.47
2023 - Q3,142422.0,63489.0,63489.0,0.0,78933.0,625.0,19674.0,20.82
