Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2008,302938.0,223061.0,223057.0,4.0,79877.0,1262.0,19723.0,0.0
2009,265548.0,190258.0,187508.0,2750.0,75290.0,1138.0,18590.0,0.0
2010,233416.0,157084.0,154646.0,2438.0,76332.0,1195.0,18847.0,10.29
2011,189355.0,111183.0,108882.0,2301.0,78172.0,1268.0,19302.0,4.1
2012,191252.0,112976.0,110872.0,2104.0,78276.0,1613.0,19722.0,5.27
2013,207390.0,124769.0,123051.0,1718.0,82621.0,875.0,20817.0,11.42
2014,261294.0,177609.0,176109.0,1500.0,83685.0,903.0,21085.0,10.96
2015,207220.0,122320.0,119600.0,2720.0,84900.0,1110.0,21391.0,14.41
2016,198381.0,112938.0,89726.0,23212.0,85443.0,1073.0,21528.0,12.99
2017,220717.0,134343.0,125565.0,8778.0,86375.0,1049.0,21529.0,16.88
2018,207632.0,120464.0,119811.0,653.0,87168.0,1199.0,21727.0,17.42
2019,188497.0,100479.0,99807.0,672.0,88017.0,1329.0,21939.0,12.41
2020,158457.0,74532.0,73859.0,673.0,83925.0,112.0,20919.0,99.77
2021,170257.0,86223.0,86223.0,0.0,84034.0,1118.0,20946.0,13.06
2022,154406.0,72955.0,72955.0,0.0,81452.0,537.0,20302.0,36.1
