Date,Sales
Q1/2009,26184707359
Q2/2009,12334882711
Q3/2009,15556063276
Q4/2009,44352115738
Q1/2010,13290926846
Q2/2010,24967121007
Q3/2010,9253948401
Q4/2010,22193427578
Q1/2011,9473455923
Q2/2011,6703768006
Q3/2011,10563667726
Q4/2011,13018951671
Q1/2012,5718449778
Q2/2012,6550247910
Q3/2012,37138158421
Q4/2012,10281763836
Q1/2013,14593307589
Q2/2013,36298482267
Q3/2013,38833480343
Q4/2013,45626640783
Q1/2014,35922236379
Q2/2014,24755306052
Q3/2014,42619801831
Q4/2014,109165232462
Q1/2015,54322637658
Q2/2015,32987131334
Q3/2015,34483797037
Q4/2015,77862365000
Q1/2016,33259681640
Q2/2016,47145872261
Q3/2016,54387462410
Q4/2016,70859683234
Q1/2017,29408041553
Q2/2017,30280556570
Q3/2017,47057419707
Q4/2017,70689633255
Q1/2018,41729207961
Q2/2018,56534258101
Q3/2018,62342649526
Q4/2018,107474436545
Q1/2019,81598356496
Q2/2019,66885976675
Q3/2019,95231479881
Q4/2019,150380755510
Q1/2020,92001261423
Q2/2020,102731021274
Q3/2020,101132290927
Q4/2020,137825067562
Q1/2021,90303129251
Q2/2021,126602300187
Q3/2021,113678222258
Q4/2021,151507473771
Q1/2022,94693477587
Q2/2022,126193564585
Q3/2022,121806029627
Q4/2022,212586135787
Q1/2023,173803736517
Q2/2023,217089614320
Q3/2023,189476670732
