tradingTime,lastPrice
2024-01-12,13.0
2024-01-11,13.0
2024-01-10,13.0
2024-01-09,13.0
2024-01-08,13.0
2024-01-05,13.0
2024-01-04,13.0
2024-01-03,13.0
2024-01-02,13.0
2023-12-29,13.0
2023-12-28,13.0
2023-12-27,13.0
2023-12-26,13.0
2023-12-25,13.0
2023-12-22,13.0
2023-12-21,13.0
2023-12-20,13.0
2023-12-19,13.0
2023-12-18,13.0
2023-12-15,13.0
2023-12-14,13.0
2023-12-13,13.0
2023-12-12,13.0
2023-12-11,13.0
2023-12-08,13.0
2023-12-07,13.0
2023-12-06,13.0
2023-12-05,13.0
2023-12-04,13.0
2023-12-01,13.0
2023-11-30,13.0
2023-11-29,13.0
2023-11-28,13.0
2023-11-27,13.0
2023-11-24,13.0
2023-11-23,13.0
2023-11-22,13.0
2023-11-21,13.0
2023-11-20,13.0
2023-11-17,13.0
2023-11-16,13.0
2023-11-15,13.0
2023-11-14,13.0
2023-11-13,13.0
2023-11-10,13.0
2023-11-09,13.0
2023-11-08,13.0
2023-11-07,13.0
2023-11-06,13.0
2023-11-03,13.0
2023-11-02,13.0
2023-11-01,13.0
2023-10-31,13.0
2023-10-30,13.0
2023-10-27,12.5
2023-10-26,12.5
2023-10-25,13.0
2023-10-24,13.0
2023-10-23,13.0
2023-10-20,13.0
2023-10-19,13.0
2023-10-18,13.0
2023-10-17,13.0
2023-10-16,13.0
2023-10-13,13.0
2023-10-12,13.0
2023-10-11,13.0
2023-10-10,13.0
2023-10-09,13.0
2023-10-06,13.0
2023-10-05,13.0
2023-10-04,13.0
2023-10-03,13.0
2023-10-02,13.0
2023-09-29,13.0
2023-09-28,13.0
2023-09-27,13.0
2023-09-26,13.0
2023-09-25,13.0
2023-09-22,13.0
2023-09-21,13.0
2023-09-20,13.0
2023-09-19,13.0
2023-09-18,13.0
2023-09-15,13.0
2023-09-14,13.0
2023-09-13,13.0
2023-09-12,13.0
2023-09-11,13.0
2023-09-08,13.0
2023-09-07,13.0
2023-09-06,13.0
2023-09-05,13.0
2023-08-31,13.0
2023-08-30,13.0
2023-08-29,13.0
2023-08-28,13.0
2023-08-25,13.0
2023-08-24,13.0
2023-08-23,13.0
2023-08-22,13.0
2023-08-21,13.0
2023-08-18,12.3
2023-08-17,12.3
2023-08-16,12.3
2023-08-15,12.3
2023-08-14,12.3
2023-08-11,12.5
2023-08-10,12.5
2023-08-09,12.5
2023-08-08,13.0
2023-08-07,13.0
2023-08-04,13.0
2023-08-03,13.0
2023-08-02,12.0
2023-08-01,12.0
2023-07-31,12.0
2023-07-28,12.0
2023-07-27,12.5
2023-07-26,13.5
2023-07-25,15.0
2023-07-24,15.0
2023-07-21,15.0
2023-07-20,13.7
2023-07-19,12.5
2023-07-18,12.5
2023-07-17,12.5
2023-07-14,12.5
2023-07-13,12.5
2023-07-12,13.0
2023-07-11,13.0
2023-07-10,13.0
2023-07-07,13.0
2023-07-06,13.0
2023-07-05,14.4
2023-07-04,13.1
2023-07-03,12.8
2023-06-30,13.8
2023-06-29,13.8
2023-06-28,13.8
2023-06-27,13.8
2023-06-26,13.8
2023-06-23,13.8
2023-06-22,13.8
2023-06-21,13.8
2023-06-20,13.8
2023-06-19,12.6
2023-06-16,12.6
2023-06-15,12.6
2023-06-14,12.6
2023-06-13,12.6
2023-06-12,12.6
2023-06-09,12.6
2023-06-08,12.6
2023-06-07,12.6
2023-06-06,12.6
2023-06-05,12.6
2023-06-02,12.6
2023-06-01,12.6
2023-05-31,12.6
2023-05-30,12.6
2023-05-29,12.6
2023-05-26,12.6
2023-05-25,12.5
2023-05-24,11.9
2023-05-23,11.9
2023-05-22,11.9
2023-05-19,12.36
2023-05-18,12.63
2023-05-17,11.72
2023-05-16,11.72
2023-05-15,10.8
2023-05-12,11.99
2023-05-11,10.98
2023-05-10,10.98
2023-05-09,10.98
2023-05-08,10.98
2023-05-05,10.98
2023-05-04,10.98
2023-04-28,10.98
2023-04-27,10.98
2023-04-26,10.98
2023-04-25,10.25
2023-04-24,10.25
2023-04-21,10.25
2023-04-20,10.25
2023-04-19,10.25
2023-04-18,10.25
2023-04-17,10.25
2023-04-14,10.25
2023-04-13,10.25
2023-04-12,10.25
2023-04-11,10.25
2023-04-10,11.26
2023-04-07,11.26
2023-04-06,11.26
2023-04-05,11.26
2023-04-04,11.26
2023-04-03,11.26
2023-03-31,11.26
2023-03-30,11.26
2023-03-29,11.26
2023-03-28,10.25
2023-03-27,9.34
2023-03-24,9.34
2023-03-23,9.34
2023-03-22,9.34
2023-03-21,9.89
2023-03-20,10.89
2023-03-17,10.89
2023-03-16,10.89
2023-03-15,12.08
2023-03-14,13.36
2023-03-13,13.36
2023-03-10,13.36
2023-03-09,12.36
2023-03-08,12.63
2023-03-07,11.63
2023-03-06,12.91
2023-03-03,12.91
2023-03-02,12.91
2023-03-01,12.91
2023-02-28,12.91
2023-02-27,12.91
2023-02-24,12.91
2023-02-23,12.91
2023-02-22,12.91
2023-02-21,12.08
2023-02-20,13.36
2023-02-17,13.36
2023-02-16,12.27
2023-02-15,12.36
2023-02-14,13.64
2023-02-13,13.64
2023-02-10,13.64
2023-02-09,13.64
2023-02-08,13.64
2023-02-07,13.64
2023-02-06,13.73
2023-02-03,13.73
2023-02-02,13.91
2023-02-01,13.91
2023-01-31,15.38
2023-01-30,14.1
2023-01-27,14.46
2023-01-19,16.02
2023-01-18,17.76
2023-01-17,17.76
2023-01-16,17.76
2023-01-13,17.76
2023-01-12,17.76
2023-01-11,17.76
2023-01-10,17.76
2023-01-09,17.76
2023-01-06,17.76
2023-01-05,17.76
2023-01-04,17.76
2023-01-03,17.76
2022-12-30,17.76
2022-12-29,17.76
2022-12-28,17.76
2022-12-27,17.76
2022-12-26,17.76
2022-12-23,17.76
2022-12-22,17.76
2022-12-21,17.76
2022-12-20,17.76
2022-12-19,19.68
2022-12-16,19.68
2022-12-15,19.68
2022-12-14,19.68
2022-12-13,19.68
2022-12-12,19.68
2022-12-09,19.68
2022-12-08,19.68
2022-12-07,19.68
2022-12-06,19.68
2022-12-05,19.68
2022-12-02,19.68
2022-12-01,19.68
2022-11-30,19.68
2022-11-29,19.68
2022-11-28,19.68
2022-11-25,19.68
2022-11-24,19.68
2022-11-23,19.68
2022-11-22,19.68
2022-11-21,19.68
2022-11-18,18.31
2022-11-17,18.31
2022-11-16,18.31
2022-11-15,18.31
2022-11-14,18.31
2022-11-11,18.31
2022-11-10,18.31
2022-11-09,18.31
2022-11-08,18.31
2022-11-07,18.31
2022-11-04,18.31
2022-11-03,18.31
2022-11-02,18.31
2022-11-01,18.31
2022-10-31,18.31
2022-10-28,18.31
2022-10-27,18.31
2022-10-26,18.31
2022-10-25,18.31
2022-10-24,18.31
2022-10-21,18.31
2022-10-20,18.31
2022-10-19,18.31
2022-10-18,18.31
2022-10-17,17.03
2022-10-14,17.03
2022-10-13,17.03
2022-10-12,17.03
2022-10-11,17.03
2022-10-10,17.03
2022-10-07,17.03
2022-10-06,17.03
2022-10-05,17.03
2022-10-04,17.03
2022-10-03,17.03
2022-09-30,17.03
2022-09-29,17.03
2022-09-28,17.03
2022-09-27,17.03
2022-09-26,17.03
2022-09-23,17.03
2022-09-22,17.03
2022-09-21,17.03
2022-09-20,17.03
2022-09-19,17.03
2022-09-16,17.03
2022-09-15,18.86
2022-09-14,18.86
2022-09-13,18.86
2022-09-12,18.86
2022-09-09,18.86
2022-09-08,18.86
2022-09-07,18.86
2022-09-06,18.95
2022-09-05,18.95
2022-08-31,18.95
2022-08-30,17.39
2022-08-29,17.39
2022-08-26,18.31
2022-08-25,19.22
2022-08-24,19.22
2022-08-23,20.14
2022-08-22,19.22
2022-08-19,19.22
2022-08-18,20.14
2022-08-17,20.14
2022-08-16,20.14
2022-08-15,19.68
2022-08-12,19.68
2022-08-11,19.68
2022-08-10,21.79
2022-08-09,24.17
2022-08-08,24.17
2022-08-05,24.17
2022-08-04,24.17
2022-08-03,24.17
2022-08-02,22.79
2022-08-01,21.88
2022-07-29,20.14
2022-07-28,22.34
2022-07-27,22.34
2022-07-26,22.34
2022-07-25,22.88
2022-07-22,22.88
2022-07-21,22.88
2022-07-20,22.88
2022-07-19,22.88
2022-07-18,22.88
2022-07-15,22.88
2022-07-14,22.88
2022-07-13,22.88
2022-07-12,22.88
2022-07-11,22.88
2022-07-08,22.88
2022-07-07,22.88
2022-07-06,22.88
2022-07-05,22.88
2022-07-04,21.05
2022-07-01,19.22
2022-06-30,18.31
2022-06-29,18.31
2022-06-28,18.31
2022-06-27,18.31
2022-06-24,18.31
2022-06-23,18.31
2022-06-22,18.31
2022-06-21,18.31
2022-06-20,18.31
2022-06-17,18.31
2022-06-16,18.31
2022-06-15,18.31
2022-06-14,18.31
2022-06-13,18.31
2022-06-10,18.31
2022-06-09,18.31
2022-06-08,18.31
2022-06-07,18.31
2022-06-06,18.31
2022-06-03,18.31
2022-06-02,18.31
2022-06-01,18.31
2022-05-31,18.31
2022-05-30,18.31
2022-05-27,18.31
2022-05-26,18.31
2022-05-25,18.31
2022-05-24,18.31
2022-05-23,18.31
2022-05-20,18.31
2022-05-19,18.31
2022-05-18,18.31
2022-05-17,18.31
2022-05-16,18.31
2022-05-13,18.31
2022-05-12,18.31
2022-05-11,18.31
2022-05-10,18.31
2022-05-09,18.31
2022-05-06,18.31
2022-05-05,18.22
2022-05-04,20.04
2022-04-29,20.04
2022-04-28,20.04
2022-04-27,20.04
2022-04-26,20.04
2022-04-25,20.04
2022-04-22,20.04
2022-04-21,20.04
2022-04-20,20.04
2022-04-19,20.04
2022-04-18,19.96
2022-04-15,20.04
2022-04-14,20.04
2022-04-13,20.04
2022-04-12,19.78
2022-04-08,19.35
2022-04-07,19.35
2022-04-06,19.35
2022-04-05,19.35
2022-04-04,17.61
2022-04-01,19.09
2022-03-31,19.18
2022-03-30,21.17
2022-03-29,19.26
2022-03-28,19.26
2022-03-25,17.53
2022-03-24,19.44
2022-03-23,21.52
2022-03-22,19.61
2022-03-21,17.87
2022-03-18,17.44
2022-03-17,17.44
2022-03-16,17.44
2022-03-15,17.44
2022-03-14,17.01
2022-03-11,18.48
2022-03-10,18.48
2022-03-09,16.83
2022-03-08,16.83
2022-03-07,16.83
2022-03-04,16.75
2022-03-03,18.39
2022-03-02,16.75
2022-03-01,16.66
2022-02-28,16.66
2022-02-25,16.66
2022-02-24,16.66
2022-02-23,16.66
2022-02-22,16.66
2022-02-21,18.39
2022-02-18,18.39
2022-02-17,18.39
2022-02-16,18.39
2022-02-15,16.75
2022-02-14,18.39
2022-02-11,18.39
2022-02-10,18.39
2022-02-09,18.39
2022-02-08,18.39
2022-02-07,18.39
2022-01-28,18.39
2022-01-27,18.39
2022-01-26,18.39
2022-01-25,18.39
2022-01-24,18.39
2022-01-21,18.39
2022-01-20,18.39
2022-01-19,18.39
2022-01-18,18.39
2022-01-17,18.39
2022-01-14,18.39
2022-01-13,18.39
2022-01-12,18.39
2022-01-11,18.39
2022-01-10,18.39
2022-01-07,18.39
