Item,Q4 2007,Q4 2008,Q2 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,,,,211309893104.0,230258347047.0,196401355787.0,197125676674.0,180752513310.0,178476297860.0,163411462615.0,135446967475.0,137267120767.0,142865282652.0,131138516353.0,135794947821.0,137099328074.0,149845882547.0,155670741168.0,145868436362.0,154333750763.0,138135715285.0,140511436068.0,148970564685.0,209354179099.0,162187345502.0,152966112413.0,152110186350.0,167814373995.0,127348368660.0,122791824141.0,118252158383.0,109260401812.0,95533409248.0,92285856694.0,102946496280.0,126986436395.0,154133680264.0,131106074768.0,116695327107.0,141731911614.0,109657782729.0,110999061223.0,108126970784.0,121820530204.0,101839789631.0,99745724233.0,84546380397.0,97776718573.0,85107410034.0,86590518237.0,89465956419.0,114403437650.0,95172456839.0,75458476510.0,83893258505.0,102336826232.0,93877180345.0,91854963574.0,97636795398.0
I. Tiền và các khoản tương đương tiền,,,,112646118935.0,95462071499.0,125977851802.0,118144244622.0,114432892954.0,128073807940.0,124133783497.0,106235263691.0,106468232552.0,114788938978.0,100333862687.0,110951648618.0,108217013506.0,104248500753.0,108815911638.0,106086628575.0,88296121905.0,79348985472.0,87549137397.0,77519286950.0,92378334986.0,85976234603.0,79853563359.0,69361523942.0,58514567226.0,36937759608.0,31342750273.0,32911788772.0,29193177801.0,36303083993.0,33931518791.0,35676701997.0,34065397641.0,53270831948.0,39471980480.0,26255261312.0,25365235180.0,22836792204.0,32171841368.0,35060906339.0,30625854143.0,29499019156.0,24463207184.0,26574976664.0,39811612225.0,28970492036.0,33666360573.0,35938009109.0,58538788298.0,32610753117.0,16508708250.0,20372900227.0,22667748234.0,40636968515.0,40206268947.0,39309282202.0
1. Tiền,,,,33146118935.0,95462071499.0,125977851802.0,118144244622.0,114432892954.0,128073807940.0,50033783497.0,99035263691.0,28468232552.0,114788938978.0,26033862687.0,39527074618.0,28275631147.0,34378761453.0,29398668694.0,34697090344.0,32804371476.0,23613771826.0,54049137397.0,51319286950.0,59608901653.0,57579855020.0,53152496216.0,37531979063.0,28488514816.0,26398482973.0,14328149299.0,15049976718.0,24193177801.0,26192568341.0,23775964536.0,20865979240.0,16139155366.0,35769794852.0,21133494885.0,17184158728.0,23365235180.0,14205792206.0,30171841368.0,23060906339.0,25625854143.0,24499019156.0,18963207184.0,20206196593.0,27798985210.0,21470492036.0,26166360573.0,23938009109.0,46038788298.0,25082753117.0,15508708250.0,19372900227.0,21667748234.0,39636968515.0,34806268947.0,33859282202.0
2. Các khoản tương đương tiền,,,,79500000000.0,0.0,0.0,0.0,0.0,0.0,74100000000.0,7200000000.0,78000000000.0,0.0,74300000000.0,71424574000.0,79941382359.0,69869739300.0,79417242944.0,71389538231.0,55491750429.0,55735213646.0,33500000000.0,26200000000.0,32769433333.0,28396379583.0,26701067143.0,31829544879.0,30026052410.0,10539276635.0,17014600974.0,17861812054.0,5000000000.0,10110515652.0,10155554255.0,14810722757.0,17926242275.0,17501037096.0,18338485595.0,9071102584.0,2000000000.0,8630999998.0,2000000000.0,12000000000.0,5000000000.0,5000000000.0,5500000000.0,6368780071.0,12012627015.0,7500000000.0,7500000000.0,12000000000.0,12500000000.0,7528000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,5400000000.0,5450000000.0
II. Các khoản đầu tư tài chính ngắn hạn,,,,41280000000.0,42143368900.0,4000000000.0,6000000000.0,23189611851.0,4000000000.0,0.0,2000000000.0,1300000000.0,1500000000.0,7000000000.0,4000000000.0,4000000000.0,0.0,0.0,0.0,0.0,3100000000.0,3100000000.0,3100000000.0,0.0,0.0,4000000000.0,11218786810.0,11599708661.0,11599708661.0,11599708661.0,12106106556.0,12129342789.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,9000000000.0,5175127492.0,0.0,0.0,2000000000.0,1000000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000000.0,10000000000.0,10060000000.0,10060000000.0,2200000000.0,8200000000.0,13200000000.0
1. Chứng khoán kinh doanh,,,,41280000000.0,42143368900.0,4000000000.0,6000000000.0,23189611851.0,4000000000.0,0.0,2000000000.0,1300000000.0,1500000000.0,7000000000.0,4000000000.0,4000000000.0,0.0,0.0,0.0,0.0,3100000000.0,3100000000.0,3100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000000.0,11218786810.0,11599708661.0,11599708661.0,11599708661.0,12106106556.0,12129342789.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,9000000000.0,5175127492.0,0.0,0.0,0.0,1000000000.0,4000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000000.0,10000000000.0,10060000000.0,10060000000.0,2200000000.0,8200000000.0,13200000000.0
III. Các khoản phải thu ngắn hạn,59624000000.0,66973000000.0,,42806938635.0,76157760509.0,59479970968.0,66273271135.0,40173134283.0,37618999414.0,34426804450.0,23798557174.0,26730579505.0,24119533567.0,21176877736.0,17877047995.0,16962436101.0,39133556985.0,39401745338.0,36704863199.0,54470206134.0,51357876100.0,45727233690.0,52249307591.0,107336127656.0,60062898676.0,60715729084.0,50991292932.0,76992218677.0,54102076345.0,52364655169.0,50119062492.0,50376067139.0,43778275564.0,39171369693.0,50253836596.0,59946267108.0,46109320291.0,28949388278.0,28774435025.0,65344449803.0,64633382910.0,56550175229.0,66678433075.0,82859468891.0,65603121721.0,63648235246.0,53534875075.0,53461424735.0,51623939447.0,47927993351.0,49168186151.0,51396121726.0,47235264167.0,41233479641.0,47997527889.0,64896677253.0,46002456638.0,38804292137.0,40066590795.0
