Item,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,26184707359.0,12334882711.0,15556063276.0,44352115738.0,13290926846.0,24967121007.0,9253948401.0,22193427578.0,9473455923.0,6703768006.0,10563667726.0,13018951671.0,5718449778.0,6550247910.0,37138158421.0,10281763836.0,14593307589.0,36298482267.0,38833480343.0,45626640783.0,35922236379.0,24755306052.0,42619801831.0,109165232462.0,54322637658.0,32987131334.0,34483797037.0,77862365000.0,33259681640.0,47145872261.0,54387462410.0,73828332801.0,29408041553.0,30280556570.0,47057419707.0,70689633255.0,41729207961.0,56534258101.0,62342649526.0,107517936545.0,81598356496.0,66885976675.0,95231479881.0,150380755510.0,92001261423.0,102731021274.0,101132290927.0,137825067562.0,90303129251.0,126602300187.0,113678222258.0,151507473771.0,94693477587.0,126193564585.0,121806029627.0,212586135787.0,173803736517.0,217089614320.0,189476670732.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2968649567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),26184707359.0,12334882711.0,15556063276.0,44352115738.0,13290926846.0,24967121007.0,9253948401.0,22193427578.0,9473455923.0,6703768006.0,10563667726.0,13018951671.0,5718449778.0,6550247910.0,37138158421.0,10281763836.0,14593307589.0,36298482267.0,38833480343.0,45626640783.0,35922236379.0,24755306052.0,42619801831.0,109165232462.0,54322637658.0,32987131334.0,34483797037.0,77862365000.0,33259681640.0,47145872261.0,54387462410.0,70859683234.0,29408041553.0,30280556570.0,47057419707.0,70689633255.0,41729207961.0,56534258101.0,62342649526.0,107474436545.0,81598356496.0,66885976675.0,95231479881.0,150380755510.0,92001261423.0,102731021274.0,101132290927.0,137825067562.0,90303129251.0,126602300187.0,113678222258.0,151507473771.0,94693477587.0,126193564585.0,121806029627.0,212586135787.0,173803736517.0,217089614320.0,189476670732.0
4. Giá vốn hàng bán,23826584525.0,8500821892.0,11342244272.0,39701224514.0,9877994813.0,21353012603.0,6873530982.0,17648681232.0,7514151043.0,4024459330.0,7594342715.0,9146510598.0,3686429965.0,3641383407.0,36070242448.0,8652108078.0,10563460450.0,34365443550.0,33577079742.0,39197218384.0,32027285870.0,21569955889.0,37923209003.0,95196175614.0,45720548182.0,26710193155.0,29103870961.0,59640329138.0,25070460001.0,38292744460.0,40044286228.0,57298233612.0,23864163642.0,23769081345.0,33818831334.0,62526200164.0,35807132664.0,46498830935.0,54757817824.0,95907063708.0,71927043685.0,60586966736.0,86123460263.0,139771583625.0,84427559490.0,96315717260.0,93806917814.0,128990478705.0,84066805215.0,120067002610.0,107111706226.0,144440731285.0,89406167767.0,119005932921.0,114948330275.0,199991212818.0,165715963632.0,207636250479.0,181076010853.0
5. Lợi nhuận gộp (3)-(4),2358122834.0,3834060819.0,4213819004.0,4650891224.0,3412932033.0,3614108404.0,2380417419.0,4544746346.0,1959304880.0,2679308676.0,2969325011.0,3872441073.0,2032019813.0,2908864503.0,1067915973.0,1629655758.0,4029847139.0,1933038717.0,5256400601.0,6429422399.0,3894950509.0,3185350163.0,4696592828.0,13969056848.0,8602089476.0,6276938179.0,5379926076.0,18222035862.0,8189221639.0,8853127801.0,14343176182.0,13561449622.0,5543877911.0,6511475225.0,13238588373.0,8163433091.0,5922075297.0,10035427166.0,7584831702.0,11567372837.0,9671312811.0,6299009939.0,9108019618.0,10609171885.0,7573701933.0,6415304014.0,7325373113.0,8834588857.0,6236324036.0,6535297577.0,6566516032.0,7066742486.0,5287309820.0,7187631664.0,6857699352.0,12594922969.0,8087772885.0,9453363841.0,8400659879.0
6. Doanh thu hoạt động tài chính,1405540861.0,1006225945.0,5395805339.0,4499141147.0,2388869721.0,4452679017.0,3030187555.0,4187692500.0,3396169653.0,6267289234.0,2947945999.0,5753573004.0,2659050178.0,3181479277.0,3201726131.0,2418065314.0,2076298528.0,1948916806.0,2446403855.0,2386325999.0,917504128.0,1320178616.0,1392862913.0,1246474919.0,1386057089.0,779263777.0,221645325.0,1390041205.0,101124821.0,548807779.0,1416270239.0,1505574707.0,233753076.0,1758962653.0,369851885.0,437624909.0,239232746.0,1627706404.0,181559672.0,139886910.0,81210403.0,1347930657.0,257580722.0,339907933.0,251925021.0,1276488540.0,132401616.0,588448832.0,190070883.0,1189307194.0,148399442.0,160120031.0,165558366.0,355642017.0,245164578.0,489126972.0,293620003.0,293077514.0,305589749.0
7. Chi phí tài chính,11442960.0,0.0,0.0,458629601.0,55533351.0,24480225.0,0.0,0.0,367470885.0,1215186700.0,5734319.0,934759000.0,9688710.0,-654331300.0,358585904.0,-770237738.0,0.0,2093117559.0,0.0,-104693000.0,0.0,-348356797.0,33863100.0,682394132.0,989137229.0,5696252144.0,581451219.0,985861145.0,271531523.0,1098658517.0,1752107418.0,471148886.0,662670395.0,550643578.0,682565669.0,499758228.0,480669917.0,1285044860.0,252685709.0,121282812.0,44945033.0,328011314.0,605422559.0,523469779.0,67844684.0,182020275.0,93943717.0,-256031694.0,34710096.0,131234571.0,362852724.0,273851081.0,22102082.0,161510488.0,3366974.0,10883441.0,2669600.0,259896848.0,5600000.0
Trong đó: Chi phí lãi vay,0.0,0.0,0.0,458629601.0,55533351.0,24480225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339999311.0,0.0,0.0,0.0,0.0,0.0,0.0,6328980.0,33863100.0,464523936.0,56449387.0,473320375.0,581451219.0,985861145.0,271531523.0,1042289539.0,1752107418.0,847200144.0,662670395.0,568834189.0,515804062.0,484283804.0,480669917.0,448892827.0,212125859.0,118169254.0,44945033.0,175204101.0,0.0,244218781.0,0.0,77690000.0,66781229.0,45931932.0,0.0,158904.0,11968185.0,24004702.0,22102082.0,3198624.0,3366974.0,10883441.0,2669523.0,0.0,5600000.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,1869141044.0,3832606433.0,6957375137.0,3891142010.0,4068690388.0,4674405915.0,3827696810.0,5502097681.0,3631223693.0,4831094138.0,3530406816.0,4265100901.0,3514236285.0,4582581024.0,2132352827.0,6005898839.0,3053728952.0,3513984278.0,3607769279.0,7382592838.0,2925463876.0,3899389209.0,3290012731.0,10542675039.0,5584679991.0,4102210352.0,3553091221.0,12114114123.0,5805336688.0,6598658138.0,9750384645.0,9607023563.0,4070167358.0,5208043279.0,8618529694.0,7520083321.0,4092539055.0,7921812448.0,5154337046.0,6885747314.0,7396238283.0,4097726802.0,5517369829.0,7118924009.0,6180553004.0,5444046739.0,5519715922.0,6593707616.0,4804280160.0,5301584386.0,4973598728.0,6114402584.0,4544442163.0,5033152688.0,5502889938.0,12086665190.0,7211209159.0,9910842839.0,6776165817.0
