Period,Lưu chuyển tiền thuần trong kỳ
Q1 2010,-17184047436.0
Q2 2010,30515780303.0
Q3 2010,-7833607180.0
Q4 2010,-3711351668.0
Q1 2011,11548347449.0
Q2 2011,-5740024443.0
Q3 2011,-16098519806.0
Q4 2011,-1314839849.0
Q1 2012,8714426508.0
Q2 2012,-14455076291.0
Q3 2012,10617785931.0
Q4 2012,-4428410199.0
Q1 2013,-5607073690.0
Q2 2013,4567410885.0
Q3 2013,-2729283063.0
Q4 2013,-17960987238.0
Q1 2014,-2347136433.0
Q2 2014,8074176149.0
Q3 2014,-10029850447.0
Q4 2014,14952710168.0
Q1 2015,-6402100383.0
Q2 2015,-6122671244.0
Q3 2015,-10492039417.0
Q4 2015,-11248625932.0
Q1 2016,-21576807618.0
Q2 2016,-5532910495.0
Q3 2016,1569038499.0
Q4 2016,-3818670318.0
Q1 2017,7109906192.0
Q2 2017,-2389927497.0
Q3 2017,1745183206.0
Q4 2017,-1612681857.0
Q1 2018,19205434307.0
Q2 2018,-13709877548.0
Q3 2018,-13216719168.0
Q4 2018,-938879197.0
Q1 2019,-6599402018.0
Q2 2019,10334139490.0
Q3 2019,2889064971.0
Q4 2019,-4306848653.0
Q1 2020,-1048834035.0
Q2 2020,-5114812924.0
Q3 2020,2183882434.0
Q4 2020,13164522607.0
Q1 2021,-10841120189.0
Q2 2021,4845404364.0
Q3 2021,2271648536.0
Q4 2021,22802030515.0
Q1 2022,-28456035181.0
Q2 2022,-15970032601.0
Q3 2022,3864191977.0
Q4 2022,2173032442.0
Q1 2023,17969220281.0
Q2 2023,-493485055.0
Q3 2023,-896986745.0
