Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,399383.0,330335.0,329124.0,1211.0,64310.0,0.0,12835.0,0.0
2007,969752.0,307394.0,306703.0,691.0,658945.0,2136.0,19381.0,0.0
2008,1668682.0,988390.0,916257.0,72133.0,671639.0,1379.0,10571.0,0.0
2009,2166408.0,1396550.0,1166290.0,230260.0,763503.0,1941.0,12017.0,0.0
2010,1934682.0,1241127.0,1104039.0,137088.0,688844.0,573.0,10859.0,34.54
2011,1530007.0,941933.0,824524.0,117409.0,583092.0,-1577.0,8671.0,-3.81
2012,1672329.0,1051742.0,873795.0,177947.0,577160.0,149.0,8583.0,31.44
2013,1688807.0,1051543.0,835483.0,216060.0,587357.0,254.0,8867.0,17.72
2014,1762358.0,1035282.0,786155.0,249127.0,727076.0,1646.0,10084.0,5.41
2015,2195669.0,1098170.0,938147.0,160023.0,1097499.0,1623.0,16568.0,9.18
2016,2418839.0,1249698.0,1161233.0,88465.0,1169142.0,2366.0,17649.0,6.34
2017,2997628.0,1749085.0,1416022.0,333063.0,1248543.0,2018.0,18540.0,14.37
2018,3708919.0,2346364.0,1709061.0,637303.0,1362556.0,2339.0,18910.0,10.26
2019,4649385.0,2396983.0,1663814.0,733169.0,2252403.0,1749.0,22524.0,20.53
2020,4983477.0,2660453.0,1968472.0,691981.0,2323023.0,657.0,23230.0,57.82
2021,6255925.0,3566051.0,2595641.0,970410.0,2689874.0,2415.0,26899.0,24.84
2022,6561871.0,3439129.0,2931044.0,508085.0,3122743.0,2680.0,20736.0,14.93
