Date,Sales
Q1/2009,495395398778
Q2/2009,728484618406
Q3/2009,867181924639
Q4/2009,1337529313231
Q1/2010,630312021807
Q2/2010,980023631565
Q3/2010,910554401698
Q4/2010,977299817151
Q1/2011,802549174829
Q2/2011,821418753039
Q3/2011,689059998855
Q4/2011,685556323497
Q1/2012,690109935895
Q2/2012,530816499869
Q3/2012,689966724431
Q4/2012,806244036298
Q1/2013,504379988188
Q2/2013,559842510104
Q3/2013,728464795709
Q4/2013,825069276491
Q1/2014,745238181046
Q2/2014,635238878184
Q3/2014,845217124465
Q4/2014,842396216379
Q1/2015,936024085172
Q2/2015,756778910400
Q3/2015,885136040601
Q4/2015,1075364084123
Q1/2016,976534179615
Q2/2016,987306802380
Q3/2016,1166738463181
Q4/2016,1163880008976
Q1/2017,1066437770025
Q2/2017,1040355698630
Q3/2017,1354581486287
Q4/2017,1417213844838
Q1/2018,1057690994636
Q2/2018,1202209129418
Q3/2018,1256552752677
Q4/2018,1452396920437
Q1/2019,1323755368996
Q2/2019,1106868534425
Q3/2019,1187960086559
Q4/2019,1486752915955
Q1/2020,1074224132308
Q2/2020,1058027837518
Q3/2020,1245704430321
Q4/2020,1545942754439
Q1/2021,1369723342798
Q2/2021,1300868874211
Q3/2021,1375543353111
Q4/2021,1838287776742
Q1/2022,1781220517447
Q2/2022,1709272565087
Q3/2022,1821448608080
Q4/2022,2302108141457
Q1/2023,1830810673956
Q2/2023,1771467826540
Q3/2023,1785737934043
