tradingTime,lastPrice
2023-12-19,38.9
2023-12-18,39.1
2023-12-15,39.0
2023-12-14,38.9
2023-12-13,38.9
2023-12-12,39.0
2023-12-11,38.85
2023-12-08,38.95
2023-12-07,38.6
2023-12-06,39.0
2023-12-05,38.25
2023-12-04,37.88
2023-12-01,38.19
2023-11-30,38.27
2023-11-29,38.31
2023-11-28,38.15
2023-11-27,38.11
2023-11-24,38.19
2023-11-23,37.6
2023-11-22,38.7
2023-11-21,38.74
2023-11-20,37.02
2023-11-17,37.13
2023-11-16,37.17
2023-11-15,37.02
2023-11-14,37.09
2023-11-13,36.19
2023-11-10,36.35
2023-11-09,36.55
2023-11-08,36.39
2023-11-07,36.0
2023-11-06,35.22
2023-11-03,35.02
2023-11-02,34.79
2023-11-01,34.04
2023-10-31,34.04
2023-10-30,35.02
2023-10-27,35.14
2023-10-26,34.47
2023-10-25,36.47
2023-10-24,36.0
2023-10-23,36.78
2023-10-20,37.33
2023-10-19,37.49
2023-10-18,37.49
2023-10-17,37.95
2023-10-16,37.95
2023-10-13,39.09
2023-10-12,39.44
2023-10-11,38.35
2023-10-10,38.23
2023-10-09,37.72
2023-10-06,37.17
2023-10-05,36.94
2023-10-04,37.17
2023-10-03,36.86
2023-10-02,37.41
2023-09-29,37.41
2023-09-28,37.56
2023-09-27,38.19
2023-09-26,37.64
2023-09-25,38.03
2023-09-22,38.35
2023-09-21,38.19
2023-09-20,38.27
2023-09-19,38.7
2023-09-18,38.19
2023-09-15,38.97
2023-09-14,38.74
2023-09-13,38.97
2023-09-12,39.6
2023-09-11,39.21
2023-09-08,39.52
2023-09-07,39.21
2023-09-06,39.68
2023-09-05,39.75
2023-08-31,39.6
2023-08-30,39.52
2023-08-29,39.44
2023-08-28,39.29
2023-08-25,39.05
2023-08-24,38.74
2023-08-23,38.31
2023-08-22,38.58
2023-08-21,37.95
2023-08-18,37.56
2023-08-17,37.95
2023-08-16,38.39
2023-08-15,38.31
2023-08-14,38.19
2023-08-11,38.35
2023-08-10,38.27
2023-08-09,38.35
2023-08-08,38.5
2023-08-07,38.66
2023-08-04,38.5
2023-08-03,38.35
2023-08-02,38.74
2023-08-01,38.39
2023-07-31,38.39
2023-07-28,37.8
2023-07-27,37.41
2023-07-26,36.94
2023-07-25,37.09
2023-07-24,37.45
2023-07-21,37.49
2023-07-20,37.64
2023-07-19,37.92
2023-07-18,37.95
2023-07-17,37.72
2023-07-14,37.56
2023-07-13,37.68
2023-07-12,37.33
2023-07-11,36.98
2023-07-10,36.62
2023-07-07,36.7
2023-07-06,36.62
2023-07-05,36.74
2023-07-04,36.55
2023-07-03,36.31
2023-06-30,36.15
2023-06-29,36.35
2023-06-28,36.78
2023-06-27,37.21
2023-06-26,37.84
2023-06-23,35.45
2023-06-22,35.61
2023-06-21,35.84
2023-06-20,36.0
2023-06-19,35.49
2023-06-16,35.61
2023-06-15,35.22
2023-06-14,35.06
2023-06-13,35.14
2023-06-12,35.61
2023-06-09,35.61
2023-06-08,34.82
2023-06-07,35.61
2023-06-06,35.76
2023-06-05,34.47
2023-06-02,32.24
2023-06-01,32.09
2023-05-31,31.97
2023-05-30,32.09
2023-05-29,32.2
2023-05-26,31.69
2023-05-25,31.81
2023-05-24,31.89
2023-05-23,31.69
2023-05-22,31.93
2023-05-19,32.01
2023-05-18,32.09
2023-05-17,32.09
2023-05-16,32.28
2023-05-15,32.4
2023-05-12,32.4
2023-05-11,32.44
2023-05-10,32.44
2023-05-09,32.44
2023-05-08,32.48
