Item,Q4 2007,Q4 2008,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,935239378359.0,1334977183381.0,1316482472477.0,1684010888115.0,1914498661130.0,1933183146924.0,1746492594109.0,1583208810765.0,1483175070037.0,1287451732650.0,1203706129585.0,1247906213417.0,1062596397719.0,1019303796800.0,1121289063014.0,1137596988409.0,978624898938.0,975849066230.0,846472085098.0,930624521430.0,913826439831.0,900326112213.0,764506107748.0,954329538825.0,989623753123.0,1200033850105.0,1156274446589.0,1233824543035.0,1303118952471.0,1483497436158.0,1461594971708.0,1490075223596.0,1369834579129.0,1542767972408.0,1623696967213.0,1905337387002.0,1663913682023.0,1967147121018.0,2021911755680.0,2178587086989.0,2198562190256.0,2439353657553.0,2991109666630.0,3042821100224.0,2925508090945.0,3153231567056.0,3069637679384.0,3055208851345.0,2921847602873.0,3126654827686.0,3232920748792.0,3739979780649.0,3650198046241.0,3497028797333.0,3409434298478.0,3803281876108.0,3535833245440.0
I. Tiền và các khoản tương đương tiền,93125904662.0,177375396960.0,134412833990.0,158780929264.0,74412325842.0,74967317408.0,83909387898.0,128164179845.0,62261127067.0,73574380795.0,40832312474.0,61700326070.0,62869375345.0,28921012148.0,45230522796.0,85886310842.0,48152461336.0,50443394456.0,52511980736.0,145040253307.0,95796892297.0,74707571078.0,58611852272.0,104938005269.0,70093932765.0,368550513081.0,120161112316.0,168926991161.0,87680257918.0,131291825753.0,129268515422.0,159841777560.0,125069823641.0,164515465646.0,124458227794.0,356219770300.0,143491061936.0,208246625003.0,138975968531.0,192927334215.0,432733780074.0,233765878928.0,213719555215.0,269991826358.0,213481918455.0,296052802088.0,330707088170.0,361121297294.0,191007309544.0,279571022097.0,326992496983.0,390114138218.0,346808496149.0,310300403769.0,298398449381.0,371654425350.0,371043702907.0
1. Tiền,93125904662.0,177375396960.0,134412833990.0,158780929264.0,74412325842.0,74967317408.0,83909387898.0,128164179845.0,62261127067.0,73574380795.0,38032312474.0,61700326070.0,42369375345.0,27221012148.0,43155522796.0,77111093620.0,41077244114.0,43353177234.0,46631763514.0,128567270203.0,78656892297.0,62489919257.0,54531852272.0,83890005269.0,56018932765.0,346926073081.0,101131112316.0,149396991161.0,82650257918.0,86891825753.0,100248438722.0,112831719860.0,63865046141.0,88251228141.0,79215260289.0,276584202295.0,109591061936.0,139946625003.0,127975968531.0,180927334215.0,394999780074.0,148216069220.0,127679555215.0,259991826358.0,123041918455.0,137632322815.0,219707088170.0,266121297294.0,125577923224.0,279571022097.0,271442496983.0,253964138218.0,240800803637.0,250300403769.0,278898449381.0,356454425350.0,331043702907.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800000000.0,0.0,20500000000.0,1700000000.0,2075000000.0,8775217222.0,7075217222.0,7090217222.0,5880217222.0,16472983104.0,17140000000.0,12217651821.0,4080000000.0,21048000000.0,14075000000.0,21624440000.0,19030000000.0,19530000000.0,5030000000.0,44400000000.0,29020076700.0,47010057700.0,61204777500.0,76264237505.0,45242967505.0,79635568005.0,33900000000.0,68300000000.0,11000000000.0,12000000000.0,37734000000.0,85549809708.0,86040000000.0,10000000000.0,90440000000.0,158420479273.0,111000000000.0,95000000000.0,65429386320.0,0.0,55550000000.0,136150000000.0,106007692512.0,60000000000.0,19500000000.0,15200000000.0,40000000000.0
II. Các khoản đầu tư tài chính ngắn hạn,244500000000.0,4007700000.0,10397900000.0,4988740000.0,7988740000.0,1405225000.0,1408225000.0,94405225000.0,1405225000.0,12830225000.0,4199120000.0,21349025000.0,21083568126.0,24495071326.0,14192493892.0,87018993892.0,21560138311.0,20163938311.0,24157438311.0,20743838311.0,17144438205.0,14096894763.0,12096479683.0,916074763.0,4386471763.0,0.0,238845000000.0,238968986432.0,238980223937.0,252991237505.0,241115237505.0,241923237505.0,240801057700.0,226715000000.0,167715000000.0,167775000000.0,193092020501.0,201448886501.0,210787777537.0,224034612595.0,223273612595.0,411846571499.0,1141836173261.0,1089276173261.0,1130980894357.0,1199834894357.0,1090522459105.0,1068908783002.0,1067035512749.0,1108465385741.0,1127798588999.0,1223069629232.0,1157716672058.0,1061111472203.0,1063324487187.0,1285908680326.0,1237535940406.0
1. Chứng khoán kinh doanh,244500000000.0,4007700000.0,10397900000.0,4988740000.0,7988740000.0,1405225000.0,1408225000.0,94405225000.0,1405225000.0,12830225000.0,4199120000.0,21349025000.0,21083568126.0,24495071326.0,14192493892.0,87018993892.0,21560138311.0,20163938311.0,24157438311.0,20743838311.0,17144438205.0,14096894763.0,12096479683.0,916074763.0,4386471763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30687400981.0,0.0,80635127008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238845000000.0,238968986432.0,238980223937.0,252991237505.0,241115237505.0,241923237505.0,240801057700.0,226715000000.0,167715000000.0,167775000000.0,193092020501.0,201448886501.0,210787777537.0,224034612595.0,223273612595.0,411846571499.0,1141836173261.0,1089276173261.0,1130980894357.0,1199834894357.0,1059835058124.0,1068908783002.0,986400385741.0,1108465385741.0,1127798588999.0,1223069629232.0,1157716672058.0,1061111472203.0,1063324487187.0,1285908680326.0,1237535940406.0
III. Các khoản phải thu ngắn hạn,452171604831.0,617363264837.0,716659050231.0,1019556326610.0,1059554978678.0,1086512664655.0,1235568256221.0,937321299101.0,932355295287.0,665776384117.0,795851637511.0,611772887883.0,544584247026.0,460669802695.0,572448078510.0,521315093869.0,538670947016.0,529423293123.0,534112860510.0,475506163816.0,552757217503.0,449295998793.0,454241419165.0,547882282188.0,653914748808.0,597126467108.0,515261034852.0,589761881626.0,716529219782.0,770156903881.0,829174894327.0,805029377634.0,710502382912.0,841347666119.0,992019107360.0,1008542206930.0,994916060113.0,1059685817529.0,1284341439556.0,1343999630251.0,1209652157070.0,1413978199970.0,1296032088612.0,1253131646493.0,1233579861084.0,1268324795568.0,1271934998656.0,1263668562716.0,1240978540655.0,1325038504983.0,1400509357181.0,1578247772364.0,1623454213470.0,1665962117990.0,1549934261233.0,1770145689379.0,1559874587051.0
