Item,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,504731004020.0,759110361655.0,924997074870.0,1264714699115.0,639976453870.0,992168864141.0,1000046780489.0,999421415635.0,892263921122.0,832998714453.0,734343834767.0,782251317990.0,704023430045.0,554867098393.0,713345807340.0,881465143504.0,509810812110.0,568302607103.0,739907858173.0,848765709733.0,745036572914.0,649213798159.0,837046671013.0,876049901618.0,919925650059.0,762944131643.0,888690174906.0,1088359385626.0,964402892041.0,1002003600070.0,1154522826748.0,1171824680177.0,1062446036573.0,1043651003608.0,1361229114357.0,1421863788910.0,1045271797155.0,1218770193713.0,1260222552257.0,1485405761792.0,1332547420829.0,1125700835465.0,1170480231200.0,1493866514245.0,1074104155743.0,1058051157974.0,1245743465230.0,1545958511959.0,1438982213825.0,1300978002218.0,1375839590119.0,1838358831869.0,1781232277447.0,1709653313475.0,1821067859692.0,2302108141457.0,1835752211195.0
2. Các khoản giảm trừ doanh thu,9335605242.0,30625743249.0,57815150231.0,-72814614116.0,9664432063.0,12145232576.0,89492378791.0,22121598484.0,89714746293.0,11579961414.0,45283835912.0,96694994493.0,13913494150.0,24050598524.0,23379082909.0,75221107206.0,5430823922.0,8460096999.0,11443062464.0,23696433242.0,-201608132.0,13974919975.0,-8170453452.0,33653685239.0,-16098435113.0,6165221243.0,3554134305.0,12995301503.0,-12131287574.0,14696797690.0,-12215636433.0,7944671201.0,-3991733452.0,3295304978.0,6647628070.0,4649944072.0,-12419197481.0,16561064295.0,3669799580.0,33008841355.0,8792051833.0,18832301040.0,-17479855359.0,7113598290.0,-119976565.0,23320456.0,39034909.0,15757520.0,69258871027.0,109128007.0,296237008.0,71055127.0,11760000.0,380748388.0,-380748388.0,0.0,4941537239.0
3. Doanh thu thuần (1)-(2),495395398778.0,728484618406.0,867181924639.0,1337529313231.0,630312021807.0,980023631565.0,910554401698.0,977299817151.0,802549174829.0,821418753039.0,689059998855.0,685556323497.0,690109935895.0,530816499869.0,689966724431.0,806244036298.0,504379988188.0,559842510104.0,728464795709.0,825069276491.0,745238181046.0,635238878184.0,845217124465.0,842396216379.0,936024085172.0,756778910400.0,885136040601.0,1075364084123.0,976534179615.0,987306802380.0,1166738463181.0,1163880008976.0,1066437770025.0,1040355698630.0,1354581486287.0,1417213844838.0,1057690994636.0,1202209129418.0,1256552752677.0,1452396920437.0,1323755368996.0,1106868534425.0,1187960086559.0,1486752915955.0,1074224132308.0,1058027837518.0,1245704430321.0,1545942754439.0,1369723342798.0,1300868874211.0,1375543353111.0,1838287776742.0,1781220517447.0,1709272565087.0,1821448608080.0,2302108141457.0,1830810673956.0
4. Giá vốn hàng bán,432782817361.0,635939149266.0,780355924861.0,1179102615525.0,547906256712.0,869877092508.0,819025762292.0,852294362338.0,720098825589.0,727106867289.0,611391945299.0,611058565280.0,661827487182.0,474672039183.0,594922985942.0,711633769221.0,408849069933.0,481238537255.0,630084951060.0,708679864806.0,608331695555.0,541298384219.0,725414458175.0,699940615709.0,812399200126.0,661837059554.0,753665038763.0,916995553724.0,834008914220.0,859328681710.0,1021941694820.0,1005685224746.0,905725115241.0,900207022043.0,1131942841177.0,1199316517026.0,884956259966.0,1009479599514.0,1059809629397.0,1223634152334.0,1080172454155.0,916595697024.0,971490174932.0,1197324525552.0,870957400153.0,864266805852.0,1020136833338.0,1243178955424.0,1113405136937.0,1065977861558.0,1101261521104.0,1495339930806.0,1449626812162.0,1387275481244.0,1455594521318.0,1902394978529.0,1477537765464.0
5. Lợi nhuận gộp (3)-(4),62612581417.0,92545469140.0,86825999778.0,158426697706.0,82405765095.0,110146539057.0,91528639406.0,125005454813.0,82450349240.0,94311885750.0,77668053556.0,74497758217.0,28282448713.0,56144460686.0,95043738489.0,94610267077.0,95530918255.0,78603972849.0,98379844649.0,116389411685.0,136906485491.0,93940493965.0,119802666290.0,142455600670.0,123624885046.0,94941850846.0,131471001838.0,158368530399.0,142525265395.0,127978120670.0,144796768361.0,158194784230.0,160712654784.0,140148676587.0,222638645110.0,217897327812.0,172734734670.0,192729529904.0,196743123280.0,228762768103.0,243582914841.0,190272837401.0,216469911627.0,289428390403.0,203266732155.0,193761031666.0,225567596983.0,302763799015.0,256318205861.0,234891012653.0,274281832007.0,342947845936.0,331593705285.0,321997083843.0,365854086762.0,399713162928.0,353272908492.0
6. Doanh thu hoạt động tài chính,6487282703.0,-3332184591.0,8541857657.0,2595584766.0,7056387826.0,-1876857829.0,15276647233.0,6033008366.0,27499412523.0,10088229669.0,11431280137.0,35643541390.0,7052774858.0,1935670681.0,1578945858.0,3769789334.0,955173420.0,3266888293.0,-692536635.0,1454660207.0,2668951015.0,1682695330.0,2348489552.0,1447996526.0,1112044005.0,2067108242.0,5275201211.0,1165941497.0,8115085411.0,4859623518.0,4703196209.0,5348678793.0,5805046862.0,5041739477.0,3276633831.0,4325449941.0,6243941628.0,3604801081.0,6642573530.0,4578962128.0,8246216713.0,8594604030.0,7705531838.0,20185234854.0,25444796979.0,21675412155.0,23034756417.0,22144737385.0,19331534237.0,20908015795.0,27052988897.0,19115595448.0,21059241701.0,16497771106.0,25588218236.0,21961446318.0,33860375944.0
7. Chi phí tài chính,22878041637.0,11313752713.0,20108772591.0,24035916197.0,30492211337.0,34198052073.0,46467314989.0,22616244914.0,71694863991.0,41069247184.0,43674820750.0,52078380528.0,30606903354.0,16603647636.0,21734550877.0,20971495042.0,19876304562.0,21194835476.0,18766052097.0,14757204321.0,12783322433.0,11760435542.0,12527791468.0,11097554135.0,8719652385.0,9813391714.0,10214918249.0,5441634503.0,7236050189.0,8208476685.0,7435815159.0,5490882267.0,6867146249.0,7179157618.0,7184412259.0,8288346012.0,6040134294.0,11056821051.0,11621487404.0,13968479735.0,13011593098.0,20255625470.0,12831680294.0,19532086887.0,19816358694.0,17548891895.0,21952663714.0,20269700804.0,16781838501.0,17240908820.0,18654308798.0,20145678818.0,18113067049.0,22948208335.0,31712847476.0,32536167666.0,38574156195.0
Trong đó: Chi phí lãi vay,13552333864.0,7412774850.0,10754575695.0,16336517779.0,17801595144.0,18092748176.0,57833432818.0,12112193799.0,34409106307.0,27891743676.0,22268912028.0,50160655704.0,27546213018.0,13394572290.0,22641109152.0,17277680894.0,18934107139.0,19361891779.0,16343603138.0,14366589929.0,9101882007.0,10293001831.0,9855543951.0,10241538590.0,8887622566.0,6960598180.0,6297588025.0,4914491161.0,7798239243.0,7941119254.0,7209941585.0,5192329473.0,6014072347.0,7114810323.0,4839707313.0,7859722305.0,8404391016.0,10692733308.0,10799654895.0,13578863693.0,12480372573.0,19629527220.0,12699673426.0,17819964489.0,19730368280.0,16972481045.0,20782490473.0,19513642160.0,16524064472.0,17482399080.0,17706244055.0,19182899079.0,16341496200.0,17992174016.0,28074561014.0,25871195744.0,31320110578.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,-2871020191.0,235113336.0,-852336874.0,-1597974967.0,-4506674567.0,-3477096590.0,-4956663147.0,-4964072668.0,-1565817811.0,-1587843342.0,439599902.0,-2363911060.0,4765243891.0,950495889.0,46602538.0,880713656.0,720338708.0,881472953.0,1210041911.0,2878039005.0,1783266822.0,2084184659.0,1600292579.0,1885151442.0,2719025547.0,5740978432.0,-618861465.0,3178286718.0,3409934999.0,3802269031.0,2618613970.0,3443460405.0,6128165409.0,4978200241.0,3402308501.0,4423010768.0,5807023809.0,5784914120.0,5081560491.0,7959497474.0,4990459821.0,7047815890.0,5094898325.0,4114523964.0,5729285610.0,6135823917.0,6475176070.0,5654261716.0,5787794097.0,6902754848.0,6479448583.0,7180349499.0,8966727109.0,9244079037.0,7663880211.0
9. Chi phí bán hàng,22992996570.0,37253630659.0,34542783588.0,-3775976040.0,23640830517.0,33308418476.0,28663247689.0,27134573123.0,38394794631.0,34419825033.0,31310233559.0,26816201924.0,43843760483.0,24267810102.0,45861369053.0,45908202119.0,45527179272.0,41795464262.0,41333082428.0,40065880257.0,73425432600.0,49953584148.0,52815299660.0,55954304569.0,53937307591.0,39854674763.0,51687131280.0,62675774136.0,56054033655.0,51378407581.0,55102962742.0,59033141490.0,72194744740.0,56722489036.0,79693091426.0,75427337917.0,76735208036.0,65300825762.0,78951340385.0,85206863567.0,102337912888.0,78915718568.0,91701665664.0,92393156001.0,116108510189.0,76727542654.0,92097760061.0,96338050145.0,84627747996.0,91510612671.0,101504224957.0,110758647036.0,138278494735.0,103279889675.0,136208955503.0,141944646412.0,184958407749.0
