Period,Lưu chuyển tiền thuần trong kỳ
Q1 2009,-133012693018.0
Q2 2009,146596481136.0
Q3 2009,-56653231731.0
Q1 2010,-84321734309.0
Q2 2010,549882887.0
Q3 2010,5050654824.0
Q4 2010,43863329451.0
Q1 2011,-65738077274.0
Q2 2011,11316694626.0
Q3 2011,-32745509219.0
Q2 2012,-33937541293.0
Q3 2012,16298688744.0
Q4 2012,40666609950.0
Q1 2013,-37746622960.0
Q2 2013,2326598864.0
Q3 2013,2034996090.0
Q4 2013,92470552232.0
Q1 2014,-49152657171.0
Q2 2014,-21089321219.0
Q3 2014,-16183775327.0
Q4 2014,46414209518.0
Q1 2015,-34843634769.0
Q2 2015,290324439964.0
Q2 2016,43611567835.0
Q3 2016,-2051968030.0
Q4 2016,30601919837.0
Q1 2017,-34760158183.0
Q2 2017,39445642005.0
Q3 2017,-40057237852.0
Q4 2017,231761542506.0
Q1 2018,-212784022256.0
Q2 2018,64755563067.0
Q3 2018,-69004618179.0
Q4 2018,53951365684.0
Q1 2019,238341022294.0
Q2 2019,-198967901144.0
Q3 2019,-20098065805.0
Q4 2019,56312959042.0
Q1 2020,-56548645814.0
Q2 2020,82570883633.0
Q3 2020,34894376221.0
Q4 2020,30466783647.0
Q1 2021,-170103012369.0
Q2 2021,121261000810.0
Q3 2021,47594601114.0
Q4 2021,63395702711.0
Q2 2022,-40393871817.0
Q3 2022,-11964388924.0
Q4 2022,66790115784.0
Q1 2023,6181425488.0
