Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007 - Q1,,,,,,0.0,0.0,0.0
2007 - Q2,,,,,,0.0,0.0,0.0
2010 - Q1,,,,,,0.0,0.0,0.0
2010 - Q2,,,,,,0.0,0.0,0.0
2010 - Q3,1013716.0,601379.0,574573.0,26806.0,412309.0,3501.0,18249.0,0.0
2010 - Q4,1150025.0,598690.0,580528.0,18162.0,551254.0,7697.0,18814.0,5.96
2011 - Q1,1221753.0,636908.0,606548.0,30360.0,584765.0,7405.0,19958.0,4.86
2011 - Q2,1013020.0,473473.0,446010.0,27463.0,539472.0,7056.0,18412.0,4.21
2011 - Q3,1043899.0,470811.0,445751.0,25060.0,573014.0,6040.0,19557.0,4.97
2011 - Q4,1130303.0,548202.0,526364.0,21838.0,582029.0,3980.0,19864.0,7.92
2012 - Q1,1092146.0,468897.0,442182.0,26715.0,623184.0,4026.0,21269.0,6.9
2012 - Q2,1069671.0,476690.0,457143.0,19547.0,592981.0,3907.0,16191.0,5.63
2012 - Q3,1023903.0,382340.0,365806.0,16534.0,641503.0,3490.0,17515.0,6.88
2012 - Q4,940310.0,267745.0,254206.0,13539.0,672506.0,3217.0,18362.0,8.46
2013 - Q1,905546.0,264067.0,250403.0,13664.0,641422.0,2256.0,17513.0,13.08
2013 - Q2,926886.0,285390.0,272795.0,12595.0,641444.0,2062.0,17514.0,11.25
2013 - Q3,880979.0,263604.0,251887.0,11717.0,617324.0,1411.0,16855.0,13.74
2013 - Q4,970442.0,322151.0,305877.0,16274.0,648241.0,1016.0,17361.0,17.22
2014 - Q1,950260.0,324915.0,321353.0,3562.0,625297.0,1056.0,16481.0,17.43
2014 - Q2,893711.0,261808.0,259372.0,2436.0,631858.0,985.0,16654.0,14.83
2014 - Q3,963365.0,331479.0,324982.0,6497.0,625246.0,868.0,16480.0,16.25
2014 - Q4,1086519.0,387633.0,344696.0,42937.0,681291.0,1702.0,17957.0,8.11
2015 - Q1,1116742.0,417690.0,335241.0,82449.0,680488.0,1763.0,17936.0,9.07
2015 - Q2,1056627.0,404850.0,305033.0,99817.0,634899.0,1733.0,16734.0,8.95
2015 - Q3,1041151.0,370892.0,251330.0,119562.0,670259.0,1926.0,16359.0,10.8
2015 - Q4,1132648.0,403195.0,280843.0,122352.0,729454.0,1933.0,17547.0,11.48
2016 - Q1,1168483.0,466521.0,355884.0,110637.0,701963.0,1816.0,16885.0,12.99
2016 - Q2,1435158.0,705092.0,593426.0,111666.0,730066.0,2419.0,17230.0,10.01
2016 - Q3,1411749.0,648073.0,518754.0,129319.0,763676.0,2937.0,16389.0,7.7
2016 - Q4,1161646.0,375998.0,263112.0,112886.0,785648.0,2177.0,16903.0,12.17
2017 - Q1,1108037.0,304892.0,192773.0,112119.0,803144.0,2200.0,16917.0,10.73
2017 - Q2,1179228.0,395913.0,283626.0,112287.0,783316.0,1911.0,16500.0,12.04
2017 - Q3,1092586.0,309322.0,213299.0,96023.0,783264.0,1338.0,16499.0,11.73
2017 - Q4,1056790.0,262852.0,177016.0,85836.0,793937.0,935.0,15593.0,14.65
2018 - Q1,978587.0,186492.0,129915.0,56577.0,792095.0,759.0,15557.0,17.73
2018 - Q2,997389.0,210613.0,151374.0,59239.0,786775.0,491.0,15543.0,20.35
2018 - Q3,1002906.0,216150.0,155127.0,61023.0,786756.0,314.0,15543.0,30.21
2018 - Q4,1055251.0,263948.0,218899.0,45049.0,791303.0,156.0,15633.0,49.12
2019 - Q1,996965.0,201978.0,155982.0,45996.0,794987.0,191.0,15705.0,34.69
2019 - Q2,1022981.0,227032.0,182374.0,44658.0,795948.0,111.0,15724.0,60.89
2019 - Q3,998430.0,198802.0,152584.0,46218.0,799628.0,162.0,15797.0,38.67
2019 - Q4,1414060.0,590095.0,563228.0,26867.0,823965.0,600.0,16278.0,9.97
2020 - Q1,1257994.0,430011.0,402208.0,27803.0,827984.0,641.0,16357.0,6.49
2020 - Q2,1214763.0,378377.0,349816.0,28561.0,836386.0,835.0,16423.0,6.85
2020 - Q3,1108677.0,267846.0,238655.0,29191.0,840831.0,868.0,16611.0,8.07
2020 - Q4,1498436.0,644985.0,635812.0,9173.0,853451.0,631.0,16860.0,14.71
2021 - Q1,1410585.0,550449.0,541169.0,9280.0,860136.0,677.0,16992.0,19.95
2021 - Q2,1363047.0,492110.0,481356.0,10754.0,870938.0,644.0,17206.0,24.86
2021 - Q3,1261285.0,407421.0,396279.0,11142.0,853864.0,767.0,16802.0,35.15
2021 - Q4,1147199.0,276868.0,267894.0,8974.0,870331.0,874.0,17126.0,29.51
2022 - Q1,1152939.0,265915.0,258664.0,7251.0,887023.0,961.0,17417.0,29.03
2022 - Q2,1096264.0,200928.0,194415.0,6513.0,895336.0,947.0,17580.0,16.47
2022 - Q3,1201033.0,292897.0,284831.0,8066.0,908136.0,972.0,17832.0,12.03
2022 - Q4,1144662.0,233430.0,224388.0,9042.0,911231.0,627.0,15503.0,15.46
2023 - Q1,1136727.0,221980.0,212825.0,9155.0,914746.0,468.0,15563.0,29.16
2023 - Q2,1286722.0,368673.0,362320.0,6353.0,918050.0,387.0,15619.0,34.73
2023 - Q3,1373129.0,420570.0,407257.0,13313.0,952559.0,678.0,16206.0,34.28
