Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,113548.0,98931.0,98085.0,846.0,14512.0,4911.0,14512.0,0.0
2007,353873.0,280962.0,280692.0,270.0,72899.0,4432.0,14125.0,0.0
2008,438972.0,315729.0,311206.0,4523.0,123543.0,4132.0,13678.0,0.0
2009,689300.0,495338.0,474532.0,20806.0,193936.0,7349.0,15806.0,0.0
2010,1149991.0,599109.0,573596.0,25513.0,550801.0,7695.0,24895.0,5.97
2011,1140594.0,548899.0,527044.0,21855.0,591625.0,3911.0,20192.0,8.05
2012,940090.0,265389.0,251035.0,14354.0,674642.0,3437.0,18420.0,7.91
2013,964685.0,317218.0,307291.0,9927.0,647417.0,979.0,17338.0,17.88
2014,1088203.0,388713.0,345776.0,42937.0,681894.0,1694.0,17976.0,8.15
2015,1140555.0,417683.0,295331.0,122352.0,722872.0,1859.0,17643.0,11.94
2016,1160470.0,374383.0,282569.0,91814.0,786087.0,2153.0,16912.0,12.25
2017,1056685.0,263085.0,208242.0,54843.0,793601.0,934.0,15586.0,14.67
2018,1056461.0,263747.0,218698.0,45049.0,792714.0,184.0,15661.0,41.74
2019,1413356.0,589770.0,562903.0,26867.0,823586.0,590.0,16270.0,10.14
2020,1498158.0,644865.0,635693.0,9172.0,853293.0,628.0,16857.0,14.79
2021,1145326.0,276941.0,267967.0,8974.0,868386.0,949.0,17088.0,27.18
2022,1144876.0,233437.0,224394.0,9043.0,911439.0,604.0,15506.0,16.07
