Date,Sales
Q2/2007,81081054799
Q3/2007,59683216024
Q3/2009,95625507702
Q4/2009,328227988217
Q1/2010,73910334042
Q2/2010,81531540826
Q3/2010,267202472014
Q4/2010,330318327174
Q1/2011,85887710428
Q2/2011,76093192242
Q3/2011,133159351860
Q4/2011,187446008376
Q1/2012,70320681691
Q2/2012,80952374993
Q3/2012,140618733610
Q4/2012,188031023984
Q1/2013,93682462235
Q2/2013,62215795858
Q3/2013,91129344575
Q4/2013,171862154594
Q1/2014,49310071140
Q2/2014,62575447921
Q3/2014,33739622202
Q4/2014,184996463033
Q1/2015,105681253976
Q2/2015,153065972852
Q3/2015,151173631624
Q4/2015,313347738415
Q1/2016,78174339804
Q2/2016,281537036115
Q3/2016,565299174788
Q4/2016,376568636441
Q1/2017,102309093640
Q2/2017,200717741622
Q3/2017,139382096357
Q4/2017,118985752410
Q1/2018,52677725333
Q2/2018,98891533156
Q3/2018,92619325824
Q4/2018,168744086621
Q1/2019,103047364932
Q2/2019,83902156661
Q3/2019,77429538676
Q4/2019,610380579359
Q1/2020,187890203986
Q2/2020,159814678505
Q3/2020,92600736951
Q4/2020,361927820720
Q1/2021,124588457466
Q2/2021,171506010663
Q3/2021,210445908706
Q4/2021,152591788977
Q1/2022,205517635504
Q2/2022,170136068265
Q3/2022,249865412686
Q4/2022,237764321145
Q1/2023,85908444913
Q2/2023,35316384833
Q3/2023,336146600915
