tradingTime,lastPrice
2023-12-19,18.75
2023-12-18,18.65
2023-12-15,18.8
2023-12-14,19.15
2023-12-13,18.9
2023-12-12,19.35
2023-12-11,19.35
2023-12-08,19.5
2023-12-07,19.6
2023-12-06,19.55
2023-12-05,18.32
2023-12-04,18.36
2023-12-01,18.39
2023-11-30,18.64
2023-11-29,18.32
2023-11-28,18.61
2023-11-27,18.71
2023-11-24,18.43
2023-11-23,18.14
2023-11-22,19.5
2023-11-21,18.86
2023-11-20,18.82
2023-11-17,17.86
2023-11-16,17.82
2023-11-15,16.68
2023-11-14,16.68
2023-11-13,16.64
2023-11-10,16.93
2023-11-09,17.14
2023-11-08,17.14
2023-11-07,16.71
2023-11-06,16.68
2023-11-03,16.43
2023-11-02,16.07
2023-11-01,15.04
2023-10-31,14.07
2023-10-30,14.07
2023-10-27,15.11
2023-10-26,15.11
2023-10-25,16.21
2023-10-24,16.39
2023-10-23,16.36
2023-10-20,16.79
2023-10-19,16.57
2023-10-18,16.93
2023-10-17,17.04
2023-10-16,18.29
2023-10-13,17.93
2023-10-12,18.0
2023-10-11,17.54
2023-10-10,16.39
2023-10-09,16.25
2023-10-06,16.36
2023-10-05,16.25
2023-10-04,16.29
2023-10-03,16.29
2023-10-02,16.71
2023-09-29,16.61
2023-09-28,16.5
2023-09-27,16.64
2023-09-26,15.96
2023-09-25,15.93
2023-09-22,16.57
2023-09-21,17.04
2023-09-20,17.21
2023-09-19,17.14
2023-09-18,17.14
2023-09-15,17.46
2023-09-14,17.82
2023-09-13,17.96
2023-09-12,17.43
2023-09-11,17.18
2023-09-08,17.18
2023-09-07,16.71
2023-09-06,17.36
2023-09-05,17.79
2023-08-31,18.04
2023-08-30,17.64
2023-08-29,17.21
2023-08-28,17.5
2023-08-25,17.25
2023-08-24,17.79
2023-08-23,17.71
2023-08-22,16.82
2023-08-21,15.75
2023-08-18,15.14
2023-08-17,15.04
2023-08-16,15.04
2023-08-15,14.93
2023-08-14,14.86
2023-08-11,14.68
2023-08-10,14.29
2023-08-09,14.64
2023-08-08,14.0
2023-08-07,13.5
2023-08-04,13.71
2023-08-03,12.86
2023-08-02,12.5
2023-08-01,12.29
2023-07-31,11.82
2023-07-28,11.07
2023-07-27,10.79
2023-07-26,10.68
2023-07-25,10.89
2023-07-24,10.89
2023-07-21,10.93
2023-07-20,10.64
2023-07-19,10.71
2023-07-18,10.86
2023-07-17,10.96
2023-07-14,10.96
2023-07-13,10.79
2023-07-12,10.43
2023-07-11,10.54
2023-07-10,10.18
2023-07-07,9.93
2023-07-06,9.93
2023-07-05,9.86
2023-07-04,9.54
2023-07-03,9.5
2023-06-30,9.61
2023-06-29,9.61
2023-06-28,9.82
2023-06-27,9.79
2023-06-26,9.93
2023-06-23,9.64
2023-06-22,9.57
2023-06-21,9.54
2023-06-20,9.43
2023-06-19,9.43
2023-06-16,9.36
2023-06-15,9.54
2023-06-14,9.54
2023-06-13,9.64
2023-06-12,9.64
2023-06-09,9.36
2023-06-08,9.29
2023-06-07,9.64
2023-06-06,10.0
2023-06-05,10.0
2023-06-02,9.89
2023-06-01,9.86
2023-05-31,9.86
2023-05-30,10.0
2023-05-29,10.11
2023-05-26,10.0
2023-05-25,10.04
2023-05-24,10.11
2023-05-23,10.11
2023-05-22,10.07
2023-05-19,10.14
2023-05-18,10.18
2023-05-17,9.89
2023-05-16,9.61
2023-05-15,9.68
2023-05-12,10.07
2023-05-11,10.18
2023-05-10,10.14
2023-05-09,10.14
2023-05-08,10.14
2023-05-05,10.07
2023-05-04,10.07
2023-04-28,9.43
2023-04-27,9.39
2023-04-26,9.46
2023-04-25,9.29
2023-04-24,9.57
2023-04-21,9.68
2023-04-20,9.61
2023-04-19,9.29
2023-04-18,9.21
2023-04-17,9.0
2023-04-14,9.32
2023-04-13,9.57
2023-04-12,9.75
2023-04-11,9.82
2023-04-10,9.86
2023-04-07,9.82
2023-04-06,9.82
2023-04-05,9.82
2023-04-04,9.89
2023-04-03,9.93
2023-03-31,9.75
2023-03-30,9.54
2023-03-29,8.93
2023-03-28,8.82
2023-03-27,9.0
2023-03-24,9.0
2023-03-23,9.07
2023-03-22,9.07
2023-03-21,9.04
2023-03-20,9.0
2023-03-17,9.07
2023-03-16,9.14
2023-03-15,9.18
2023-03-14,8.68
2023-03-13,9.18
2023-03-10,9.21
2023-03-09,9.14
2023-03-08,9.04
2023-03-07,8.93
2023-03-06,8.79
2023-03-03,8.79
2023-03-02,8.86
2023-03-01,9.14
2023-02-28,8.79
2023-02-27,8.36
2023-02-24,8.43
2023-02-23,8.75
2023-02-22,8.86
2023-02-21,9.21
2023-02-20,9.36
2023-02-17,9.0
2023-02-16,8.64
2023-02-15,8.54
2023-02-14,8.39
2023-02-13,8.43
2023-02-10,8.75
2023-02-09,8.79
2023-02-08,8.79
2023-02-07,8.75
2023-02-06,8.93
2023-02-03,8.86
2023-02-02,8.86
2023-02-01,9.04
2023-01-31,9.14
2023-01-30,8.75
2023-01-27,8.36
2023-01-19,8.5
2023-01-18,8.07
2023-01-17,7.57
2023-01-16,7.21
2023-01-13,7.36
2023-01-12,7.57
2023-01-11,7.5
2023-01-10,7.5
2023-01-09,7.36
2023-01-06,7.71
2023-01-05,7.71
2023-01-04,7.25
2023-01-03,7.32
2022-12-30,6.93
2022-12-29,7.18
2022-12-28,7.11
2022-12-27,6.64
2022-12-26,6.43
2022-12-23,6.79
2022-12-22,6.54
2022-12-21,6.12
2022-12-20,6.15
2022-12-19,6.61
2022-12-16,6.64
2022-12-15,6.77
2022-12-14,6.86
2022-12-13,6.86
2022-12-12,6.89
2022-12-09,6.88
2022-12-08,6.79
2022-12-07,6.61
2022-12-06,6.78
2022-12-05,7.29
2022-12-02,7.46
2022-12-01,7.11
2022-11-30,6.79
2022-11-29,6.66
2022-11-28,6.26
2022-11-25,5.86
2022-11-24,5.64
2022-11-23,5.56
2022-11-22,5.71
2022-11-21,5.54
2022-11-18,5.18
2022-11-17,4.86
2022-11-16,4.54
2022-11-15,4.25
2022-11-14,4.51
2022-11-11,4.84
2022-11-10,5.2
2022-11-09,5.59
2022-11-08,5.59
2022-11-07,5.71
2022-11-04,5.94
2022-11-03,6.09
2022-11-02,5.76
2022-11-01,5.8
2022-10-31,5.71
2022-10-28,5.93
2022-10-27,5.96
2022-10-26,5.79
2022-10-25,5.82
2022-10-24,6.21
2022-10-21,6.68
2022-10-20,7.18
2022-10-19,7.43
2022-10-18,7.43
2022-10-17,7.43
2022-10-14,7.61
2022-10-13,7.46
2022-10-12,7.39
2022-10-11,7.39
2022-10-10,7.89
2022-10-07,7.79
2022-10-06,8.36
2022-10-05,8.14
2022-10-04,7.64
2022-10-03,8.0
2022-09-30,8.36
2022-09-29,8.29
2022-09-28,8.43
2022-09-27,8.64
2022-09-26,8.54
2022-09-23,8.93
2022-09-22,8.82
2022-09-21,8.68
2022-09-20,8.68
2022-09-19,8.57
2022-09-16,9.14
2022-09-15,9.29
2022-09-14,9.25
2022-09-13,9.14
2022-09-12,9.44
2022-09-09,9.99
2022-09-08,10.02
2022-09-07,10.05
2022-09-06,9.54
2022-09-05,9.51
2022-08-31,9.63
2022-08-30,9.38
2022-08-29,9.35
2022-08-26,9.9
2022-08-25,10.11
2022-08-24,10.08
2022-08-23,9.99
2022-08-22,10.11
2022-08-19,10.42
2022-08-18,10.57
2022-08-17,10.63
2022-08-16,10.54
2022-08-15,10.69
2022-08-12,10.63
2022-08-11,10.63
2022-08-10,10.97
2022-08-09,11.09
2022-08-08,10.48
2022-08-05,10.51
2022-08-04,10.45
2022-08-03,10.42
2022-08-02,10.3
