Item,Q4 2006,Q4 2007,Q4 2008,Q4 2009,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,103779958788.0,292645486835.0,377769691420.0,549583796590.0,627271670843.0,826313120760.0,935850995905.0,999759277390.0,778212497981.0,804649209323.0,898272039560.0,848876318106.0,822236555861.0,756819616306.0,629200455198.0,574393010614.0,572899669802.0,524346633729.0,616290771724.0,616832402315.0,568606299746.0,620146916305.0,699667882361.0,726370096860.0,662860658479.0,682473184498.0,716601280422.0,763111818879.0,1060198897942.0,1041588198094.0,839370805399.0,790627059968.0,883593203615.0,802381351795.0,768877823774.0,696376190032.0,738767717923.0,720280896310.0,774944243700.0,721030334203.0,717994364729.0,691361335751.0,1112489361460.0,958371141547.0,918280736083.0,815261510012.0,1206093124199.0,1108378119659.0,1060106003128.0,1013286710743.0,878345287612.0,834550109087.0,777664227091.0,875170907318.0,821041773931.0,804721349820.0
I. Tiền và các khoản tương đương tiền,1680270311.0,3653530353.0,36950509855.0,37960063573.0,15983492565.0,83279787655.0,177486629222.0,245904239090.0,100944629471.0,125608915739.0,425121911240.0,399794376888.0,373937739589.0,297979945154.0,212620984620.0,123730993207.0,167327276257.0,105411104648.0,102113629277.0,79331685005.0,21095574222.0,13196135649.0,54385152551.0,158165336623.0,82928728928.0,109498438282.0,70756440806.0,72339404573.0,39919334881.0,45254426948.0,102917130476.0,100964271090.0,119032476559.0,155821990699.0,153707069113.0,158088866887.0,86049894421.0,73968310820.0,105654744462.0,66740953252.0,41689452073.0,34431340148.0,42073704656.0,54910243457.0,56997978133.0,50964118164.0,305194698884.0,176742327049.0,195398543483.0,250113287081.0,154654621594.0,75392343211.0,126565710876.0,78872657094.0,72857921506.0,34856888233.0
1. Tiền,1680270311.0,3653530353.0,28150509855.0,11960063573.0,15088492565.0,77384787655.0,33091629222.0,68789239090.0,16844629471.0,31508915739.0,29671911240.0,71818821888.0,123142184589.0,74634390154.0,41725429620.0,45085438207.0,50881721257.0,8965549648.0,17113629277.0,12438353325.0,9095574222.0,5037664849.0,43232892565.0,35887722957.0,21301115263.0,9330106602.0,26981440806.0,31686404573.0,18166334881.0,15301426948.0,51964130476.0,26711271090.0,3832476559.0,17621990699.0,46307069113.0,19888866887.0,15849894421.0,12268310820.0,56354744462.0,12040953252.0,26989452073.0,21811340148.0,33114492095.0,24935135127.0,29454579888.0,22584118164.0,288814698884.0,166362327049.0,194398543483.0,239413287081.0,118932163512.0,53647240245.0,38565710876.0,15872657094.0,31357921506.0,18356888233.0
2. Các khoản tương đương tiền,0.0,0.0,8800000000.0,26000000000.0,895000000.0,5895000000.0,144395000000.0,177115000000.0,84100000000.0,94100000000.0,395450000000.0,327975555000.0,250795555000.0,223345555000.0,170895555000.0,78645555000.0,116445555000.0,96445555000.0,85000000000.0,66893331680.0,12000000000.0,8158470800.0,11152259986.0,122277613666.0,61627613665.0,100168331680.0,43775000000.0,40653000000.0,21753000000.0,29953000000.0,50953000000.0,74253000000.0,115200000000.0,138200000000.0,107400000000.0,138200000000.0,70200000000.0,61700000000.0,49300000000.0,54700000000.0,14700000000.0,12620000000.0,8959212561.0,29975108330.0,27543398245.0,28380000000.0,16380000000.0,10380000000.0,1000000000.0,10700000000.0,35722458082.0,21745102966.0,88000000000.0,63000000000.0,41500000000.0,16500000000.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,490000000.0,370000000.0,37265250000.0,31160000000.0,18560000000.0,16160000000.0,11878052264.0,27398052264.0,21248052264.0,19258638845.0,23078638845.0,22158638845.0,22158638845.0,10658638845.0,10025000000.0,6259850000.0,6179850000.0,3888500000.0,12129996983.0,20193891240.0,20243891240.0,19271543907.0,16201543907.0,11921897150.0,7201543907.0,7201543907.0,2451543907.0,3451543907.0,5751543907.0,4751543907.0,4751543907.0,25020566140.0,23720566140.0,19567295740.0,31067295740.0,52867295740.0,60867295740.0,40407295740.0,37507295740.0,37894895740.0,12252295740.0,12912295740.0,20912295740.0,23112295740.0,28112295740.0,23922295740.0,24274077269.0,28936781529.0,28936781529.0,27245487699.0,27444538048.0,27607113818.0,54092113818.0,83288003000.0,88388003000.0
1. Chứng khoán kinh doanh,0.0,490000000.0,370000000.0,37265250000.0,31160000000.0,18560000000.0,16160000000.0,11878052264.0,27398052264.0,21248052264.0,19258638845.0,23078638845.0,22158638845.0,22158638845.0,10658638845.0,10025000000.0,6259850000.0,6179850000.0,3888500000.0,15092715740.0,23062715740.0,23112715740.0,22234215740.0,19164215740.0,25515114564.0,4414215740.0,4414215740.0,4414215740.0,4414215740.0,4414215740.0,4414215740.0,4414215740.0,4414215740.0,4414215740.0,67295740.0,30067295740.0,30067295740.0,20067295740.0,14257295740.0,7457295740.0,7514895740.0,4257295740.0,4257295740.0,4257295740.0,4257295740.0,4257295740.0,67295740.0,67295740.0,0.0,0.0,0.0,498543390.0,687587828.0,687587828.0,723320938.0,723320938.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2962718757.0,-2868824500.0,-2868824500.0,-2962671833.0,-2962671833.0,-20343217414.0,-2962671833.0,-2962671833.0,-2962671833.0,-2962671833.0,-2962671833.0,-2962671833.0,-2962671833.0,-1193649600.0,-1193649600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-263156155.0,-263156155.0,-435317938.0,-435317938.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6750000000.0,5750000000.0,5750000000.0,1000000000.0,2000000000.0,4300000000.0,3300000000.0,3300000000.0,21800000000.0,20500000000.0,19500000000.0,1000000000.0,22800000000.0,40800000000.0,26150000000.0,30050000000.0,30380000000.0,7995000000.0,8655000000.0,16655000000.0,18855000000.0,23855000000.0,23855000000.0,24206781529.0,28936781529.0,28936781529.0,27245487699.0,26945994658.0,27182682145.0,53667682145.0,83000000000.0,88100000000.0
III. Các khoản phải thu ngắn hạn,19519903651.0,125477417430.0,116475032998.0,354119606647.0,384995744761.0,462127109513.0,602092446505.0,547389221760.0,476857781432.0,526579642049.0,346165010002.0,303818956043.0,314297780797.0,315137833458.0,303016230402.0,304016164623.0,272665562114.0,288120596887.0,399180117718.0,402165212808.0,395924364579.0,394994256991.0,478530695559.0,377286772544.0,423540241602.0,393352338519.0,494790300607.0,398382637666.0,487859642457.0,739534715593.0,607946459731.0,518520311103.0,527549582132.0,422693312923.0,394957673693.0,291907961883.0,404369257011.0,394851111605.0,460973996224.0,439155205837.0,449714283171.0,450242790194.0,835784656333.0,628261530576.0,583682325653.0,524094296240.0,643494328450.0,691188927817.0,667354940978.0,575377695103.0,556366668916.0,566359404702.0,470526244909.0,590353682832.0,535159183675.0,548665545739.0
1. Phải thu ngắn hạn của khách hàng,15480919292.0,118466119250.0,66824283644.0,298652668045.0,300001892487.0,386262873371.0,488040059176.0,447804769700.0,408265366675.0,451103633773.0,199409068556.0,191495857262.0,200499720269.0,227848922777.0,252137660344.0,233789986741.0,205190606296.0,226602827521.0,343909784079.0,335563398421.0,317941075067.0,299835811853.0,397427735291.0,308382772703.0,315176360574.0,306577271689.0,404076626545.0,292043891360.0,384603126516.0,629381841788.0,529497657730.0,444426799518.0,448631669421.0,353260879189.0,316817127555.0,211145750262.0,238425219302.0,253851857648.0,309996645383.0,300423072383.0,276626392490.0,271638258581.0,700806066617.0,499394890016.0,479559874991.0,395866468933.0,544917216320.0,568648255540.0,559138008519.0,459127424640.0,429460309137.0,456442806659.0,338604953223.0,470284608202.0,429608842347.0,425426720890.0
