Item,Q2 2007,Q3 2007,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,81081054799.0,59683216024.0,95625507702.0,328227988217.0,73910334042.0,81531540826.0,267202472014.0,330318327174.0,85887710428.0,76093192242.0,133159351860.0,187446008376.0,70320681691.0,80952374993.0,140618733610.0,188031023984.0,93682462235.0,62215795858.0,91129344575.0,171862154594.0,49310071140.0,62575447921.0,33739622202.0,184996463033.0,105681253976.0,153065972852.0,151173631624.0,313395265415.0,78174339804.0,281537036115.0,565299174788.0,376568636441.0,102309093640.0,200717741622.0,139382096357.0,118985752410.0,52677725333.0,98891533156.0,92619325824.0,168744086621.0,103047364932.0,83902156661.0,77429538676.0,610400491519.0,187890203986.0,159821496687.0,92601000587.0,361927820720.0,124685703769.0,171519300663.0,210445908706.0,152609635944.0,205524453686.0,170144954526.0,249894550012.0,237767743814.0,85908444913.0,35316624833.0,336146600915.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47527000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19912160.0,0.0,6818182.0,263636.0,0.0,97246303.0,13290000.0,0.0,17846967.0,6818182.0,8886261.0,29137326.0,3422669.0,0.0,240000.0,0.0
3. Doanh thu thuần (1)-(2),81081054799.0,59683216024.0,95625507702.0,328227988217.0,73910334042.0,81531540826.0,267202472014.0,330318327174.0,85887710428.0,76093192242.0,133159351860.0,187446008376.0,70320681691.0,80952374993.0,140618733610.0,188031023984.0,93682462235.0,62215795858.0,91129344575.0,171862154594.0,49310071140.0,62575447921.0,33739622202.0,184996463033.0,105681253976.0,153065972852.0,151173631624.0,313347738415.0,78174339804.0,281537036115.0,565299174788.0,376568636441.0,102309093640.0,200717741622.0,139382096357.0,118985752410.0,52677725333.0,98891533156.0,92619325824.0,168744086621.0,103047364932.0,83902156661.0,77429538676.0,610380579359.0,187890203986.0,159814678505.0,92600736951.0,361927820720.0,124588457466.0,171506010663.0,210445908706.0,152591788977.0,205517635504.0,170136068265.0,249865412686.0,237764321145.0,85908444913.0,35316384833.0,336146600915.0
4. Giá vốn hàng bán,64574402819.0,43161368401.0,67084026815.0,238849861325.0,50377649508.0,55786225684.0,190982456861.0,184135739808.0,33238518216.0,47479969989.0,80054312324.0,112442719827.0,33248216160.0,56776849291.0,98188050114.0,113279163845.0,83840868670.0,62182073637.0,68193674845.0,116103706522.0,30264351718.0,41022989911.0,32552024071.0,101245716253.0,75928718818.0,117194469543.0,107768504591.0,195355523289.0,59039576087.0,202316281385.0,470637640518.0,288716186320.0,68924531891.0,150955791356.0,105871500619.0,94419318725.0,41813948246.0,74455452826.0,71061168977.0,131812111421.0,80783015592.0,61421272688.0,53069928310.0,559542845289.0,164751212275.0,114568418043.0,66047770828.0,321489878804.0,96417505976.0,135127525354.0,191259419715.0,107161026242.0,181927011127.0,130050631259.0,202464192910.0,208042765504.0,56398210275.0,20590230252.0,258730590814.0
5. Lợi nhuận gộp (3)-(4),16506651980.0,16521847623.0,28541480887.0,89378126892.0,23532684534.0,25745315142.0,76220015153.0,146182587366.0,52649192212.0,28613222253.0,53105039536.0,75003288549.0,37072465531.0,24175525702.0,42430683496.0,74751860139.0,9841593565.0,33722221.0,22935669730.0,55758448072.0,19045719422.0,21552458010.0,1187598131.0,83750746780.0,29752535158.0,35871503309.0,43405127033.0,117992215126.0,19134763717.0,79220754730.0,94661534270.0,87852450121.0,33384561749.0,49761950266.0,33510595738.0,24566433685.0,10863777087.0,24436080330.0,21558156847.0,36931975200.0,22264349340.0,22480883973.0,24359610366.0,50837734070.0,23138991711.0,45246260462.0,26552966123.0,40437941916.0,28170951490.0,36378485309.0,19186488991.0,45430762735.0,23590624377.0,40085437006.0,47401219776.0,29721555641.0,29510234638.0,14726154581.0,77416010101.0
6. Doanh thu hoạt động tài chính,72150150.0,102687566.0,1570724494.0,3068853185.0,2828150771.0,2241454564.0,1726635026.0,5368353570.0,7974381457.0,13770106644.0,1791836487.0,15541278894.0,8784538313.0,17575281268.0,5541103490.0,5734467689.0,9437097989.0,16410545311.0,7294086935.0,6369462628.0,5235977483.0,4985281022.0,3714145520.0,3278093641.0,1306171779.0,2079966741.0,4372348656.0,2892223728.0,2541336864.0,2836002801.0,980818341.0,2104408471.0,1148526684.0,2358453995.0,1224551910.0,7331692694.0,2001503243.0,2362305742.0,1913059019.0,2726723589.0,685832565.0,1964528211.0,1561927664.0,2219433725.0,540220899.0,5136109551.0,1139637753.0,4521167710.0,904644013.0,1731628552.0,5755107067.0,2733118479.0,7260855047.0,39629371963.0,559213272.0,6659923665.0,1257755647.0,8755009692.0,1209901717.0
7. Chi phí tài chính,764956067.0,972768407.0,2702038972.0,22028826393.0,3875917537.0,6050706982.0,4754748327.0,18524165900.0,5727972372.0,13806215942.0,689998918.0,31206520354.0,631376656.0,-23260215.0,56362403.0,919959569.0,212492555.0,-4954277374.0,1644751192.0,5651752009.0,1435577243.0,3155099346.0,1876196975.0,8386209961.0,2059602542.0,9059084310.0,11905731499.0,11590410838.0,2611340915.0,6694173467.0,3698244272.0,-7816888160.0,602931636.0,603557864.0,581800629.0,-851268151.0,98587650.0,649797524.0,718601367.0,1973530536.0,922828129.0,831575945.0,355781938.0,736508743.0,398185312.0,4403857565.0,400932452.0,2138681761.0,508716925.0,1824690382.0,2253115583.0,614409130.0,108379233.0,45600284421.0,77928550.0,-1209128469.0,224936970.0,430130621.0,4562298357.0
Trong đó: Chi phí lãi vay,0.0,0.0,1076776144.0,695886104.0,1693662526.0,1285119271.0,1803487938.0,975720855.0,2659263360.0,808280238.0,471422499.0,660815010.0,333314309.0,166569770.0,47753642.0,28315802.0,186505397.0,228873097.0,1153994148.0,1796165818.0,1411609462.0,-4367206022.0,1655815537.0,1552672776.0,1585396770.0,751797469.0,904586464.0,796935158.0,1749520747.0,2823213704.0,3692738782.0,2478214195.0,485005293.0,480413430.0,571139968.0,278524576.0,90278714.0,398912707.0,653575646.0,1276882215.0,914373629.0,782685169.0,356633963.0,503038487.0,331276803.0,3417536472.0,397618551.0,406325292.0,498539545.0,1799951199.0,919444994.0,652851053.0,105988301.0,251585382.0,33922039.0,337012491.0,199251155.0,910533428.0,1103525029.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,4371196879.0,-1197491228.0,-4615943.0,0.0,2572685963.0,-840317680.0,1020190317.0,320292101.0,-468554703.0,110929255.0,-189751040.0,-695582800.0,710491289.0,-1404493622.0,-244472339.0,-210188289.0,2324102634.0,-602339233.0,-349303446.0,652070120.0,703822073.0,392555649.0,-496545970.0,-217577807.0,-292940822.0,0.0,0.0,0.0,0.0,-45129388.0,20457701.0,-10403326.0,-372694858.0,-2734668.0,-443276.0,-5167096.0,-2040634.0,0.0,0.0,0.0,-2240633.0,0.0,-23078076.0,0.0,-17659045.0,0.0,-1611148.0,-24710164.0,20381840677.0,-11373611.0,-1236608649.0,682469433.0,-110783935.0,-883362.0,964729541.0,-792834177.0
9. Chi phí bán hàng,2240171056.0,1461158697.0,7397998524.0,12921148147.0,3135127067.0,3756983053.0,3114263892.0,2629811870.0,9209662562.0,4452086601.0,6702460632.0,-4945233107.0,-82368129.0,5162905306.0,4355547237.0,-2152011663.0,9471564.0,-592722185.0,5825468497.0,3860570383.0,325883425.0,3847664170.0,5303758637.0,4396918216.0,3560927426.0,8006198555.0,3325578587.0,10483365366.0,2932141400.0,7147574709.0,22945306533.0,7141713933.0,4799910322.0,2566569340.0,3576587709.0,-8490525281.0,-1925689598.0,12037684993.0,9460815757.0,16899300207.0,8775531775.0,8662093328.0,9952599894.0,8197643985.0,6926682745.0,6398050103.0,7220939907.0,9832248092.0,7757371821.0,9270639927.0,5952741188.0,16970701314.0,8514718328.0,9233375025.0,14562397342.0,12970809693.0,12329737830.0,4824921146.0,11083305876.0
