Period,Lưu chuyển tiền thuần trong kỳ
Q3 2010,67296295090.0
Q4 2010,94075886880.0
Q1 2011,68504216163.0
Q2 2011,-145022809140.0
Q3 2011,24664286268.0
Q4 2011,299349728979.0
Q1 2012,-18579267830.0
Q2 2012,-25857037299.0
Q3 2012,-75957794435.0
Q4 2012,-85360342783.0
Q1 2013,-66870938394.0
Q2 2013,43059300001.0
Q3 2013,-61916124918.0
Q4 2013,-3354100636.0
Q1 2014,-22781938115.0
Q2 2014,-58560654475.0
Q3 2014,-7899438573.0
Q4 2014,41193669556.0
Q1 2015,103780182977.0
Q2 2015,-75243941680.0
Q3 2015,26344753920.0
Q4 2015,-37651940670.0
Q1 2016,1582963767.0
Q2 2016,-32455940846.0
Q3 2016,5271273309.0
Q4 2016,57342675482.0
Q1 2017,-1952846905.0
Q2 2017,-38445326337.0
Q3 2017,95301598052.0
Q1 2018,4381797774.0
Q2 2018,-72037164611.0
Q3 2018,-12081583601.0
Q4 2018,31751868715.0
Q1 2019,-38913791209.0
Q2 2019,-25051501180.0
Q3 2019,-7258111925.0
Q4 2019,7641273146.0
Q1 2020,11676538801.0
Q2 2020,2263268356.0
Q3 2020,-6033859970.0
Q4 2020,254055047041.0
Q1 2021,-128452435455.0
Q2 2021,18656250054.0
Q3 2021,54714773597.0
Q4 2021,-96465673413.0
Q1 2022,-79262278384.0
Q2 2022,51170912935.0
Q3 2022,-47693053783.0
Q4 2022,-6014588239.0
Q1 2023,-38001074690.0
