Quarter,VTC,VLA,UNI,ST8,SRA,SMT,SGT,SAM,POT,ONE,KST,ITD,HIG,GLT,FPT,ELC,CTR,CMG,CKV
2002 Q1,,,,,,,,,,,,,,,,,,,
2002 Q2,,,,,,,,2310.00,,,,,,,,,,,
2002 Q3,,,,,,,,,,,,,,,,,,,
2002 Q4,,,,,,,,,,,,,,,,,,,
2003 Q1,,,,,,,,3067.62,,,,,,,,,,,
2003 Q2,,,,,,,,1838.10,,,,,,,,,,,
2003 Q3,,,,,,,,2539.12,,,,,,,,,,,
2003 Q4,,,,,,,,,,,,,,,,,,,
2004 Q1,,,,,,,,,,,,,,,,,,,
2004 Q2,,,,,,,,,,,,,,,,,,,
2004 Q3,,,,,,,,,,,,,,,,,,,
2004 Q4,,,,,,,,1234.23,,,,,,,,,,,
2005 Q1,,,,,,,,2169.24,,,,,,,,,,,
2005 Q2,1388.00,,0.00,,,,,3467.54,,,,,,,,,,,
2005 Q3,2212.00,,0.00,,,,,4919.71,,,,,,,,,,,
2005 Q4,4901.00,,1884.00,,,,,5733.35,,,,,,,,,,,
2006 Q1,5222.00,,2614.00,,,,,6044.67,,,,,,,,,,,
2006 Q2,3914.00,,1884.00,,,,,5618.80,,,,,,,,,,,
2006 Q3,2621.00,,2614.00,,,,,6417.12,,,,,,,,,,,
2006 Q4,1738.00,,2754.00,,,,,6826.53,934.18,,,,,,3755.32,,,,
2007 Q1,1371.00,,3061.00,,,,,6703.21,1245.16,,,,,,6305.00,0.00,,,
2007 Q2,1224.00,,2727.00,,,,,6589.73,2286.45,,,,,,9451.32,0.00,,,
2007 Q3,2093.00,,3315.00,,,,,5597.19,2745.09,,,,,,9444.18,,,,
2007 Q4,2423.00,,3856.00,1724.45,974.52,,993.53,4428.75,2226.70,,,,,,9313.40,,,,
2008 Q1,2282.00,,5127.00,3518.67,1426.09,27.46,1736.74,3899.79,1852.81,748.35,,,,,8883.41,,,,
2008 Q2,2322.00,,5432.00,5677.99,1436.37,478.54,3108.48,727.59,1046.62,1579.15,,,,,8148.61,,,,
2008 Q3,1008.00,,5018.00,7463.43,1092.56,764.49,3652.79,2309.55,599.28,1738.62,,,,,8463.54,,,,
2008 Q4,990.00,,3387.00,6528.39,-584.38,983.33,4051.70,-1054.55,880.44,3975.24,,,,,8365.97,,,,
2009 Q1,34.00,,2732.00,5560.41,-1030.43,1183.83,3372.07,-1593.95,897.42,3918.14,,,,844.56,7793.08,,,,
2009 Q2,-166.00,,708.00,5419.55,-1040.70,1320.27,2319.36,2754.66,780.04,3411.83,,,,,7293.43,,,,
2009 Q3,643.00,0.00,546.00,5646.24,-416.65,1414.58,2023.47,1213.06,904.38,3187.28,,,,3326.99,8097.86,,,114.49,0.00
2009 Q4,744.00,483.00,1365.00,7408.50,54.71,1680.72,1138.36,4018.12,857.78,3510.49,1577.48,,,5886.92,7468.12,,,,876.04
2010 Q1,821.00,0.00,1950.00,7171.78,155.78,1474.52,1034.13,4213.57,956.49,2867.35,,,286.46,6456.18,7929.77,0.00,,286.03,1063.46
2010 Q2,356.00,0.00,3839.00,6992.23,950.88,1741.28,1087.44,2392.90,931.33,2563.35,1677.79,,,7551.32,8982.47,0.00,,391.84,1364.72
2010 Q3,-274.00,2883.00,5179.00,6065.55,670.48,1777.44,721.84,2318.36,999.32,2628.07,2545.35,,,5999.62,7994.54,3501.39,,793.18,1201.21
2010 Q4,159.00,2265.00,4424.00,4412.88,1555.51,1697.19,466.22,1731.00,979.51,4097.13,2363.90,,,4343.49,7473.43,7697.29,,1309.17,1048.85
2011 Q1,73.00,1954.00,3340.00,4120.22,2414.60,1675.84,282.28,967.65,849.74,3885.39,2494.32,,,3582.47,7038.88,7405.15,,1239.29,950.90
2011 Q2,-283.00,2485.00,2373.00,3274.44,1160.51,1091.19,-455.20,-1191.26,808.70,2004.62,2514.18,,,3744.84,6733.38,7056.22,0.00,1174.76,1080.61
2011 Q3,-19.00,1965.00,1062.00,2907.68,863.33,693.43,-850.95,-1710.17,529.41,1416.38,737.01,848.77,,3216.50,7913.27,6039.70,0.00,722.64,1140.68
2011 Q4,-1665.00,2942.00,301.00,2647.46,4.35,286.00,-1775.48,-2066.88,448.57,1352.57,1811.01,2534.57,,3619.82,8472.22,3979.59,2151.51,-773.80,1201.84
2012 Q1,-1611.00,2761.00,641.00,2834.07,-1314.57,405.78,-2265.06,-1202.20,438.39,1652.87,319.13,2652.50,,3622.22,8464.41,4026.35,0.00,-918.77,1158.59
2012 Q2,-998.00,2712.00,-794.00,2952.49,-909.62,863.25,-2100.36,506.69,473.06,3364.71,198.45,2679.75,-865.93,3425.26,8223.63,3906.63,2270.31,-641.69,750.07
