Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006 - Q4,3407866.0,1714506.0,1588332.0,126174.0,1570106.0,3755.0,25775.0,122.49
2007 - Q1,3308996.0,1486010.0,1371071.0,114939.0,1678956.0,6305.0,27565.0,85.8
2007 - Q2,3868744.0,1744538.0,1744538.0,0.0,1919409.0,9451.0,21043.0,32.48
2007 - Q3,3784711.0,1520008.0,1388572.0,131436.0,1980926.0,9444.0,21420.0,28.91
2007 - Q4,5346280.0,3068775.0,3002230.0,66545.0,1988409.0,9313.0,21501.0,23.94
2008 - Q1,6451497.0,3895456.0,3819710.0,75746.0,2138347.0,8883.0,23124.0,10.81
2008 - Q2,6481234.0,3749750.0,3672149.0,77601.0,2245553.0,8149.0,23819.0,6.14
2008 - Q3,6200412.0,3380842.0,3306146.0,74696.0,2282579.0,8464.0,24212.0,10.81
2008 - Q4,6145766.0,3235536.0,3226761.0,8775.0,2384335.0,8366.0,16871.0,5.98
2009 - Q1,5966095.0,2760314.0,2595308.0,165006.0,2590779.0,7793.0,18353.0,5.76
2009 - Q2,6407989.0,3075612.0,3065105.0,10507.0,2686794.0,7293.0,19014.0,9.6
2009 - Q3,7465571.0,3673379.0,3658224.0,15155.0,3023642.0,8098.0,21003.0,10.68
2009 - Q4,10644732.0,6906696.0,4878984.0,2027712.0,2991146.0,7468.0,20777.0,10.58
2010 - Q1,10423086.0,6324833.0,4409645.0,1915188.0,3293524.0,7930.0,22879.0,10.53
2010 - Q2,11481762.0,6905965.0,4852129.0,2053836.0,3697738.0,8982.0,19097.0,7.68
2010 - Q3,12268263.0,7414799.0,5525345.0,1889454.0,3798459.0,7995.0,19618.0,8.88
2010 - Q4,12502219.0,7425477.0,5538445.0,1887032.0,3982083.0,7473.0,20567.0,8.63
2011 - Q1,12710742.0,7257314.0,5164567.0,2092747.0,4274842.0,7039.0,22080.0,7.25
2011 - Q2,12446982.0,6618198.0,4691588.0,1926610.0,4590719.0,6733.0,23713.0,7.13
2011 - Q3,14130608.0,7800299.0,5828271.0,1972028.0,5450140.0,7913.0,25210.0,6.51
2011 - Q4,15024909.0,8528729.0,8296037.0,232692.0,5529647.0,8472.0,25578.0,5.87
2012 - Q1,14272591.0,7515345.0,7257525.0,257820.0,5858498.0,8464.0,27100.0,6.85
2012 - Q2,14404612.0,7339191.0,7065492.0,273699.0,6089283.0,8224.0,22226.0,5.73
2012 - Q3,14692014.0,7520895.0,7219370.0,301525.0,6152706.0,6795.0,22457.0,5.58
2012 - Q4,14270464.0,7194525.0,6899105.0,295420.0,6181640.0,6318.0,22563.0,5.57
2013 - Q1,14059015.0,6523998.0,6285133.0,238865.0,6528838.0,6054.0,23831.0,6.24
2013 - Q2,15523397.0,7428091.0,7169969.0,258122.0,6989818.0,5853.0,25389.0,7.14
2013 - Q3,15709061.0,7660120.0,7378687.0,281433.0,6904109.0,5774.0,25077.0,7.81
2013 - Q4,17617926.0,9363078.0,9075739.0,287339.0,7209656.0,5858.0,26188.0,8.04
2014 - Q1,17446248.0,8710120.0,8412879.0,297241.0,7574003.0,5910.0,27512.0,11.84
2014 - Q2,17766402.0,8885205.0,8600724.0,284481.0,7587818.0,5800.0,22051.0,8.03
2014 - Q3,19945743.0,10987860.0,10670684.0,317176.0,7628831.0,5647.0,22170.0,9.21
2014 - Q4,22659686.0,13405222.0,13062886.0,342336.0,7909990.0,5241.0,22988.0,9.16
2015 - Q1,22206060.0,12362568.0,11843484.0,519084.0,8380860.0,5145.0,24357.0,9.41
2015 - Q2,22581606.0,12657394.0,12339406.0,317988.0,9924212.0,5001.0,24958.0,9.28
2015 - Q3,23677162.0,13704991.0,13006055.0,698936.0,9972171.0,4827.0,25078.0,9.22
2015 - Q4,25983205.0,15804968.0,14804951.0,1000017.0,10178237.0,5213.0,25597.0,9.26
2016 - Q1,24695453.0,14052383.0,12948093.0,1104290.0,10643071.0,4840.0,26766.0,9.73
2016 - Q2,25344505.0,14434112.0,13305700.0,1128412.0,10910393.0,3815.0,23742.0,10.96
2016 - Q3,26397928.0,15434639.0,14346985.0,1087654.0,10963289.0,3852.0,23857.0,12.11
2016 - Q4,29912454.0,18464444.0,17471940.0,992504.0,11448011.0,3704.0,24917.0,11.88
2017 - Q1,28003927.0,16023450.0,14835526.0,1187924.0,11980477.0,3734.0,26076.0,12.67
2017 - Q2,28045804.0,15895578.0,14738302.0,1157276.0,12150226.0,4475.0,26314.0,10.47
2017 - Q3,29693707.0,16659921.0,15768900.0,891021.0,13033786.0,4537.0,24546.0,10.75
2017 - Q4,25025223.0,11790285.0,11129329.0,660956.0,13234938.0,5895.0,24925.0,9.69
2018 - Q1,25010920.0,11111084.0,10523958.0,587126.0,13899836.0,5890.0,26178.0,10.31
2018 - Q2,26286146.0,12400576.0,11901668.0,498908.0,13885569.0,5788.0,22627.0,7.17
2018 - Q3,28080869.0,13916060.0,13360082.0,555978.0,14164809.0,5818.0,23082.0,7.96
2018 - Q4,29725930.0,14963121.0,14432175.0,530946.0,14762809.0,4509.0,24057.0,9.36
2019 - Q1,28748321.0,13215558.0,12709176.0,506382.0,15532763.0,4561.0,25312.0,9.98
2019 - Q2,30375757.0,14570321.0,14116094.0,454227.0,15805436.0,4727.0,23298.0,9.63
2019 - Q3,32276824.0,16025694.0,15404438.0,621256.0,16251130.0,4971.0,23955.0,11.61
2019 - Q4,33658743.0,16783931.0,16291313.0,492618.0,16874812.0,4797.0,24875.0,12.15
2020 - Q1,34416669.0,16785979.0,15838155.0,947824.0,17630689.0,4870.0,25989.0,8.44
2020 - Q2,35912809.0,18009083.0,16991795.0,1017288.0,17903726.0,4839.0,22833.0,9.43
2020 - Q3,37757457.0,19576056.0,18551812.0,1024244.0,18181401.0,4612.0,23190.0,10.84
2020 - Q4,41749437.0,23146724.0,22382165.0,764559.0,18602713.0,4743.0,23727.0,12.46
2021 - Q1,44474278.0,24743978.0,22968033.0,1775945.0,19730300.0,4798.0,25166.0,16.19
2021 - Q2,46980501.0,26922973.0,24989658.0,1933315.0,20057528.0,4820.0,22100.0,18.26
2021 - Q3,48244878.0,27920745.0,25891182.0,2029563.0,20324133.0,4873.0,22393.0,19.09
2021 - Q4,53696644.0,32276467.0,29811587.0,2464880.0,21420177.0,5059.0,23601.0,18.38
2022 - Q1,55601299.0,32641898.0,30137625.0,2504273.0,22959402.0,5271.0,25295.0,20.3
2022 - Q2,56295551.0,32883878.0,30416062.0,2467816.0,23411673.0,5385.0,21339.0,16.01
2022 - Q3,55127102.0,31071333.0,28697861.0,2373472.0,24055768.0,5456.0,21926.0,14.76
2022 - Q4,51655409.0,26312428.0,24534231.0,1778197.0,25342981.0,4805.0,23099.0,14.68
2023 - Q1,50741161.0,23679982.0,23043505.0,636477.0,27061179.0,5258.0,24665.0,15.04
2023 - Q2,60556686.0,31961502.0,31322666.0,638836.0,28595184.0,5289.0,25891.0,16.26
2023 - Q3,62112676.0,33707021.0,33050415.0,656606.0,28405656.0,5362.0,22365.0,17.31
