Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2004,1583705.0,1284465.0,1110867.0,173598.0,299240.0,6058.0,10307.0,0.0
2005,2219477.0,1607947.0,1483024.0,124923.0,571886.0,5125.0,10399.0,0.0
2006,3409220.0,1746534.0,1620360.0,126174.0,1539496.0,7407.0,25271.0,62.1
2007,5356052.0,3131215.0,3064669.0,66546.0,1942232.0,9457.0,21104.0,23.58
2008,6124834.0,3165352.0,3160423.0,4929.0,2433247.0,8342.0,17267.0,5.99
2009,10395415.0,6677493.0,4765833.0,1911660.0,3002251.0,7479.0,20854.0,10.56
2010,12304544.0,7255513.0,5439122.0,1816391.0,3983401.0,7482.0,20623.0,8.62
2011,14943087.0,8717275.0,8475465.0,241810.0,5521005.0,8440.0,25540.0,5.89
2012,14209183.0,7114921.0,6819506.0,295415.0,6181762.0,6318.0,22570.0,5.57
2013,17570557.0,9316700.0,9068740.0,247960.0,7208665.0,5858.0,26192.0,8.04
2014,22658344.0,13400525.0,13056523.0,344002.0,7913345.0,5210.0,23003.0,9.2
2015,26045589.0,15863303.0,14967554.0,895749.0,10182286.0,5208.0,25607.0,9.27
2016,29833262.0,18385187.0,17429656.0,955531.0,11448075.0,4641.0,24917.0,9.48
2017,24999677.0,11761301.0,11100345.0,660956.0,13238376.0,5904.0,24932.0,9.67
2018,29757067.0,14982096.0,14451150.0,530946.0,14774971.0,4518.0,24076.0,9.34
2019,33394164.0,16594875.0,16102257.0,492618.0,16799289.0,4797.0,24764.0,12.15
2020,41734323.0,23128656.0,22364711.0,763945.0,18605667.0,4744.0,23731.0,12.44
2021,53697941.0,32279956.0,29761106.0,2518850.0,21417985.0,5065.0,23599.0,18.36
2022,51650404.0,26294279.0,24521162.0,1773117.0,25356125.0,5252.0,23111.0,14.64
