Date,NOPAT
Q4/2005,97.032748076
Q3/2006,68.345979301
Q4/2006,240.014708508
Q1/2007,155.046633674
Q2/2007,210.921693967
Q3/2007,87.811782043
Q4/2007,272.50666476
Q1/2008,186.105081419
Q2/2008,201.584238212
Q3/2008,120.46879398
Q4/2008,330.495944285
Q1/2009,219.520438834
Q2/2009,231.84858892
Q3/2009,322.159689506
Q4/2009,288.213001038
Q1/2010,290.085439216
Q2/2010,388.100324237
Q3/2010,281.037265327
Q4/2010,303.827942489
Q1/2011,296.626348927
Q2/2011,415.45721117
Q3/2011,513.325729457
Q4/2011,462.745854718
Q1/2012,340.62959424
Q2/2012,412.340790623
Q3/2012,338.402486653
Q4/2012,448.954028815
Q1/2013,358.322731666
Q2/2013,444.785653324
Q3/2013,330.589868211
Q4/2013,474.009965778
Q1/2014,361.517383294
Q2/2014,427.585557091
Q3/2014,389.097954831
Q4/2014,450.528882174
Q1/2015,424.660831198
Q2/2015,456.633177458
Q3/2015,389.06398475
Q4/2015,662.357845998
Q1/2016,345.690044702
Q2/2016,516.003095637
Q3/2016,467.811292729
Q4/2016,661.138145324
Q1/2017,412.899887329
Q2/2017,511.685684995
Q3/2017,582.640652429
Q4/2017,1419.645450459
Q1/2018,509.013722111
Q2/2018,594.282345873
Q3/2018,724.9179246
Q4/2018,786.460440897
Q1/2019,626.304276321
Q2/2019,791.704283229
Q3/2019,960.108010842
Q4/2019,757.233806198
Q1/2020,747.105139041
Q2/2020,878.710517511
Q3/2020,928.887800638
Q4/2020,982.843692181
Q1/2021,906.142681183
Q2/2021,1000.031075984
Q3/2021,1124.838737907
Q4/2021,1301.522104628
Q1/2022,1238.879424986
Q2/2022,1250.820478762
Q3/2022,1453.716280969
Q4/2022,1351.601105816
Q1/2023,1493.56258089
Q2/2023,1509.219531243
Q3/2023,1739.340360244
