Date,Sales
Q4/2005,4753750566729
Q3/2006,5452430864402
Q4/2006,7142553479904
Q1/2007,5663584718970
Q2/2007,6070562308072
Q3/2007,6238109420272
Q4/2007,9376397268196
Q1/2008,8403530572365
Q2/2008,8830457309255
Q3/2008,7464327557045
Q4/2008,9113084423428
Q1/2009,7438681961628
Q2/2009,529098438954
Q3/2009,8377066572367
Q4/2009,14983873055400
Q1/2010,8017530294034
Q2/2010,1751094583111
Q3/2010,12602884150568
Q4/2010,10198524365711
Q1/2011,10199095223055
Q2/2011,1758420176097
Q3/2011,10140718445305
Q4/2011,13832026163451
Q1/2012,8937351712804
Q2/2012,2303973868513
Q3/2012,9869741097197
Q4/2012,10020774589431
Q1/2013,8611039318749
Q2/2013,3656172549992
Q3/2013,12000599396256
Q4/2013,11283426979266
Q1/2014,10867321675354
Q2/2014,3276528058610
Q3/2014,13477214908109
Q4/2014,15333191333048
Q1/2015,14713020191129
Q2/2015,3257001175058
Q3/2015,9527463506576
Q4/2015,10449042783674
Q1/2016,8466518261019
Q2/2016,8958526432579
Q3/2016,9755288350096
Q4/2016,12399573089770
Q1/2017,9418119567621
Q2/2017,9946702598780
Q3/2017,10831198037445
Q4/2017,12495737352665
Q1/2018,4750768611617
Q2/2018,5474262724100
Q3/2018,6036058933435
Q4/2018,6952446588573
Q1/2019,5666479616064
Q2/2019,6825918524598
Q3/2019,7104374137543
Q4/2019,8120187874196
Q1/2020,6630564911438
Q2/2020,6980002498337
Q3/2020,7553128504072
Q4/2020,8666704612977
Q1/2021,7586327669954
Q2/2021,8641707284821
Q3/2021,8725171956972
Q4/2021,10704055633280
Q1/2022,9730253844391
Q2/2022,10096060090959
Q3/2022,11148559020353
Q4/2022,13042426271109
Q1/2023,11681378883303
Q2/2023,12484364264902
Q3/2023,13761744975857
