tradingTime,lastPrice
2024-01-12,94.7
2024-01-11,95.0
2024-01-10,94.7
2024-01-09,96.6
2024-01-08,97.3
2024-01-05,97.4
2024-01-04,97.2
2024-01-03,96.3
2024-01-02,95.9
2023-12-29,96.1
2023-12-28,96.6
2023-12-27,96.9
2023-12-26,97.2
2023-12-25,96.0
2023-12-22,94.6
2023-12-21,95.1
2023-12-20,94.7
2023-12-19,94.6
2023-12-18,94.0
2023-12-15,96.2
2023-12-14,96.2
2023-12-13,95.2
2023-12-12,96.8
2023-12-11,95.0
2023-12-08,94.2
2023-12-07,94.3
2023-12-06,95.0
2023-12-05,94.8
2023-12-04,93.6
2023-12-01,92.4
2023-11-30,91.9
2023-11-29,91.7
2023-11-28,91.1
2023-11-27,90.7
2023-11-24,91.2
2023-11-23,90.8
2023-11-22,93.0
2023-11-21,91.9
2023-11-20,90.7
2023-11-17,91.0
2023-11-16,93.0
2023-11-15,92.4
2023-11-14,92.6
2023-11-13,91.4
2023-11-10,91.5
2023-11-09,92.5
2023-11-08,92.6
2023-11-07,88.3
2023-11-06,88.5
2023-11-03,87.0
2023-11-02,89.0
2023-11-01,85.4
2023-10-31,83.0
2023-10-30,85.0
2023-10-27,87.0
2023-10-26,86.8
2023-10-25,90.9
2023-10-24,92.0
2023-10-23,91.0
2023-10-20,92.9
2023-10-19,92.0
2023-10-18,93.0
2023-10-17,93.1
2023-10-16,96.8
2023-10-13,96.1
2023-10-12,96.4
2023-10-11,97.0
2023-10-10,96.3
2023-10-09,95.6
2023-10-06,92.7
2023-10-05,91.6
2023-10-04,92.5
2023-10-03,92.2
2023-10-02,93.2
2023-09-29,92.8
2023-09-28,94.0
2023-09-27,94.3
2023-09-26,93.5
2023-09-25,94.3
2023-09-22,96.7
2023-09-21,96.8
2023-09-20,98.5
2023-09-19,98.4
2023-09-18,96.9
2023-09-15,97.5
2023-09-14,95.9
2023-09-13,98.0
2023-09-12,98.9
2023-09-11,97.4
2023-09-08,97.6
2023-09-07,97.9
2023-09-06,99.0
2023-09-05,96.8
2023-08-31,96.7
2023-08-30,96.6
2023-08-29,93.6
2023-08-28,94.0
2023-08-25,90.6
2023-08-24,90.0
2023-08-23,85.5
2023-08-22,85.5
2023-08-21,84.91
2023-08-18,84.51
2023-08-17,85.01
2023-08-16,84.12
2023-08-15,83.03
2023-08-14,81.65
2023-08-11,81.05
2023-08-10,81.25
2023-08-09,82.14
2023-08-08,83.23
2023-08-07,83.52
2023-08-04,82.34
2023-08-03,82.73
2023-08-02,82.53
2023-08-01,83.52
2023-07-31,84.61
2023-07-28,83.42
2023-07-27,82.73
2023-07-26,81.74
2023-07-25,80.36
2023-07-24,80.06
2023-07-21,80.06
2023-07-20,79.37
2023-07-19,77.59
2023-07-18,77.79
2023-07-17,78.09
2023-07-14,77.39
2023-07-13,74.92
2023-07-12,74.43
2023-07-11,74.13
2023-07-10,74.43
2023-07-07,74.43
2023-07-06,73.74
2023-07-05,73.94
2023-07-04,73.94
2023-07-03,73.43
2023-06-30,73.09
2023-06-29,73.51
2023-06-28,73.94
2023-06-27,74.19
2023-06-26,72.92
