Item,Q4 2002,Q4 2003,Q4 2004,Q4 2005,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,509891000000.0,917139000000.0,1495173000000.0,2020706000000.0,2409677475147.0,3072815767350.0,2947790658881.0,3422271274396.0,3154149095378.0,4366815291496.0,5220522764826.0,5108073191392.0,4812219632151.0,4743460107023.0,4530553415214.0,4885602141554.0,5811411191435.0,8103156239842.0,7660727018074.0,8459816926451.0,9004707089146.0,8829077920497.0,9283951604173.0,9018714049902.0,10607052240311.0,11410324009188.0,10656598646124.0,10787560955066.0,11037974548605.0,10282180507664.0,9906638187586.0,11274078330983.0,11269784456021.0,12954620887356.0,12668499994145.0,12729371523841.0,14847358003570.0,16961911296832.0,16319850549250.0,16240764508172.0,16827486019097.0,19209379831470.0,17461658575148.0,17801376676328.0,18913791763597.0,22082043377930.0,20264901139315.0,20220919501793.0,21767021262664.0,16053004009331.0,15891378282225.0,16757931160407.0,17461655201328.0,18373436282759.0,16918516176002.0,17849605068189.0,18431909603327.0,19038081282518.0,19577485114151.0,20974738294596.0,22473334313473.0,25608346381474.0,27905525240833.0,29634333850918.0,30655506375345.0,35116784160545.0,36617350544580.0,37159706261301.0,35269474823622.0,30933924692832.0,29524492711606.0,38758427341944.0,39531943273981.0
I. Tiền và các khoản tương đương tiền,102747000000.0,79956000000.0,372681000000.0,415058000000.0,371226203151.0,669451697815.0,511180166408.0,681282901927.0,531231426657.0,895514803431.0,1455135564834.0,1074769425568.0,1156843798267.0,1245513889933.0,906050124292.0,938964115057.0,1646597651753.0,2312095706271.0,1335559875124.0,1710798091903.0,1687215478156.0,1518850863053.0,1979760096179.0,1785765054942.0,2497687102430.0,2900388600451.0,2177152385910.0,2085584812108.0,2793287986534.0,2286184893437.0,1928204362705.0,2156011854467.0,2292011717347.0,2487189282572.0,3123048999107.0,2392462293952.0,4106773475086.0,4303014447769.0,3995053828972.0,2991140629461.0,3015692853195.0,3584709151768.0,3429950285190.0,3875543217939.0,4675450843741.0,5530631337393.0,4035911405009.0,4577961502901.0,5224202887296.0,3480646512895.0,3076144406971.0,4060090013409.0,3982145134665.0,3926316297829.0,2678204837715.0,3081007361357.0,3230352153676.0,3457655751733.0,3891505567427.0,4180454757893.0,4306782189437.0,4684867868361.0,5162685900519.0,4978881337221.0,5446784083688.0,5417845274047.0,4825840656865.0,5219950154604.0,3737291803926.0,6440177174268.0,3289424451229.0,6236475101406.0,7153625069795.0
1. Tiền,,,372681000000.0,415058000000.0,,669451697815.0,,,531231426657.0,895514803431.0,1435135564834.0,814073397118.0,1115690520489.0,1245513889933.0,902454031362.0,750883178995.0,1397857651753.0,1716895706271.0,983387075124.0,1038071734377.0,1078167682662.0,861675273221.0,813299994289.0,756805335736.0,1194452471117.0,1496143986571.0,814844995982.0,800283072110.0,1096474430729.0,1456621011901.0,828866720526.0,1332411694935.0,1163063504309.0,1426911070762.0,1326966272754.0,1117153018502.0,1690109803136.0,2072206319316.0,1883475997895.0,1489000786028.0,1288273331126.0,1879394384865.0,1522991519062.0,1557235903894.0,1956900471273.0,2707946518879.0,1574048600333.0,2141101193725.0,2326716877273.0,1886422216827.0,1543897642209.0,2414897073339.0,2414203134665.0,2704220233385.0,2130553810097.0,2807554223819.0,2416994911003.0,2613075178399.0,2540183607656.0,2107172844328.0,2358776250450.0,2215419285080.0,2631972515733.0,2671613358430.0,2936232673264.0,3447377471942.0,2854818888207.0,3951871648589.0,3482963103926.0,3880860111126.0,3068013165452.0,4116495111876.0,4868732047232.0
2. Các khoản tương đương tiền,,,0.0,0.0,,0.0,,,0.0,0.0,20000000000.0,260696028450.0,41153277778.0,0.0,3596092930.0,188080936062.0,248740000000.0,595200000000.0,352172800000.0,672726357526.0,609047795494.0,657175589832.0,1166460101890.0,1028959719206.0,1303234631313.0,1404244613880.0,1362307389928.0,1285301739998.0,1696813555805.0,829563881536.0,1099337642179.0,823600159532.0,1128948213038.0,1060278211810.0,1796082726353.0,1275309275450.0,2416663671950.0,2230808128453.0,2111577831077.0,1502139843433.0,1727419522069.0,1705314766903.0,1906958766128.0,2318307314045.0,2718550372468.0,2822684818514.0,2461862804676.0,2436860309176.0,2897486010023.0,1594224296068.0,1532246764762.0,1645192940070.0,1567942000000.0,1222096064444.0,547651027618.0,273453137538.0,813357242673.0,844580573334.0,1351321959771.0,2073281913565.0,1948005938987.0,2469448583281.0,2530713384786.0,2307267978791.0,2510551410424.0,1970467802105.0,1971021768658.0,1268078506015.0,254328700000.0,2559317063142.0,221411285777.0,2119979989530.0,2284893022563.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525000000.0,6370000000.0,0.0,160839100000.0,617714309165.0,1021000000000.0,1676550346442.0,1596910774971.0,365434786170.0,338637987299.0,751974468354.0,760173086092.0,860197468810.0,879619795330.0,1590122215770.0,1499491238247.0,685239042818.0,812059551953.0,1356939558182.0,1204185104297.0,1682449364921.0,861819209993.0,1169418719131.0,721521969131.0,1474754664176.0,899876331275.0,1243877434176.0,1912645754176.0,2659240824447.0,2223028355804.0,2736219157412.0,2907899775232.0,3975682395024.0,4208375623745.0,3361115859529.0,3477767956792.0,4379446212073.0,4798538245584.0,4866280283759.0,5067136124622.0,5567995714107.0,5727896026412.0,5892075944888.0,6305339416212.0,6777898508889.0,6943402877397.0,8823220085750.0,9990823495588.0,12435918124269.0,14057681981618.0,15532505379957.0,16055301795066.0,20730720735456.0,21606129233008.0,21520473393082.0,20389025847693.0,13036072272619.0,13860719245281.0,20451941376989.0,19618195845890.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2525000000.0,6370000000.0,0.0,160839100000.0,617714309165.0,1021000000000.0,1676550346442.0,1596910774971.0,365434786170.0,341597987299.0,753674468354.0,762653086092.0,860197468810.0,879619795330.0,1590122215770.0,1499491238247.0,700845664572.0,827666173707.0,1372690179936.0,1219935726051.0,1691854862041.0,871224707113.0,1178824216251.0,730927466251.0,1484160161296.0,899876331275.0,1253282931296.0,1922051251296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2960000000.0,-1700000000.0,-2480000000.0,0.0,0.0,0.0,0.0,-15606621754.0,-15606621754.0,-15750621754.0,-15750621754.0,-9405497120.0,-9405497120.0,-9405497120.0,-9405497120.0,-9405497120.0,0.0,-9405497120.0,-9405497120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2659240824447.0,2223028355804.0,2736219157412.0,2907899775232.0,3975682395024.0,4208375623745.0,3361115859529.0,3477767956792.0,4379446212073.0,4798538245584.0,4866280283759.0,5067136124622.0,5567995714107.0,5727896026412.0,5892075944888.0,6305339416212.0,6777898508889.0,6943402877397.0,8823220085750.0,9990823495588.0,12435918124269.0,14057681981618.0,15532505379957.0,16055301795066.0,20730720735456.0,21606129233008.0,21520473393082.0,20389025847693.0,13036072272619.0,13860719245281.0,20451941376989.0,19618195845890.0
III. Các khoản phải thu ngắn hạn,275855000000.0,619656000000.0,756305000000.0,1197394000000.0,1375831626884.0,1761782271607.0,1465611066630.0,1623727713214.0,1596637485043.0,1927073998607.0,2200183472387.0,2059099502537.0,1662604521522.0,2015311859868.0,1922379658828.0,1970316568310.0,2102470121896.0,2844686070396.0,2376399915502.0,2764728809536.0,3161608754942.0,3369871176185.0,3345692557036.0,3237713661002.0,3461975925083.0,3835502333309.0,3521895840476.0,3318011997655.0,3339323345207.0,3833776308379.0,3377675283779.0,3895289568307.0,4064949694207.0,4428870730921.0,4148976921805.0,4448975490126.0,4731525520763.0,5031916385084.0,4906678690700.0,5386005932759.0,5278432468253.0,5720742057077.0,4955476177915.0,5342237880620.0,5779937142113.0,6814501442288.0,5914799777521.0,6816083732791.0,7317866840669.0,6162178597688.0,5709635608502.0,5429554630371.0,5704790784580.0,6424005050090.0,5872491479218.0,6452904237544.0,6515911793608.0,6520456215584.0,6587706294394.0,5803633693745.0,5930772737994.0,6263024543620.0,6051076946319.0,6675995128182.0,6654818353847.0,6882319562187.0,7635393660172.0,7494546042666.0,8184661159428.0,8510152205706.0,9293933666296.0,9006495599449.0,9819319720327.0
