Item,Q4 2005,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,4753750566729.0,5452430864402.0,7142553479904.0,5663584718970.0,6070562308072.0,6238109420272.0,9376397268196.0,8403530572365.0,8830457309255.0,7464327557045.0,9113084423428.0,7447566675983.0,530195748170.0,8377066572367.0,14983873055400.0,8020429057238.0,1756277633276.0,12602884150568.0,10198524365711.0,10210524580435.0,1773314212492.0,10126660100026.0,13832026163451.0,8940979014872.0,2308073507779.0,9873713424100.0,10040654310254.0,8624746682345.0,3675785297012.0,12022073340628.0,11312683119637.0,10917007018701.0,3324487195305.0,13536552309844.0,15407479354559.0,14829609684794.0,3407622811787.0,9728980764776.0,10476293038008.0,8702590304172.0,9213317509766.0,9964309674574.0,12615351927832.0,9606952451575.0,10089127514119.0,10973968764817.0,12661494286639.0,4756965340838.0,5479349328640.0,6047729557924.0,6975082049864.0,5672126363409.0,6834181383787.0,7138804848615.0,8146869581144.0,6645014371789.0,6997263488982.0,7578691043196.0,8700729240329.0,7605674678535.0,8625504443301.0,8687049614341.0,10714772437502.0,9731832420600.0,10096707659064.0,11148779552748.0,13053462794764.0,11683021258544.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8884714355.0,1097309216.0,0.0,0.0,2898763204.0,5183050165.0,0.0,0.0,11429357380.0,14894036395.0,-14058345279.0,0.0,3627302068.0,4099639266.0,3972326903.0,19879720823.0,13707363596.0,19612747020.0,21473944372.0,29256140371.0,49685343347.0,47959136695.0,59337401735.0,74288021511.0,116589493665.0,150621636729.0,201517258200.0,27250254334.0,236072043153.0,254791077187.0,209021324478.0,215778838062.0,188832883954.0,142424915339.0,142770727372.0,165756933974.0,6196729221.0,5086604540.0,11670624489.0,22635461291.0,5646747345.0,8262859189.0,34430711072.0,26681706948.0,14449460351.0,17260990645.0,25562539124.0,34024627352.0,19347008581.0,-16202841520.0,-38122342631.0,10716804222.0,1578576209.0,647568105.0,220532395.0,11036523655.0,1642375241.0
3. Doanh thu thuần (1)-(2),4753750566729.0,5452430864402.0,7142553479904.0,5663584718970.0,6070562308072.0,6238109420272.0,9376397268196.0,8403530572365.0,8830457309255.0,7464327557045.0,9113084423428.0,7438681961628.0,529098438954.0,8377066572367.0,14983873055400.0,8017530294034.0,1751094583111.0,12602884150568.0,10198524365711.0,10199095223055.0,1758420176097.0,10140718445305.0,13832026163451.0,8937351712804.0,2303973868513.0,9869741097197.0,10020774589431.0,8611039318749.0,3656172549992.0,12000599396256.0,11283426979266.0,10867321675354.0,3276528058610.0,13477214908109.0,15333191333048.0,14713020191129.0,3257001175058.0,9527463506576.0,10449042783674.0,8466518261019.0,8958526432579.0,9755288350096.0,12399573089770.0,9418119567621.0,9946702598780.0,10831198037445.0,12495737352665.0,4750768611617.0,5474262724100.0,6036058933435.0,6952446588573.0,5666479616064.0,6825918524598.0,7104374137543.0,8120187874196.0,6630564911438.0,6980002498337.0,7553128504072.0,8666704612977.0,7586327669954.0,8641707284821.0,8725171956972.0,10704055633280.0,9730253844391.0,10096060090959.0,11148559020353.0,13042426271109.0,11681378883303.0
4. Giá vốn hàng bán,4426646254163.0,5117664290338.0,6527895995878.0,5260653226564.0,5509316749370.0,5757725257923.0,8480643526017.0,7713978488806.0,7868946427145.0,6743361239634.0,8097055011902.0,6562715076603.0,-411833789695.0,7326870841010.0,13611984678970.0,7008264736290.0,859459451389.0,11474978859077.0,8901564447602.0,9038265555939.0,560577173859.0,8896496577129.0,12178538952968.0,7820009646938.0,1198476642140.0,8734212498716.0,8509643228189.0,7417863368376.0,2290966057209.0,10654524368153.0,9645313343949.0,9522263035169.0,1722524485706.0,11870554158754.0,13564975357078.0,13023302315188.0,1455088392078.0,7612866881691.0,8290362197320.0,6780366914104.0,7024976073110.0,7538707301267.0,9612445517435.0,7342606178604.0,7515123047941.0,8415361412069.0,9645315336292.0,2895208284813.0,3473590126697.0,3740388690646.0,4381235841117.0,3387149316396.0,4247788982478.0,4321648868311.0,5049159596679.0,4006186532912.0,4258247824386.0,4554350312294.0,5195783662734.0,4691800715286.0,5201526141916.0,5474243222947.0,6609687457941.0,5776932551838.0,6253371741649.0,6789073328096.0,7801152486947.0,7113499882609.0
5. Lợi nhuận gộp (3)-(4),327071563162.0,334766574064.0,614657484026.0,402931492406.0,561245558702.0,480384162349.0,895753742179.0,689552083559.0,961510882110.0,720966317411.0,1016029411526.0,875966885025.0,940932228649.0,1050195731357.0,1371888376430.0,1009265557744.0,891635131722.0,1127905291491.0,1296959918109.0,1160829667116.0,1197843002238.0,1244221868176.0,1653487210483.0,1117342065866.0,1105497226373.0,1135528598481.0,1511131361242.0,1193175950373.0,1365206492783.0,1346075028103.0,1638113635317.0,1345058640185.0,1554003572904.0,1606660749355.0,1768215975970.0,1689717875941.0,1801912782980.0,1914596624885.0,2158680586354.0,1686151346915.0,1933550359469.0,2216581048829.0,2787127572335.0,2075513389017.0,2431579550839.0,2415836625376.0,2850422016373.0,1855560326804.0,2000672597403.0,2295670242789.0,2571210747456.0,2279330299668.0,2578129542120.0,2782725269232.0,3071028277517.0,2624378378526.0,2721754673951.0,2998778191778.0,3470920950243.0,2894526954668.0,3440181142905.0,3250928734025.0,4094368175339.0,3953321292553.0,3842688349310.0,4359485692257.0,5241273784162.0,4567879000694.0
6. Doanh thu hoạt động tài chính,2779237518.0,2414402109.0,4400134658.0,10100065262.0,5532058064.0,8071533017.0,25557548196.0,41779476549.0,44281125615.0,41366828472.0,69678221575.0,26431500922.0,41518976952.0,39136902610.0,96123946593.0,115615898143.0,100535093228.0,194863280387.0,129939307593.0,131297652948.0,99675713124.0,222314527371.0,120361598180.0,109579928886.0,123643167426.0,129245974632.0,323149521980.0,62994839537.0,78484913031.0,60335678666.0,183905929068.0,83919239549.0,75899632592.0,98394902661.0,109430790906.0,89420051565.0,98267830950.0,111424116814.0,157336802226.0,161405373886.0,159032637935.0,139922422113.0,240044516526.0,165921890251.0,162595733071.0,174827996803.0,1135241449538.0,153492560984.0,112699870321.0,124076383785.0,216866279123.0,153577698004.0,164115058319.0,165793907640.0,206123383314.0,178339694711.0,202241950450.0,218188627566.0,223126152055.0,325440423279.0,240540286743.0,332266541305.0,372542134940.0,415786301903.0,506153596907.0,549704414876.0,526329659816.0,676476546426.0
7. Chi phí tài chính,12546926020.0,21436551197.0,16288564240.0,13644174369.0,16784251502.0,21824700770.0,22023938176.0,47240440162.0,212528931095.0,133456337140.0,81594715822.0,71628416967.0,73722080213.0,48657616878.0,256846227498.0,148188278618.0,38819290961.0,193899526186.0,253373492729.0,304280046543.0,107190925572.0,176659287707.0,135532517881.0,122821690274.0,117385230075.0,90702707129.0,268337654350.0,63070822216.0,83267090537.0,65079637611.0,59138016837.0,61447491419.0,88081178482.0,77732928024.0,129236167175.0,120816576677.0,142841952425.0,194923018629.0,165561862702.0,124384876152.0,223845440891.0,192112127954.0,279516757986.0,200267169456.0,188908861759.0,138678362738.0,128504532260.0,142295399439.0,70016554956.0,66603046663.0,89173349173.0,121303122605.0,204225331566.0,130422355652.0,171720224922.0,181045734457.0,106159096432.0,108899945949.0,152060434779.0,141136993354.0,361830175777.0,272888215242.0,366884116683.0,267572525432.0,336841342151.0,413926492214.0,644381295008.0,496815340139.0
Trong đó: Chi phí lãi vay,10075754459.0,17565523215.0,10717172016.0,9609988640.0,11091556679.0,10205903777.0,12391631002.0,22055490966.0,28091216966.0,18787551797.0,11551066410.0,13268048840.0,15559246108.0,15691418509.0,65270240504.0,74331818876.0,52272278730.0,103227497357.0,86390220075.0,99144295476.0,23273850135.0,99415900391.0,54626306021.0,89460787511.0,46154264624.0,68950952012.0,73434953424.0,35581809119.0,29936292950.0,33765560183.0,33207510570.0,35506573224.0,47212296680.0,49194248354.0,91952795323.0,40841485197.0,65642153436.0,54828938991.0,105133994523.0,63801798833.0,107257164991.0,104295791626.0,102512653453.0,112871916941.0,100132120554.0,85119266199.0,70422375454.0,46408615422.0,55088753336.0,62035657522.0,74811405467.0,72702857836.0,72389484923.0,100505919296.0,120746859238.0,99625907809.0,101366297422.0,85791923680.0,98553625985.0,99817213604.0,124530447801.0,120148949616.0,138051289994.0,145819741163.0,176780202334.0,166542329315.0,156583283497.0,147985668274.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,2946712110.0,-796833668.0,-13017008046.0,6689057558.0,-29114918269.0,6898937703.0,13841676427.0,17986988007.0,28725237846.0,19581202284.0,30697685715.0,29797574689.0,30001969364.0,25102503153.0,30759359642.0,30682296520.0,-25782152604.0,13123919486.0,16205345130.0,3269277935.0,63315845.0,1222948079.0,6826390262.0,4531540007.0,8940007930.0,10333768081.0,7702177067.0,10017911454.0,12804742843.0,8900846196.0,8970427651.0,7754671095.0,8848742276.0,7387580051.0,9941580589.0,7952766676.0,9851435054.0,10193812104.0,10544051485.0,10845866292.0,37741436879.0,97762341652.0,117921377105.0,112620018554.0,110723377378.0,94803959655.0,124252626107.0,119413684118.0,66457196433.0,80123998402.0,69375800441.0,67778123792.0,94915649543.0,115085619364.0,149843474585.0,147867487076.0,272533380299.0,208830242201.0,86152785186.0,91215132079.0,98197938512.0,43757073944.0
9. Chi phí bán hàng,102261242798.0,116417204719.0,191998515097.0,110290430549.0,134534139655.0,172098572134.0,306982874635.0,224881381018.0,221924587177.0,248591992676.0,276734563268.0,210887581354.0,231727049560.0,242066112871.0,374656468442.0,225020455433.0,4570089347.0,345529484562.0,298279526577.0,145728454797.0,185043359168.0,224360183425.0,259466488820.0,166009269036.0,209350258482.0,237161566241.0,310733967450.0,254508011272.0,296759398863.0,344080456028.0,477727928366.0,344492563430.0,387407906436.0,415170114454.0,542275938406.0,522723919797.0,523476460522.0,589228067063.0,500710078079.0,597560642366.0,574760435470.0,698480385735.0,840785657504.0,729390435161.0,722126928368.0,756295421886.0,868666020456.0,422707405722.0,451959254396.0,507534958450.0,665496334471.0,488586048888.0,566455497992.0,559023139084.0,727169234250.0,620220561506.0,606378140166.0,627451667728.0,858582754238.0,852114921328.0,829919009383.0,804023830463.0,1225942020370.0,1007092497146.0,1013823056754.0,1131402372888.0,1481341041915.0,1101871534159.0
