Period,Lưu chuyển tiền thuần trong kỳ
Q1 2008,557669354476.0
Q2 2008,-380948756472.0
Q3 2008,83191895310.0
Q4 2008,90086593188.0
Q1 2009,-334110706628.0
Q2 2009,30571894188.0
Q3 2009,707633536696.0
Q4 2009,665498054518.0
Q1 2010,-974950151507.0
Q2 2010,375238216780.0
Q3 2010,-23582613748.0
Q4 2010,-168364615103.0
Q1 2011,543632330649.0
Q2 2011,-193995041237.0
Q3 2011,711922047488.0
Q4 2011,402701498021.0
Q1 2012,-725230437373.0
Q2 2012,-91567573801.0
Q3 2012,707703174426.0
Q4 2012,-507103093098.0
Q1 2013,-390710659385.0
Q2 2013,227807491762.0
Q3 2013,135999862881.0
Q4 2013,195177565224.0
Q1 2014,372077855093.0
Q2 2014,-730586705156.0
Q3 2014,1714311181135.0
Q4 2014,196240972682.0
Q1 2015,-341228618796.0
Q2 2015,-1003913199512.0
Q3 2015,24552223734.0
Q4 2015,569016298574.0
Q1 2016,-154758866580.0
Q2 2016,445592932750.0
Q3 2016,799907625802.0
Q4 2016,855180493652.0
Q1 2017,-1977449984766.0
Q2 2017,542050097893.0
Q3 2017,646241384395.0
Q4 2017,-1743556374401.0
Q1 2018,-404515107817.0
Q2 2018,983945606438.0
Q3 2018,-77944878744.0
Q4 2018,-55828836836.0
Q1 2019,-1247522368578.0
Q2 2019,402802523642.0
Q3 2019,149344792319.0
Q4 2019,232223197678.0
Q1 2020,435345311288.0
Q2 2020,297743136881.0
Q3 2020,127415143700.0
Q4 2020,371084198742.0
Q1 2021,488563930841.0
Q2 2021,-156976642845.0
Q3 2021,484588435363.0
Q4 2021,-24745927358.0
Q1 2022,-621218207975.0
Q2 2022,412812624086.0
Q3 2022,-1465023272829.0
Q4 2022,2711239992990.0
Q1 2023,-3153916012548.0
Q2 2023,2984475967307.0
Q3 2023,892281854179.0
