Quarter,Rate
13-Jul-90,8.00%
29-Oct-90,7.75%
14-Nov-90,7.50%
7-Dec-90,7.25%
19-Dec-90,7.00%
9-Jan-91,6.75%
1-Feb-91,6.25%
8-Mar-91,6.00%
30-Apr-91,5.75%
6-Aug-91,5.50%
13-Sep-91,5.25%
31-Oct-91,5.00%
6-Nov-91,4.75%
6-Dec-91,4.50%
20-Dec-91,4.00%
9-Apr-92,3.75%
2-Jul-92,3.25%
4-Sep-92,3.00%
4-Feb-94,3.25%
22-Mar-94,3.50%
18-Apr-94,3.75%
17-May-94,4.25%
16-Aug-94,4.75%
15-Nov-94,5.50%
1-Feb-95,6.00%
6-Jul-95,5.75%
19-Dec-95,5.50%
31-Jan-96,5.25%
25-Mar-97,5.50%
29-Sep-98,5.25%
15-Oct-98,5.00%
17-Nov-98,4.75%
30-Jun-99,5.00%
24-Aug-99,5.25%
16-Nov-99,5.50%
2-Feb-00,5.75%
21-Mar-00,6.00%
16-May-00,6.50%
3-Jan-01,6.00%
31-Jan-01,5.50%
20-Mar-01,5.00%
18-Apr-01,4.50%
15-May-01,4.00%
27-Jun-01,3.75%
21-Aug-01,3.50%
17-Sep-01,3.00%
2-Oct-01,2.50%
6-Nov-01,2.00%
11-Dec-01,1.75%
6-Nov-02,1.25%
25-Jun-03,1.00%
30-Jun-04,1.25%
10-Aug-04,1.50%
21-Sep-04,1.75%
10-Nov-04,2.00%
14-Dec-04,2.25%
2-Feb-05,2.50%
22-Mar-05,2.75%
3-May-05,3.00%
30-Jun-05,3.25%
9-Aug-05,3.50%
20-Sep-05,3.75%
1-Nov-05,4.00%
13-Dec-05,4.25%
31-Jan-06,4.50%
28-Mar-06,4.75%
10-May-06,5.00%
29-Jun-06,5.25%
18-Sep-07,4.75%
31-Oct-07,4.50%
11-Dec-07,4.25%
22-Jan-08,3.50%
30-Jan-08,3.00%
18-Mar-08,2.25%
30-Apr-08,2.00%
25-Jun-08,2.00%
5-Aug-08,2.00%
16-Sep-08,2.00%
8-Oct-08,1.50%
29-Oct-08,1.00%
16-Dec-08,0.25%
28-Jan-09,0.25%
18-Mar-09,0.25%
29-Apr-09,0.25%
24-Jun-09,0.25%
12-Aug-09,0.25%
23-Sep-09,0.25%
4-Nov-09,0.25%
16-Dec-09,0.25%
27-Jan-10,0.25%
16-Mar-10,0.25%
28-Apr-10,0.25%
23-Jun-10,0.25%
10-Aug-10,0.25%
21-Sep-10,0.25%
3-Nov-10,0.25%
14-Dec-10,0.25%
26-Jan-11,0.25%
15-Mar-11,0.25%
27-Apr-11,0.25%
22-Jun-11,0.25%
9-Aug-11,0.25%
21-Sep-11,0.25%
2-Nov-11,0.25%
13-Dec-11,0.25%
25-Jan-12,0.25%
13-Mar-12,0.25%
25-Apr-12,0.25%
20-Jun-12,0.25%
1-Aug-12,0.25%
13-Sep-12,0.25%
24-Oct-12,0.25%
12-Dec-12,0.25%
30-Jan-13,0.25%
20-Mar-13,0.25%
1-May-13,0.25%
19-Jun-13,0.25%
31-Jul-13,0.25%
18-Sep-13,0.25%
30-Oct-13,0.25%
18-Dec-13,0.25%
29-Jan-14,0.25%
19-Mar-14,0.25%
30-Apr-14,0.25%
18-Jun-14,0.25%
30-Jul-14,0.25%
17-Sep-14,0.25%
29-Oct-14,0.25%
17-Dec-14,0.25%
28-Jan-15,0.25%
18-Mar-15,0.25%
29-Apr-15,0.25%
17-Jun-15,0.25%
29-Jul-15,0.25%
17-Sep-15,0.25%
28-Oct-15,0.25%
16-Dec-15,0.50%
27-Jan-16,0.50%
16-Mar-16,0.50%
27-Apr-16,0.50%
15-Jun-16,0.50%
27-Jul-16,0.50%
21-Sep-16,0.50%
2-Nov-16,0.50%
14-Dec-16,0.75%
1-Feb-17,0.75%
15-Mar-17,1.00%
3-May-17,1.00%
14-Jun-17,1.25%
26-Jul-17,1.25%
20-Sep-17,1.25%
1-Nov-17,1.25%
13-Dec-17,1.50%
31-Jan-18,1.50%
21-Mar-18,1.75%
2-May-18,1.75%
13-Jun-18,2.00%
1-Aug-18,2.00%
26-Sep-18,2.25%
8-Nov-18,2.25%
19-Dec-18,2.50%
30-Jan-19,2.50%
20-Mar-19,2.50%
1-May-19,2.50%
19-Jun-19,2.50%
31-Jul-19,2.25%
18-Sep-19,2.00%
30-Oct-19,1.75%
11-Dec-19,1.75%
29-Jan-20,1.75%
3-Mar-20,1.25%
15-Mar-20,0.25%
29-Apr-20,0.25%
10-Jun-20,0.25%
29-Jul-20,0.25%
16-Sep-20,0.25%
5-Nov-20,0.25%
16-Dec-20,0.25%
27-Jan-21,0.25%
17-Mar-21,0.25%
28-Apr-21,0.25%
16-Jun-21,0.25%
28-Jul-21,0.25%
22-Sep-21,0.25%
3-Nov-21,0.25%
15-Dec-21,0.25%
26-Jan-22,0.25%
16-Mar-22,0.50%
4-May-22,1.00%
15-Jun-22,1.75%
27-Jul-22,2.50%
21-Sep-22,3.25%
2-Nov-22,4.00%
14-Dec-22,4.50%
1-Feb-23,4.75%
22-Mar-23,5.00%
3-May-23,5.25%
14-Jun-23,5.25%
26-Jul-23,5.50%
20-Sep-23,5.50%
1-Nov-23,5.50%
