Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2010 - Q1,537486.0,247090.0,210272.0,36818.0,290379.0,286.0,19281.0,0.0
2012 - Q2,,,,,,-866.0,0.0,-6.93
2012 - Q3,,,,,,-2393.0,0.0,-1.63
2012 - Q4,519923.0,146462.0,121118.0,25344.0,373460.0,1020.0,16555.0,4.21
2013 - Q1,,,,,,602.0,0.0,8.8
2013 - Q2,750617.0,373191.0,371638.0,1553.0,377425.0,1816.0,16731.0,3.14
2013 - Q3,631157.0,254615.0,230879.0,23736.0,376542.0,3039.0,16691.0,2.11
2013 - Q4,658702.0,281033.0,256474.0,24559.0,377670.0,90.0,16741.0,63.26
2014 - Q1,590216.0,224998.0,200575.0,24423.0,365218.0,-10.0,16189.0,-669.36
2014 - Q2,548160.0,180246.0,158879.0,21367.0,367915.0,-417.0,16309.0,-12.95
2014 - Q3,628579.0,254494.0,233476.0,21018.0,374085.0,98.0,16582.0,54.07
2014 - Q4,584492.0,205910.0,204013.0,1897.0,378582.0,165.0,16782.0,27.81
2015 - Q1,515372.0,137542.0,107120.0,30422.0,377831.0,507.0,16749.0,10.06
2015 - Q2,572814.0,216798.0,192507.0,24291.0,356016.0,121.0,15782.0,59.7
2015 - Q3,650808.0,296398.0,270491.0,25907.0,354410.0,-102.0,15710.0,-54.83
2015 - Q4,530948.0,153971.0,132616.0,21355.0,376977.0,816.0,16711.0,7.23
2016 - Q1,595802.0,218190.0,197954.0,20236.0,377612.0,898.0,16739.0,7.8
2016 - Q2,540532.0,184885.0,163998.0,20887.0,355647.0,735.0,15765.0,9.67
2016 - Q3,569022.0,213886.0,193378.0,20508.0,355136.0,511.0,15743.0,8.8
2016 - Q4,539683.0,210250.0,206688.0,3562.0,329433.0,-71.0,15270.0,-61.79
2017 - Q1,518132.0,191441.0,188978.0,2463.0,326690.0,-191.0,15143.0,-24.15
2017 - Q2,576205.0,245272.0,243400.0,1872.0,330933.0,427.0,15340.0,12.88
2017 - Q3,666191.0,335539.0,333998.0,1541.0,330652.0,553.0,15327.0,10.84
2017 - Q4,676976.0,345482.0,342205.0,3277.0,331495.0,146.0,15366.0,43.23
2018 - Q1,565484.0,237231.0,232991.0,4240.0,328253.0,132.0,15215.0,49.1
2018 - Q2,628084.0,298769.0,294473.0,4296.0,329315.0,-54.0,16865.0,-130.11
2018 - Q3,608050.0,268487.0,228196.0,40291.0,339563.0,332.0,17390.0,21.99
2018 - Q4,607400.0,282063.0,239750.0,42313.0,325337.0,82.0,15778.0,84.13
2019 - Q1,497371.0,170556.0,168529.0,2027.0,326816.0,305.0,15850.0,18.67
2019 - Q2,546168.0,216645.0,213396.0,3249.0,329522.0,421.0,15981.0,16.62
2019 - Q3,541071.0,209450.0,206285.0,3165.0,331622.0,45.0,16083.0,145.58
2019 - Q4,518639.0,190719.0,187977.0,2742.0,327920.0,79.0,15904.0,83.98
2020 - Q1,499956.0,174850.0,172727.0,2123.0,325106.0,-153.0,15767.0,-33.9
2020 - Q2,598488.0,230593.0,228634.0,1959.0,367895.0,1796.0,17842.0,3.95
2020 - Q3,717222.0,387512.0,386409.0,1103.0,329710.0,1725.0,15990.0,5.51
2020 - Q4,592138.0,285931.0,285931.0,0.0,306207.0,297.0,14851.0,36.31
2021 - Q1,484782.0,185152.0,184652.0,500.0,299630.0,191.0,14532.0,52.98
2021 - Q2,501173.0,202082.0,201582.0,500.0,299091.0,-1911.0,14505.0,-5.29
2021 - Q3,602892.0,283861.0,283361.0,500.0,319031.0,-1306.0,15473.0,-7.35
2021 - Q4,559798.0,225237.0,222080.0,3157.0,334561.0,245.0,16226.0,44.1
2022 - Q1,568145.0,245409.0,244909.0,500.0,322737.0,11.0,14306.0,1002.79
2022 - Q2,600025.0,256221.0,255721.0,500.0,343804.0,1022.0,15240.0,8.12
2022 - Q3,723794.0,374210.0,373710.0,500.0,349584.0,702.0,15496.0,11.4
2022 - Q4,742991.0,366274.0,365774.0,500.0,376717.0,1568.0,16699.0,4.59
2023 - Q1,776753.0,364655.0,364155.0,500.0,412099.0,2352.0,18268.0,3.02
2023 - Q2,820780.0,388519.0,388019.0,500.0,432261.0,2114.0,19161.0,3.97
