Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007,444175.0,153632.0,152041.0,1591.0,285720.0,4251.0,33418.0,0.0
2008,521057.0,206373.0,170275.0,36098.0,314457.0,4061.0,32725.0,0.0
2009,598939.0,273063.0,232297.0,40766.0,325859.0,6358.0,33912.0,0.0
2010,577621.0,157380.0,116707.0,40673.0,420241.0,2034.0,23796.0,9.96
2011,584832.0,227448.0,194722.0,32726.0,357934.0,-1520.0,20616.0,-5.32
2012,519923.0,146462.0,121118.0,25344.0,373460.0,896.0,17368.0,5.04
2013,649545.0,274501.0,252268.0,22233.0,375044.0,74.0,17384.0,81.2
2014,584349.0,204061.0,182448.0,21613.0,380288.0,243.0,17627.0,19.78
2015,603011.0,224922.0,204333.0,20589.0,378089.0,703.0,17525.0,8.78
2016,529328.0,199585.0,197121.0,2464.0,329743.0,261.0,15284.0,16.84
2017,858300.0,526707.0,522611.0,4096.0,331593.0,86.0,15370.0,73.57
2018,586243.0,260549.0,257912.0,2637.0,325694.0,76.0,15796.0,91.31
2019,512887.0,184119.0,181894.0,2225.0,328768.0,95.0,15945.0,69.72
2020,507267.0,201773.0,201273.0,500.0,305494.0,71.0,14816.0,151.57
2021,552740.0,218574.0,218074.0,500.0,334166.0,145.0,16207.0,74.24
2022,740329.0,367179.0,366679.0,500.0,373150.0,1391.0,16541.0,5.18
