Date,Sales
Q1/2010,88136944399
Q2/2010,141772483778
Q3/2010,107355106539
Q4/2010,325782409392
Q1/2012,71340443727
Q2/2012,127026492896
Q3/2012,175107019556
Q1/2013,44483755936
Q2/2013,198133984649
Q3/2013,64739344747
Q4/2013,204415794625
Q1/2014,33229474720
Q2/2014,138831417203
Q3/2014,176498592143
Q4/2014,153064410637
Q1/2015,56553835002
Q2/2015,87527844621
Q3/2015,195285759004
Q4/2015,232219988484
Q1/2016,62742323232
Q2/2016,68703127904
Q3/2016,94585857594
Q4/2016,190210525580
Q1/2017,70266573883
Q2/2017,112345491678
Q3/2017,105712734198
Q4/2017,302082520318
Q1/2018,264974326572
Q2/2018,113704465458
Q3/2018,110400698296
Q4/2018,232687403686
Q1/2019,63917191779
Q2/2019,73163376748
Q3/2019,129301177459
Q4/2019,188236897895
Q1/2020,87672624325
Q2/2020,100997122255
Q3/2020,116501753798
Q4/2020,235412376443
Q1/2021,187457354150
Q2/2021,82612321988
Q3/2021,70194001409
Q4/2021,204520919477
Q1/2022,425015097903
Q2/2022,110313840997
Q3/2022,91734506125
Q4/2022,257529553557
Q1/2023,342727704884
Q2/2023,157381919113
Q3/2023,215505003036
