tradingTime,lastPrice
2023-12-19,8.0
2023-12-18,8.0
2023-12-15,8.0
2023-12-14,7.9
2023-12-13,7.9
2023-12-12,7.9
2023-12-11,7.9
2023-12-08,8.2
2023-12-07,8.5
2023-12-06,8.5
2023-12-05,8.5
2023-12-04,10.0
2023-12-01,9.3
2023-11-30,9.0
2023-11-29,8.0
2023-11-28,7.8
2023-11-27,8.2
2023-11-24,8.2
2023-11-23,8.2
2023-11-22,8.3
2023-11-21,8.2
2023-11-20,8.0
2023-11-17,8.0
2023-11-16,8.0
2023-11-15,8.3
2023-11-14,8.2
2023-11-13,8.1
2023-11-10,8.4
2023-11-09,9.0
2023-11-08,8.0
2023-11-07,8.0
2023-11-06,8.0
2023-11-03,8.0
2023-11-02,8.0
2023-11-01,8.0
2023-10-31,8.0
2023-10-30,8.0
2023-10-27,8.0
2023-10-26,8.0
2023-10-25,8.0
2023-10-24,8.0
2023-10-23,8.1
2023-10-20,7.6
2023-10-19,7.6
2023-10-18,7.5
2023-10-17,8.0
2023-10-16,8.0
2023-10-13,8.0
2023-10-12,8.0
2023-10-11,7.5
2023-10-10,8.2
2023-10-09,8.0
2023-10-06,8.0
2023-10-05,8.0
2023-10-04,8.0
2023-10-03,8.0
2023-10-02,8.0
2023-09-29,8.0
2023-09-28,8.1
2023-09-27,8.1
2023-09-26,8.2
2023-09-25,8.2
2023-09-22,8.3
2023-09-21,8.3
2023-09-20,8.2
2023-09-19,7.6
2023-09-18,8.3
2023-09-15,8.3
2023-09-14,8.3
2023-09-13,8.3
2023-09-12,8.3
2023-09-11,8.3
2023-09-08,8.3
2023-09-07,8.3
2023-09-06,8.4
2023-09-05,8.1
2023-08-31,8.4
2023-08-30,8.4
2023-08-29,8.4
2023-08-28,8.4
2023-08-25,8.0
2023-08-24,8.0
2023-08-23,8.3
2023-08-22,8.3
2023-08-21,8.3
2023-08-18,8.3
2023-08-17,8.0
2023-08-16,8.1
2023-08-15,8.1
2023-08-14,8.3
2023-08-11,9.1
2023-08-10,9.0
2023-08-09,8.5
2023-08-08,8.5
2023-08-07,8.5
2023-08-04,8.5
2023-08-03,8.5
2023-08-02,8.5
2023-08-01,8.5
2023-07-31,8.5
2023-07-28,8.4
2023-07-27,7.8
2023-07-26,7.5
2023-07-25,8.4
2023-07-24,8.4
2023-07-21,8.5
2023-07-20,8.2
2023-07-19,8.1
2023-07-18,8.2
2023-07-17,8.4
2023-07-14,8.5
2023-07-13,8.5
2023-07-12,8.4
2023-07-11,8.0
2023-07-10,8.0
2023-07-07,8.1
2023-07-06,8.1
2023-07-05,8.1
2023-07-04,8.2
2023-07-03,8.4
2023-06-30,8.4
2023-06-29,8.4
2023-06-28,8.3
2023-06-27,8.3
2023-06-26,8.1
2023-06-23,8.2
2023-06-22,8.2
2023-06-21,8.1
2023-06-20,8.1
2023-06-19,7.5
2023-06-16,8.0
2023-06-15,8.3
2023-06-14,8.5
2023-06-13,8.6
2023-06-12,8.3
2023-06-09,7.7
2023-06-08,7.8
2023-06-07,7.7
2023-06-06,7.5
2023-06-05,7.7
2023-06-02,7.6
2023-06-01,7.6
2023-05-31,7.5
2023-05-30,7.8
2023-05-29,7.8
2023-05-26,7.2
2023-05-25,7.3
2023-05-24,7.9
2023-05-23,7.9
2023-05-22,6.9
2023-05-19,7.3
2023-05-18,7.5
2023-05-17,7.5
2023-05-16,7.5
2023-05-15,7.5
2023-05-12,7.5
2023-05-11,7.6
2023-05-10,7.4
2023-05-09,7.5
2023-05-08,7.9
2023-05-05,8.0
2023-05-04,7.3
2023-04-28,8.0
2023-04-27,8.0
2023-04-26,8.0
2023-04-25,7.2
2023-04-24,7.2
2023-04-21,7.2
2023-04-20,7.2
2023-04-19,7.2
2023-04-18,7.1
2023-04-17,7.0
2023-04-14,7.0
2023-04-13,7.0
2023-04-12,7.0
2023-04-11,7.0
2023-04-10,7.1
2023-04-07,7.1
2023-04-06,6.9
2023-04-05,6.9
2023-04-04,7.5
2023-04-03,7.2
2023-03-31,7.1
2023-03-30,7.1
2023-03-29,7.1
2023-03-28,7.1
2023-03-27,7.1
2023-03-24,7.1
2023-03-23,7.1
2023-03-22,7.1
2023-03-21,7.1
2023-03-20,7.1
2023-03-17,7.0
2023-03-16,7.0
2023-03-15,8.0
2023-03-14,7.0
2023-03-13,7.0
2023-03-10,7.0
2023-03-09,7.0
2023-03-08,7.2
2023-03-07,7.2
2023-03-06,7.3
2023-03-03,7.3
2023-03-02,6.5
2023-03-01,6.5
2023-02-28,7.0
2023-02-27,7.0
2023-02-24,7.1
2023-02-23,7.2
2023-02-22,7.5
2023-02-21,7.1
2023-02-20,7.0
2023-02-17,7.1
2023-02-16,7.1
2023-02-15,6.2
2023-02-14,7.0
2023-02-13,7.0
2023-02-10,7.1
2023-02-09,8.0
2023-02-08,7.2
2023-02-07,7.9
2023-02-06,7.5
2023-02-03,7.9
2023-02-02,6.9
2023-02-01,6.9
2023-01-31,7.3
2023-01-30,7.3
2023-01-27,6.5
2023-01-19,7.0
2023-01-18,7.0
2023-01-17,7.0
2023-01-16,7.0
2023-01-13,7.0
2023-01-12,7.5
2023-01-11,7.4
2023-01-10,7.3
2023-01-09,7.3
2023-01-06,7.3
2023-01-05,7.3
2023-01-04,7.3
2023-01-03,7.3
2022-12-30,7.2
2022-12-29,6.4
2022-12-28,6.6
2022-12-27,6.6
2022-12-26,6.6
2022-12-23,6.6
2022-12-22,6.4
2022-12-21,6.5
2022-12-20,7.2
2022-12-19,7.2
2022-12-16,7.7
2022-12-15,6.8
2022-12-14,8.7
2022-12-13,8.3
2022-12-12,8.8
2022-12-09,8.0
2022-12-08,6.7
2022-12-07,6.6
2022-12-06,6.5
2022-12-05,5.7
2022-12-02,5.7
2022-12-01,6.7
2022-11-30,6.7
2022-11-29,7.0
2022-11-28,7.0
2022-11-25,6.1
2022-11-24,6.8
2022-11-23,6.8
2022-11-22,6.3
2022-11-21,5.5
2022-11-18,6.2
2022-11-17,6.2
2022-11-16,5.4
2022-11-15,5.2
2022-11-14,6.0
2022-11-11,6.9
2022-11-10,6.9
2022-11-09,6.9
2022-11-08,6.0
2022-11-07,6.0
2022-11-04,6.9
2022-11-03,6.9
2022-11-02,6.0
2022-11-01,6.7
2022-10-31,6.6
2022-10-28,7.1
2022-10-27,7.1
2022-10-26,7.1
2022-10-25,7.3
2022-10-24,7.3
2022-10-21,7.3
2022-10-20,7.3
2022-10-19,7.3
2022-10-18,8.0
2022-10-17,8.0
2022-10-14,8.0
2022-10-13,8.0
2022-10-12,8.0
2022-10-11,7.1
2022-10-10,7.5
2022-10-07,6.6
2022-10-06,7.5
2022-10-05,7.5
2022-10-04,8.0
2022-10-03,8.0
2022-09-30,8.0
2022-09-29,8.3
2022-09-28,7.3
2022-09-27,7.3
2022-09-26,7.5
2022-09-23,8.9
2022-09-22,8.0
2022-09-21,8.0
2022-09-20,7.9
2022-09-19,7.8
2022-09-16,8.3
2022-09-15,8.9
2022-09-14,8.9
2022-09-13,8.9
2022-09-12,8.9
2022-09-09,8.9
2022-09-08,8.9
2022-09-07,8.1
2022-09-06,8.1
2022-09-05,7.8
2022-08-31,8.2
2022-08-30,8.2
2022-08-29,7.5
2022-08-26,8.5
2022-08-25,9.2
2022-08-24,8.3
2022-08-23,7.6
2022-08-22,8.3
2022-08-19,8.3
2022-08-18,8.3
2022-08-17,7.8
2022-08-16,8.5
2022-08-15,8.5
2022-08-12,8.5
2022-08-11,8.5
2022-08-10,7.6
2022-08-09,8.0
2022-08-08,8.2
2022-08-05,8.5
2022-08-04,8.0
2022-08-03,8.0
2022-08-02,8.0
2022-08-01,9.0
2022-07-29,8.0
2022-07-28,7.6
2022-07-27,7.6
2022-07-26,8.0
2022-07-25,8.3
2022-07-22,8.0
2022-07-21,8.5
2022-07-20,8.5
2022-07-19,7.6
2022-07-18,7.9
2022-07-15,7.9
2022-07-14,8.5
2022-07-13,7.5
2022-07-12,7.5
2022-07-11,7.4
2022-07-08,8.3
2022-07-07,9.3
2022-07-06,8.6
2022-07-05,7.5
2022-07-04,6.6
2022-07-01,7.6
2022-06-30,8.3
2022-06-29,8.3
2022-06-28,8.2
2022-06-27,8.2
2022-06-24,8.1
2022-06-23,8.1
2022-06-22,9.1
2022-06-21,8.1
2022-06-20,8.1
2022-06-17,8.1
2022-06-16,8.0
2022-06-15,9.2
2022-06-14,8.0
2022-06-13,9.1
2022-06-10,9.1
2022-06-09,8.9
2022-06-08,8.7
2022-06-07,9.0
2022-06-06,8.6
2022-06-03,8.9
2022-06-02,9.2
2022-06-01,9.1
2022-05-31,9.0
2022-05-30,9.0
2022-05-27,9.5
2022-05-26,9.3
2022-05-25,9.1
2022-05-24,9.0
2022-05-23,9.0
2022-05-20,9.1
2022-05-19,9.2
2022-05-18,9.1
2022-05-17,9.5
2022-05-16,9.1
2022-05-13,9.1
2022-05-12,9.5
2022-05-11,9.7
2022-05-10,9.5
2022-05-09,9.5
2022-05-06,10.0
2022-05-05,10.0
2022-05-04,9.5
2022-04-29,9.5
2022-04-28,10.0
2022-04-27,10.0
2022-04-26,9.7
2022-04-25,9.7
2022-04-22,10.4
2022-04-21,10.4
2022-04-20,10.0
2022-04-19,10.5
2022-04-18,10.0
2022-04-15,10.4
2022-04-14,10.4
2022-04-13,10.5
2022-04-12,10.8
2022-04-08,10.9
2022-04-07,10.9
2022-04-06,10.9
2022-04-05,10.9
2022-04-04,10.7
2022-04-01,10.8
2022-03-31,11.5
2022-03-30,11.1
2022-03-29,11.7
2022-03-28,10.7
2022-03-25,10.8
2022-03-24,10.6
2022-03-23,10.2
2022-03-22,10.6
2022-03-21,10.5
2022-03-18,10.9
2022-03-17,11.0
2022-03-16,10.9
2022-03-15,10.4
2022-03-14,10.8
2022-03-11,10.8
2022-03-10,10.6
2022-03-09,10.8
2022-03-08,10.5
2022-03-07,10.5
2022-03-04,10.3
2022-03-03,10.5
2022-03-02,10.3
2022-03-01,9.9
2022-02-28,10.2
2022-02-25,10.0
2022-02-24,10.0
2022-02-23,10.1
2022-02-22,10.0
2022-02-21,10.1
2022-02-18,10.1
2022-02-17,10.0
2022-02-16,9.9
2022-02-15,10.0
2022-02-14,10.0
2022-02-11,10.3
2022-02-10,10.2
2022-02-09,10.1
2022-02-08,10.1
2022-02-07,10.2
2022-01-28,9.9
2022-01-27,10.6
2022-01-26,10.3
2022-01-25,10.0
2022-01-24,10.0
2022-01-21,10.5
2022-01-20,10.4
2022-01-19,10.0
2022-01-18,9.8
2022-01-17,10.5
2022-01-14,10.7
2022-01-13,10.8
2022-01-12,11.5
2022-01-11,11.8
2022-01-10,12.4
2022-01-07,10.8
2022-01-06,10.8
2022-01-05,10.8
2022-01-04,10.9
2021-12-31,10.8
2021-12-30,10.8
2021-12-29,10.9
2021-12-28,11.0
2021-12-27,11.0
2021-12-24,11.0
2021-12-23,10.9
2021-12-22,11.2
2021-12-21,10.8
2021-12-20,11.0
2021-12-17,10.9
2021-12-16,11.0
2021-12-15,11.1
2021-12-14,11.0
2021-12-13,11.0
2021-12-10,11.2
2021-12-09,11.3
2021-12-08,11.1
2021-12-07,10.9
2021-12-06,11.0
2021-12-03,11.2
2021-12-02,11.1
2021-12-01,11.0
2021-11-30,11.2
2021-11-29,10.8
2021-11-26,11.0
2021-11-25,10.9
2021-11-24,10.9
2021-11-23,11.4
2021-11-22,11.4
2021-11-19,11.8
2021-11-18,11.1
2021-11-17,10.7
2021-11-16,10.6
2021-11-15,11.4
2021-11-12,11.3
2021-11-11,10.6
2021-11-10,10.5
2021-11-09,10.4
2021-11-08,10.3
2021-11-05,10.4
2021-11-04,10.3
2021-11-03,10.3
2021-11-02,10.8
2021-11-01,10.1
2021-10-29,10.2
2021-10-28,10.2
2021-10-27,10.2
2021-10-26,10.1
2021-10-25,9.6
2021-10-22,10.1
2021-10-21,10.3
2021-10-20,10.1
2021-10-19,10.0
2021-10-18,10.3
2021-10-15,10.2
2021-10-14,10.0
2021-10-13,10.2
2021-10-12,9.9
2021-10-11,10.1
2021-10-08,9.9
2021-10-07,10.0
2021-10-06,9.7
2021-10-05,9.6
2021-10-04,9.5
2021-10-01,9.5
2021-09-30,9.6
2021-09-29,10.1
2021-09-28,10.1
2021-09-27,10.7
2021-09-24,10.4
2021-09-23,10.6
2021-09-22,10.0
2021-09-21,10.0
2021-09-20,10.0
2021-09-17,10.1
2021-09-16,9.6
2021-09-15,9.9
2021-09-14,9.7
2021-09-13,9.8
2021-09-10,9.7
2021-09-09,9.7
2021-09-08,9.4
2021-09-07,9.5
2021-09-06,9.4
2021-09-01,9.5
