Item,Q4 2007,Q4 2008,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q4 2011,Q2 2012,Q4 2012,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,320897577821.0,319216256315.0,353063116919.0,368075192289.0,408207075129.0,353775731675.0,435701541649.0,545448843573.0,383738070974.0,391808846491.0,365112122784.0,385516993283.0,609137446694.0,496114815529.0,522379442431.0,460815042847.0,419076915314.0,518837615636.0,514669112662.0,433517050024.0,491057061504.0,569674874584.0,473674876550.0,531010839273.0,476964680958.0,505359230256.0,501099866495.0,482004891127.0,542801453008.0,632637952836.0,643876040441.0,515907985983.0,579367601829.0,560226873644.0,558297320415.0,446499572018.0,467525552370.0,496610882100.0,489936891427.0,467495127353.0,455095349874.0,563973968786.0,679045926920.0,479066532199.0,456520222425.0,432182882609.0,521961346132.0,453607056526.0,467973628868.0,484581098713.0,610293255066.0,631256605416.0,655111943968.0,698101240041.0
I. Tiền và các khoản tương đương tiền,34636574411.0,55885605677.0,26400333464.0,19401129456.0,95964936328.0,34266175362.0,145556698515.0,148233120635.0,144047885577.0,131657260771.0,122128143599.0,114701287051.0,39771306170.0,33270174059.0,48082893681.0,39180568205.0,4764103463.0,57855570841.0,117266822561.0,106232995348.0,44827357793.0,29805058216.0,145686298646.0,135635386327.0,111617402748.0,150787410852.0,128229632908.0,98282208665.0,98150239695.0,120383033198.0,115386557006.0,85178027198.0,108078284990.0,121351925932.0,99502983198.0,115081321406.0,105964796325.0,116029837262.0,130961103103.0,144090969239.0,146360980575.0,131853095095.0,141361798153.0,163242909723.0,168409079516.0,42689033376.0,34185599033.0,73662069493.0,27545322825.0,14420143132.0,44886343342.0,21589523616.0,21258130554.0,3024622009.0
1. Tiền,34636574411.0,55885605677.0,26400333464.0,,73464936328.0,34266175362.0,34556698515.0,61733120635.0,20627885577.0,65595616477.0,66126499305.0,45425734821.0,29239161876.0,17238029765.0,46550749387.0,34187548911.0,4764103463.0,39955570841.0,11266822561.0,55072995348.0,19777357793.0,19755058216.0,9906298646.0,69263286327.0,7617402748.0,95787410852.0,28229632908.0,83282208665.0,9150239695.0,106794373198.0,50486557006.0,81711180798.0,36131636951.0,93902674968.0,34964613872.0,33543882990.0,86964796325.0,92029837262.0,101061103103.0,49522121964.0,28342133300.0,32934247820.0,64154290878.0,14574062448.0,10740232241.0,7689033376.0,34185599033.0,38662069493.0,17545322825.0,14420143132.0,44886343342.0,21589523616.0,21258130554.0,3024622009.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,,22500000000.0,0.0,111000000000.0,86500000000.0,123420000000.0,66061644294.0,56001644294.0,69275552230.0,10532144294.0,16032144294.0,1532144294.0,4993019294.0,0.0,17900000000.0,106000000000.0,51160000000.0,25050000000.0,10050000000.0,135780000000.0,66372100000.0,104000000000.0,55000000000.0,100000000000.0,15000000000.0,89000000000.0,13588660000.0,64900000000.0,3466846400.0,71946648039.0,27449250964.0,64538369326.0,81537438416.0,19000000000.0,24000000000.0,29900000000.0,94568847275.0,118018847275.0,98918847275.0,77207507275.0,148668847275.0,157668847275.0,35000000000.0,0.0,35000000000.0,10000000000.0,0.0,0.0,0.0,0.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,66544426667.0,38141000000.0,40738250000.0,31750000000.0,410956794.0,0.0,0.0,403636667.0,0.0,0.0,0.0,70165000000.0,0.0,72165000000.0,72150000000.0,72150000000.0,72000000000.0,72000000000.0,72000000000.0,72000000000.0,72000000000.0,72000000000.0,0.0,0.0,15212100000.0,15212100000.0,212100000.0,212100000.0,212100000.0,492100000.0,616269872.0,120000000.0,208660000.0,158660000.0,107035157.0,208660000.0,208660000.0,208660000.0,193660000.0,193660000.0,193660000.0,116123660000.0,96035000000.0,10125410000.0,10125410000.0,71823811750.0,72525413700.0,77760701602.0,124606943678.0,127414310329.0,123859866304.0,163728619431.0,164855394168.0,160619554862.0
1. Chứng khoán kinh doanh,66544426667.0,38141000000.0,40738250000.0,,410956794.0,0.0,0.0,403636667.0,0.0,0.0,0.0,70165000000.0,0.0,72165000000.0,72150000000.0,72150000000.0,72000000000.0,72000000000.0,72000000000.0,72000000000.0,72000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32976943750.0,23936547700.0,69311477193.0,134938763816.0,148609325579.0,137782382026.0,169278559249.0,178118952100.0,186543858981.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1278542000.0,-1499794000.0,-6925679521.0,-25706724068.0,-28907963070.0,-28030463542.0,-20430635438.0,-19035849832.0,-32950151026.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72000000000.0,0.0,0.0,15212100000.0,15212100000.0,212100000.0,212100000.0,212100000.0,492100000.0,616269872.0,120000000.0,208660000.0,158660000.0,107035157.0,208660000.0,208660000.0,208660000.0,193660000.0,193660000.0,193660000.0,116123660000.0,96035000000.0,10125410000.0,10125410000.0,40125410000.0,50088660000.0,15374903930.0,15374903930.0,7712947820.0,14107947820.0,14880695620.0,5772291900.0,7025846907.0
III. Các khoản phải thu ngắn hạn,140267955101.0,149419072879.0,199142146961.0,218231529139.0,270794208643.0,234178746670.0,219952250322.0,247766048464.0,200672037675.0,189480236017.0,169244248961.0,138856992004.0,278393495500.0,179784461205.0,277549158434.0,186748632812.0,214417705581.0,282660041862.0,229869032811.0,201623150594.0,254817158074.0,367729230022.0,276894743015.0,256802875376.0,237435318109.0,213785361552.0,257235178614.0,247334432979.0,273318108895.0,267583178942.0,394922712435.0,281662652083.0,300301268759.0,202134273140.0,328553998778.0,187769075179.0,192879255345.0,213015104945.0,218462593472.0,180665239919.0,165255269921.0,142733560215.0,288062760936.0,198347431047.0,148548367201.0,162702195165.0,274667701293.0,142599390553.0,150559240977.0,133124584216.0,225338306719.0,283672447237.0,229194991285.0,265235775481.0
