Item,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2012,Q2 2012,Q3 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,88136944399.0,141772483778.0,107355106539.0,325977379392.0,76026778481.0,127697717154.0,187601389183.0,44483755936.0,198133984649.0,64739344747.0,204415794625.0,33229474720.0,138831417203.0,176498592143.0,153064410637.0,56553835002.0,87527844621.0,195285759004.0,232739118484.0,62742323232.0,68703127904.0,94585857594.0,190210525580.0,70266573883.0,112345491678.0,105712734198.0,302082520318.0,264974326572.0,113730912258.0,110400698296.0,232687403686.0,63917191779.0,73163376748.0,129301177459.0,188236897895.0,87672624325.0,100997122255.0,116525966234.0,235412376443.0,187557270150.0,82612321988.0,70194001409.0,204520919477.0,425015097903.0,110313840997.0,91734506125.0,257529553557.0,342727704884.0,157381919113.0,215505003036.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,194970000.0,4686334754.0,671224258.0,12494369627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519130000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26446800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24212436.0,0.0,99916000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),88136944399.0,141772483778.0,107355106539.0,325782409392.0,71340443727.0,127026492896.0,175107019556.0,44483755936.0,198133984649.0,64739344747.0,204415794625.0,33229474720.0,138831417203.0,176498592143.0,153064410637.0,56553835002.0,87527844621.0,195285759004.0,232219988484.0,62742323232.0,68703127904.0,94585857594.0,190210525580.0,70266573883.0,112345491678.0,105712734198.0,302082520318.0,264974326572.0,113704465458.0,110400698296.0,232687403686.0,63917191779.0,73163376748.0,129301177459.0,188236897895.0,87672624325.0,100997122255.0,116501753798.0,235412376443.0,187457354150.0,82612321988.0,70194001409.0,204520919477.0,425015097903.0,110313840997.0,91734506125.0,257529553557.0,342727704884.0,157381919113.0,215505003036.0
4. Giá vốn hàng bán,61415604434.0,110539365073.0,87684503656.0,260577594896.0,53661847816.0,119155020695.0,146490998134.0,31326065366.0,159515679304.0,50707868752.0,184603626668.0,24272013858.0,117489235086.0,158947043151.0,126023410650.0,47274196705.0,65111682603.0,175499206873.0,210629960812.0,48301173298.0,65743157747.0,79194415743.0,158486306599.0,56852235387.0,95262038550.0,89195982049.0,272329555558.0,254361958172.0,96812223588.0,85578304846.0,202855648285.0,52047124642.0,59582078036.0,105749152880.0,167299811442.0,84015858691.0,91117457756.0,106306813021.0,223750833538.0,201338204510.0,74146959575.0,61961563968.0,166333951447.0,377255254514.0,97435007300.0,66479115996.0,212268259331.0,309900337607.0,134054944028.0,185983540465.0
5. Lợi nhuận gộp (3)-(4),26721339965.0,31233118705.0,19670602883.0,65204814496.0,17678595911.0,7871472201.0,28616021422.0,13157690570.0,38618305345.0,14031475995.0,19812167957.0,8957460862.0,21342182117.0,17551548992.0,27040999987.0,9279638297.0,22416162018.0,19786552131.0,21590027672.0,14441149934.0,2959970157.0,15391441851.0,31724218981.0,13414338496.0,17083453128.0,16516752149.0,29752964760.0,10612368400.0,16892241870.0,24822393450.0,29831755401.0,11870067137.0,13581298712.0,23552024579.0,20937086453.0,3656765634.0,9879664499.0,10194940777.0,11661542905.0,-13880850360.0,8465362413.0,8232437441.0,38186968030.0,47759843389.0,12878833697.0,25255390129.0,45261294226.0,32827367277.0,23326975085.0,29521462571.0
6. Doanh thu hoạt động tài chính,2296976966.0,4540647401.0,3413324049.0,7096096141.0,1134947234.0,1264941866.0,3834342255.0,4986720510.0,364687322.0,1468219947.0,662365793.0,580914590.0,104325577.0,863044464.0,11270325254.0,904367142.0,712147617.0,-433846422.0,41149183557.0,1379536745.0,3702119903.0,702054738.0,3220727287.0,803720795.0,1727607750.0,568929103.0,-184092431.0,363215743.0,584229192.0,-214526063.0,445541261.0,745370322.0,550891728.0,560066717.0,211418753.0,710783015.0,1974830345.0,965025277.0,1887400483.0,4199801704.0,1245398640.0,5903308147.0,14183666960.0,21759939517.0,9957850877.0,1117911885.0,2182711217.0,-4168631179.0,7428039244.0,9548950621.0
7. Chi phí tài chính,5071004316.0,3455432070.0,2812533085.0,5016791872.0,440587523.0,186513116.0,7098544004.0,44143033.0,2061006097.0,1503697260.0,-248775597.0,785859907.0,894686586.0,1579562047.0,13591707821.0,106663792.0,531275047.0,3712907565.0,6581609195.0,498584674.0,1092398461.0,471734764.0,2757380155.0,8871773.0,100890770.0,219616567.0,1799106417.0,1001055890.0,1630890618.0,904476576.0,550031209.0,86296083.0,27587665.0,141345457.0,240456835.0,1256933974.0,40004091.0,127639092.0,61380188.0,2083216066.0,159877.0,1295582640.0,12605511651.0,9261599854.0,20119205419.0,-1284045094.0,9426688301.0,-9618682855.0,-957043297.0,19256427395.0
Trong đó: Chi phí lãi vay,1377955612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078841513.0,248775597.0,746548133.0,789740540.0,1150365845.0,291174501.0,0.0,47261473.0,975676368.0,-956773969.0,497263473.0,928796511.0,378589626.0,2005642676.0,6747371.0,92654301.0,184337912.0,1798707275.0,999960684.0,832009384.0,718596342.0,164933434.0,19228548.0,0.0,121132925.0,234098416.0,0.0,0.0,0.0,52908327.0,107796486.0,0.0,0.0,0.0,0.0,20405479.0,423572246.0,825809869.0,483580476.0,1853146990.0,2443040295.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,-322556272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3265368069.0,3265368069.0,0.0,0.0,640301531.0,0.0,0.0,0.0,792099077.0,0.0,0.0,0.0,0.0,1422334306.0,0.0,0.0,601753598.0,0.0,0.0,363407909.0,1358243886.0,0.0,0.0,1791488150.0,0.0,0.0,0.0,11776572.0,0.0,0.0,0.0,12121190.0,0.0,-7795718.0,0.0,1410465157.0,0.0,0.0
9. Chi phí bán hàng,4718115417.0,7515287408.0,6561901342.0,10623295240.0,15960645399.0,9344633879.0,7983307811.0,14863736193.0,10263537480.0,8159811779.0,9534738621.0,11145574335.0,7126145193.0,5703365930.0,9558762986.0,5217340372.0,10481623870.0,8361112965.0,22514762304.0,8483232343.0,7753746702.0,8599578480.0,7413293615.0,10163912120.0,5756191394.0,10400371948.0,18838111574.0,7740904791.0,8640825527.0,8549928986.0,29310763247.0,8317963191.0,9744529667.0,15805288984.0,10032298823.0,9275838827.0,12770716899.0,9932277074.0,10648754893.0,16843754572.0,12139120984.0,11168663610.0,7531360426.0,38832797725.0,8427415542.0,3918275490.0,11446539273.0,17839867891.0,9980505312.0,7020423450.0
