Period,Lưu chuyển tiền thuần trong kỳ
Q1 2013,-34290767788.0
Q2 2013,-40602698216.0
Q3 2013,-6537646988.0
Q1 2014,-8839951317.0
Q2 2014,-34416464742.0
Q3 2014,52564213862.0
Q4 2014,59938505236.0
Q1 2015,-11410386569.0
Q2 2015,-61405637555.0
Q3 2015,-15022299577.0
Q4 2015,115881240431.0
Q1 2016,4979610781.0
Q2 2016,-24021225755.0
Q3 2016,39173250280.0
Q4 2016,-22557777944.0
Q1 2017,-29947238284.0
Q2 2017,-142459641.0
Q3 2017,22232793503.0
Q4 2017,-4988009266.0
Q1 2018,-30207509437.0
Q2 2018,22898292365.0
Q3 2018,13273640942.0
Q4 2018,-21846977307.0
Q1 2019,15693244696.0
Q2 2019,-9116525082.0
Q3 2019,6065040937.0
Q4 2019,18931265841.0
Q1 2020,13124320590.0
Q2 2020,2270011336.0
Q3 2020,-14508812148.0
Q4 2020,9509629726.0
Q1 2021,21880363112.0
Q2 2021,5166169793.0
Q3 2021,-125720046140.0
Q4 2021,-8503434343.0
Q1 2022,-89525942771.0
Q2 2022,-46116746668.0
Q3 2022,-13121688287.0
Q4 2022,30466200209.0
Q1 2023,-23288447561.0
