Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2011 - Q3,763789.0,428535.0,324425.0,104110.0,202006.0,849.0,17399.0,11.07
2011 - Q4,762707.0,383286.0,275334.0,107952.0,220855.0,2535.0,19022.0,3.2
2012 - Q1,708573.0,358181.0,256314.0,101867.0,214230.0,2653.0,16774.0,3.24
2012 - Q2,688655.0,351468.0,286748.0,64720.0,204504.0,2680.0,16013.0,3.58
2012 - Q3,669973.0,339097.0,281410.0,57687.0,203447.0,1923.0,15930.0,2.65
2012 - Q4,647344.0,301078.0,239615.0,61463.0,217449.0,1093.0,17027.0,4.67
2013 - Q1,621828.0,284962.0,229039.0,55923.0,213589.0,710.0,16724.0,5.49
2013 - Q2,597686.0,278212.0,227644.0,50568.0,214641.0,614.0,16807.0,7.17
2013 - Q3,581905.0,264877.0,222074.0,42803.0,216883.0,851.0,16982.0,4.47
2013 - Q4,492795.0,241889.0,190579.0,51310.0,198479.0,738.0,15541.0,9.35
2014 - Q1,447526.0,200867.0,158475.0,42392.0,197167.0,719.0,15438.0,10.86
2014 - Q2,430236.0,190373.0,155462.0,34911.0,195363.0,739.0,15297.0,9.2
2014 - Q3,441597.0,186724.0,180671.0,6053.0,204211.0,1253.0,15990.0,9.17
2014 - Q4,466040.0,220456.0,210694.0,9762.0,245584.0,1679.0,15835.0,5.54
2015 - Q1,462423.0,228137.0,225715.0,2422.0,234286.0,2102.0,18345.0,6.09
2015 - Q2,529598.0,273839.0,269005.0,4834.0,255759.0,2788.0,16689.0,6.81
2015 - Q3,644931.0,360437.0,352480.0,7957.0,284494.0,3599.0,18564.0,4.42
2015 - Q4,593376.0,306927.0,299736.0,7191.0,286449.0,3590.0,18692.0,4.88
2016 - Q1,626174.0,347873.0,336211.0,11662.0,278301.0,3561.0,18160.0,6.04
2016 - Q2,703870.0,400225.0,387636.0,12589.0,303645.0,3995.0,19816.0,8.69
2016 - Q3,793180.0,443236.0,420291.0,22945.0,349944.0,5154.0,19031.0,4.42
2016 - Q4,570238.0,238160.0,207962.0,30198.0,332077.0,4019.0,17420.0,5.8
2017 - Q1,532821.0,204399.0,164558.0,39841.0,328423.0,3682.0,17228.0,7.43
2017 - Q2,528333.0,193689.0,159805.0,33884.0,334644.0,3594.0,17554.0,5.98
2017 - Q3,524480.0,196785.0,166596.0,30189.0,327694.0,1547.0,17191.0,13.06
2017 - Q4,502948.0,166943.0,136134.0,30809.0,336006.0,1742.0,17639.0,7.98
2018 - Q1,509458.0,167959.0,139951.0,28008.0,341499.0,1812.0,17957.0,6.51
2018 - Q2,474770.0,132637.0,107410.0,25227.0,342133.0,1209.0,17994.0,10.09
2018 - Q3,500467.0,161720.0,137305.0,24415.0,338747.0,1456.0,17836.0,8.86
2018 - Q4,463718.0,141030.0,128184.0,12846.0,322687.0,1667.0,16990.0,6.36
2019 - Q1,442189.0,117147.0,107265.0,9882.0,325042.0,1573.0,17114.0,7.54
2019 - Q2,510268.0,189045.0,180256.0,8789.0,321223.0,1169.0,16913.0,9.66
2019 - Q3,511937.0,202298.0,193517.0,8781.0,309640.0,939.0,16303.0,12.09
2019 - Q4,504929.0,186128.0,178141.0,7987.0,318800.0,885.0,16785.0,10.62
2020 - Q1,533446.0,216183.0,207201.0,8982.0,317264.0,905.0,16705.0,8.06
2020 - Q2,567206.0,247472.0,238660.0,8812.0,319733.0,983.0,16771.0,9.36
2020 - Q3,605679.0,280327.0,271724.0,8603.0,325352.0,1578.0,17130.0,6.08
2020 - Q4,593401.0,254058.0,242865.0,11193.0,339343.0,1882.0,17867.0,4.96
2021 - Q1,552999.0,212290.0,201231.0,11059.0,340709.0,1893.0,17939.0,6.92
2021 - Q2,529381.0,198039.0,188398.0,9641.0,331343.0,1284.0,17446.0,11.22
2021 - Q3,604505.0,265070.0,255748.0,9322.0,339434.0,804.0,17872.0,26.25
2021 - Q4,627107.0,238935.0,227079.0,11856.0,388172.0,1384.0,20438.0,12.28
2022 - Q1,590513.0,202697.0,193734.0,8963.0,387816.0,1042.0,18232.0,17.23
2022 - Q2,638708.0,248626.0,240322.0,8304.0,390083.0,1840.0,18338.0,6.28
2022 - Q3,672748.0,270488.0,262378.0,8110.0,402260.0,1886.0,18911.0,5.04
2022 - Q4,650864.0,243091.0,233317.0,9774.0,407773.0,173.0,19170.0,68.63
2023 - Q1,627350.0,212359.0,202637.0,9722.0,414991.0,66.0,16965.0,164.89
2023 - Q2,594707.0,180960.0,172356.0,8604.0,413747.0,-365.0,16914.0,-32.32
