Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2008,366059.0,171868.0,169251.0,2617.0,122422.0,3841.0,16598.0,0.0
2009,503301.0,257513.0,255762.0,1751.0,165387.0,3570.0,14245.0,0.0
2010,611895.0,300966.0,238662.0,62304.0,190528.0,3382.0,16410.0,4.64
2011,767188.0,385452.0,291158.0,94294.0,221725.0,3921.0,19100.0,2.07
2012,629439.0,281781.0,220539.0,61242.0,216415.0,1277.0,16948.0,3.99
2013,461160.0,210645.0,160154.0,50491.0,197865.0,661.0,15495.0,10.44
2014,466242.0,221207.0,210918.0,10289.0,245035.0,822.0,15664.0,11.32
2015,597709.0,311211.0,299414.0,11797.0,286499.0,3465.0,18697.0,5.05
2016,569331.0,246660.0,206655.0,40005.0,322671.0,4005.0,16926.0,5.82
2017,502704.0,165794.0,135177.0,30617.0,336910.0,1775.0,17686.0,7.83
2018,464935.0,141163.0,127199.0,13964.0,323772.0,1806.0,17047.0,5.87
2019,504914.0,186142.0,177091.0,9051.0,318772.0,883.0,16784.0,10.65
2020,593345.0,254518.0,243327.0,11191.0,338827.0,1848.0,17840.0,5.05
2021,627258.0,236651.0,227942.0,8709.0,390607.0,1458.0,20566.0,11.66
2022,654571.0,240684.0,230910.0,9774.0,413887.0,205.0,19457.0,58.08
