Date,Sales
Q3/2010,143957352951
Q4/2010,246995582837
Q1/2011,81192649053
Q2/2011,143908479645
Q3/2011,139133349245
Q4/2011,359210560297
Q1/2012,120359050434
Q2/2012,112847148173
Q3/2012,157641920524
Q4/2012,136441590126
Q1/2013,113734705090
Q2/2013,83523474211
Q3/2013,141619439884
Q4/2013,125884886504
Q1/2014,115388278434
Q2/2014,74911255992
Q3/2014,85954599293
Q4/2014,124739846529
Q1/2015,161705385058
Q2/2015,55603036021
Q3/2015,147300973618
Q4/2015,234918168598
Q1/2016,189554387062
Q2/2016,101750206687
Q3/2016,204209282103
Q4/2016,450759358747
Q1/2017,161629169392
Q2/2017,73782810031
Q3/2017,106199847480
Q4/2017,113051041458
Q1/2018,111011988590
Q2/2018,80821522974
Q3/2018,91553740201
Q4/2018,142437862262
Q1/2019,128635616907
Q2/2019,61285476123
Q3/2019,54197215761
Q4/2019,135966430044
Q1/2020,138889324668
Q2/2020,65596977111
Q3/2020,136497142114
Q4/2020,205044370779
Q1/2021,188220961044
Q2/2021,70877483256
Q3/2021,42161365574
Q4/2021,123395341677
Q1/2022,126612853795
Q2/2022,190658016463
Q3/2022,318834353632
Q4/2022,255811516678
Q1/2023,112827766554
Q2/2023,86501178073
Q3/2023,83039031529
