tradingTime,lastPrice
2024-01-12,9.79
2024-01-11,9.98
2024-01-10,9.99
2024-01-09,10.1
2024-01-08,10.15
2024-01-05,9.99
2024-01-04,9.99
2024-01-03,9.99
2024-01-02,10.0
2023-12-29,9.86
2023-12-28,9.79
2023-12-27,9.63
2023-12-26,9.8
2023-12-25,9.9
2023-12-22,9.8
2023-12-21,9.72
2023-12-20,9.9
2023-12-19,9.89
2023-12-18,9.9
2023-12-15,9.71
2023-12-14,9.96
2023-12-13,9.71
2023-12-12,10.0
2023-12-11,9.6
2023-12-08,9.78
2023-12-07,9.75
2023-12-06,9.72
2023-12-05,9.88
2023-12-04,9.88
2023-12-01,9.88
2023-11-30,9.88
2023-11-29,10.0
2023-11-28,9.75
2023-11-27,9.8
2023-11-24,9.78
2023-11-23,9.8
2023-11-22,9.8
2023-11-21,9.8
2023-11-20,9.8
2023-11-17,9.97
2023-11-16,9.97
2023-11-15,9.96
2023-11-14,9.88
2023-11-13,9.75
2023-11-10,9.8
2023-11-09,9.54
2023-11-08,9.94
2023-11-07,9.97
2023-11-06,9.8
2023-11-03,9.79
2023-11-02,9.5
2023-11-01,9.0
2023-10-31,9.2
2023-10-30,9.8
2023-10-27,9.8
2023-10-26,9.6
2023-10-25,10.0
2023-10-24,10.0
2023-10-23,10.55
2023-10-20,10.0
2023-10-19,9.62
2023-10-18,9.9
2023-10-17,10.0
2023-10-16,10.0
2023-10-13,10.4
2023-10-12,10.6
2023-10-11,10.6
2023-10-10,10.5
2023-10-09,10.65
2023-10-06,10.65
2023-10-05,10.4
2023-10-04,10.55
2023-10-03,10.75
2023-10-02,10.75
2023-09-29,10.75
2023-09-28,10.7
2023-09-27,10.65
2023-09-26,10.7
2023-09-25,10.7
2023-09-22,11.0
2023-09-21,11.1
2023-09-20,11.15
2023-09-19,10.75
2023-09-18,10.7
2023-09-15,10.95
2023-09-14,10.85
2023-09-13,11.1
2023-09-12,11.2
2023-09-11,11.15
2023-09-08,11.1
2023-09-07,11.2
2023-09-06,11.35
