Item,Q4 2007,Q4 2008,Q2 2009,Q4 2009,Q4 2010,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,258426890714.0,278849211237.0,,406557069030.0,406083387103.0,400329657468.0,465851154613.0,421098785135.0,407430699989.0,382292822440.0,353744229843.0,353507521357.0,366687850853.0,367403823312.0,330554738785.0,341197513178.0,355535135947.0,349270307897.0,332512406510.0,347884954750.0,373725452570.0,370625570723.0,439825678654.0,557351570568.0,506319776998.0,539152419814.0,612542174173.0,700526501394.0,478327602711.0,425416198280.0,417864464897.0,430765214010.0,405585806589.0,410553459584.0,377674795499.0,404091909993.0,369373974493.0,336453834058.0,415331373597.0,417475696352.0,410426216179.0,441660708611.0,470083646974.0,502023534720.0,499666117556.0,458149113256.0,438063384077.0,515562158585.0,556982708978.0,512071370615.0,479558511974.0,511500942971.0,488642833269.0
I. Tiền và các khoản tương đương tiền,15360407463.0,28773001298.0,,48543842439.0,49229141377.0,31080981336.0,20855034896.0,50634165251.0,36024398149.0,52522392452.0,42035764800.0,60669474210.0,94175014557.0,84159499837.0,41895259617.0,31983951008.0,39284505806.0,28641949249.0,32208878526.0,46491524295.0,49750626502.0,53215432972.0,57064777107.0,65539774160.0,95920825329.0,57278241073.0,50003799613.0,111597710877.0,99730087152.0,123122338601.0,98617104911.0,132240947426.0,109995345231.0,133813375951.0,129260381017.0,98192833992.0,78529235789.0,55331816023.0,62845534397.0,54108806202.0,19039766039.0,35987930703.0,37785133265.0,38524681196.0,41680571665.0,44964375965.0,78245075702.0,78857025468.0,71487869936.0,86988471845.0,41236266154.0,57770868586.0,68909675557.0
1. Tiền,,,,38354879312.0,33994868784.0,19444836671.0,20202034896.0,37530030146.0,16447666360.0,33541593429.0,20378959169.0,33370165457.0,22813969014.0,25948743366.0,19625076543.0,16445951008.0,16336505806.0,9673949249.0,12340878526.0,33129524295.0,37388626502.0,32726228082.0,35599972295.0,43533851412.0,73052687994.0,32390027029.0,21175803310.0,92675714574.0,33083898130.0,30456149579.0,32636414709.0,64503303203.0,15630126007.0,68653284601.0,23757628786.0,35297216493.0,36019151217.0,17544073522.0,28945700707.0,33208972512.0,11939766039.0,29087930703.0,32885133265.0,34424681196.0,22880571665.0,27164375965.0,69645075702.0,71857025468.0,54487869936.0,40977761658.0,20209294437.0,27197753812.0,38850489874.0
2. Các khoản tương đương tiền,,,,10188963127.0,15234272593.0,11636144665.0,653000000.0,13104135105.0,19576731789.0,18980799023.0,21656805631.0,27299308753.0,71361045543.0,58210756471.0,22270183074.0,15538000000.0,22948000000.0,18968000000.0,19868000000.0,13362000000.0,12362000000.0,20489204890.0,21464804812.0,22005922748.0,22868137335.0,24888214044.0,28827996303.0,18921996303.0,66646189022.0,92666189022.0,65980690202.0,67737644223.0,94365219224.0,65160091350.0,105502752231.0,62895617499.0,42510084572.0,37787742501.0,33899833690.0,20899833690.0,7100000000.0,6900000000.0,4900000000.0,4100000000.0,18800000000.0,17800000000.0,8600000000.0,7000000000.0,17000000000.0,46010710187.0,21026971717.0,30573114774.0,30059185683.0
II. Các khoản đầu tư tài chính ngắn hạn,2491553400.0,7645038224.0,,3269583047.0,11223403986.0,4415283846.0,13709823412.0,10483795927.0,15934913268.0,10156560646.0,3924724759.0,14022755892.0,3598986651.0,37159473372.0,53865178142.0,70985678259.0,54995765119.0,62829576921.0,54353878382.0,63118800787.0,58247928476.0,30470904527.0,24343864637.0,30216102804.0,35549252190.0,40552211751.0,40582651542.0,31806040826.0,32320052028.0,50553095332.0,43302572019.0,36835412657.0,32490195367.0,28677797510.0,36690068176.0,31085704822.0,30935074783.0,44848385268.0,74767511584.0,83946763038.0,73035957385.0,76620904833.0,75902917970.0,84996869484.0,74014000000.0,59544000000.0,61324000000.0,76874000000.0,84874000000.0,78004000000.0,68104000000.0,59899000000.0,65675000000.0
1. Chứng khoán kinh doanh,,,,3269583047.0,11223403986.0,4415283846.0,13709823412.0,10483795927.0,15934913268.0,10156560646.0,3924724759.0,14022755892.0,3598986651.0,37159473372.0,54665178142.0,71785678259.0,55795765119.0,63629576921.0,55153878382.0,63918800787.0,59047928476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800000000.0,-800000000.0,-800000000.0,-800000000.0,-800000000.0,-800000000.0,-800000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30470904527.0,24343864637.0,30216102804.0,35549252190.0,40552211751.0,40582651542.0,31806040826.0,32320052028.0,50553095332.0,43302572019.0,36835412657.0,32490195367.0,28677797510.0,36690068176.0,31085704822.0,30935074783.0,44848385268.0,74767511584.0,83946763038.0,73035957385.0,76620904833.0,75902917970.0,84996869484.0,74014000000.0,59544000000.0,61324000000.0,76874000000.0,84874000000.0,78004000000.0,68104000000.0,59899000000.0,65675000000.0
III. Các khoản phải thu ngắn hạn,126857621101.0,131822267743.0,131059169152.0,244916810838.0,215244507818.0,181810891606.0,173911705644.0,192584150704.0,157559418729.0,129935751243.0,141523749803.0,127900416076.0,136980468758.0,112577595412.0,117458646412.0,136278365221.0,132735619944.0,116549602991.0,103214273172.0,98433734546.0,152678011715.0,149687513632.0,188092500678.0,260891476041.0,187323192734.0,151642212398.0,233819047923.0,411516781126.0,257974569196.0,159784997444.0,200655733684.0,166577539055.0,193884983526.0,156103071436.0,131101815719.0,195774191416.0,205949109819.0,173190253281.0,182074651712.0,176994776533.0,231683103686.0,225211836792.0,200395044656.0,236053125830.0,290381590588.0,240265779720.0,179007422131.0,273251530587.0,326861522063.0,233233851805.0,281680112421.0,339607969384.0,294271775744.0
