Item,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,144365253229.0,249614140610.0,81221135121.0,144031345155.0,139222113861.0,360543177021.0,120383694977.0,112876685113.0,157695850656.0,136447338968.0,113781125521.0,83585550211.0,141630018114.0,125977757591.0,115477278434.0,74911255992.0,86082663293.0,124789016529.0,161705385058.0,55603036021.0,147300973618.0,235005952166.0,189554387062.0,101754471241.0,204209282103.0,450759358747.0,161652481392.0,73850626197.0,106199847480.0,113051041458.0,111043488590.0,80821522974.0,91587740201.0,142437862262.0,128635616907.0,61301402123.0,54197215761.0,135978963044.0,138889324668.0,65596977111.0,136497142114.0,205044370779.0,188240397044.0,70877483256.0,42161365574.0,123438904677.0,126612853795.0,190672466463.0,318993066132.0,255811516678.0,112827766554.0
2. Các khoản giảm trừ doanh thu,407900278.0,2618557773.0,28486068.0,122865510.0,88764616.0,1332616724.0,24644543.0,29536940.0,53930132.0,5748842.0,46420431.0,62076000.0,10578230.0,92871087.0,89000000.0,0.0,128064000.0,49170000.0,0.0,0.0,0.0,87783568.0,0.0,4264554.0,0.0,0.0,23312000.0,67816166.0,0.0,0.0,31500000.0,0.0,34000000.0,0.0,0.0,15926000.0,0.0,12533000.0,0.0,0.0,0.0,0.0,19436000.0,0.0,0.0,43563000.0,0.0,14450000.0,158712500.0,0.0,0.0
3. Doanh thu thuần (1)-(2),143957352951.0,246995582837.0,81192649053.0,143908479645.0,139133349245.0,359210560297.0,120359050434.0,112847148173.0,157641920524.0,136441590126.0,113734705090.0,83523474211.0,141619439884.0,125884886504.0,115388278434.0,74911255992.0,85954599293.0,124739846529.0,161705385058.0,55603036021.0,147300973618.0,234918168598.0,189554387062.0,101750206687.0,204209282103.0,450759358747.0,161629169392.0,73782810031.0,106199847480.0,113051041458.0,111011988590.0,80821522974.0,91553740201.0,142437862262.0,128635616907.0,61285476123.0,54197215761.0,135966430044.0,138889324668.0,65596977111.0,136497142114.0,205044370779.0,188220961044.0,70877483256.0,42161365574.0,123395341677.0,126612853795.0,190658016463.0,318834353632.0,255811516678.0,112827766554.0
4. Giá vốn hàng bán,106662754177.0,160556658288.0,51605410604.0,106069393233.0,98951643145.0,275410823169.0,89684041104.0,84118896124.0,123478899178.0,108205911360.0,88180717319.0,63288249517.0,109892284869.0,97882797238.0,80127973222.0,57724952005.0,64354202720.0,83941264445.0,119354301225.0,39507822614.0,102790530984.0,175014915641.0,133403804439.0,76399366507.0,158110669659.0,344837753530.0,126173200619.0,47606973286.0,62045227519.0,75190817384.0,74488489453.0,57919904927.0,61762611891.0,97787729262.0,96819064001.0,44868403357.0,37175345159.0,102235451777.0,103906208381.0,46515010434.0,109501470007.0,149180206217.0,133051385053.0,49684179165.0,33538910792.0,94424777202.0,90369966577.0,171263785110.0,285885187612.0,215508906524.0,73780326658.0
5. Lợi nhuận gộp (3)-(4),37294598774.0,86438924549.0,29587238449.0,37839086412.0,40181706100.0,83799737128.0,30675009330.0,28728252049.0,34163021346.0,28235678766.0,25553987771.0,20235224694.0,31727155015.0,28002089266.0,35260305212.0,17186303987.0,21600396573.0,40798582084.0,42351083833.0,16095213407.0,44510442634.0,59903252957.0,56150582623.0,25350840180.0,46098612444.0,105921605217.0,35455968773.0,26175836745.0,44154619961.0,37860224074.0,36523499137.0,22901618047.0,29791128310.0,44650133000.0,31816552906.0,16417072766.0,17021870602.0,33730978267.0,34983116287.0,19081966677.0,26995672107.0,55864164562.0,55169575991.0,21193304091.0,8622454782.0,28970564475.0,36242887218.0,19394231353.0,32949166020.0,40302610154.0,39047439896.0
6. Doanh thu hoạt động tài chính,10061296578.0,-2612465518.0,1246588856.0,12482872513.0,1340924379.0,1995569978.0,908549676.0,1352299533.0,3080998871.0,1231407951.0,31477070350.0,877452863.0,3076198025.0,682445012.0,3428887446.0,1368906461.0,1622375590.0,1595212200.0,3486477625.0,3964478173.0,-2365860223.0,1070005855.0,1237481394.0,1085785776.0,1175536845.0,1059771806.0,1043189460.0,1758555587.0,2335386235.0,1556272255.0,1729135801.0,1289303521.0,2109444137.0,1523100389.0,1572918077.0,1086107325.0,6326128541.0,1088671902.0,2716367355.0,892662401.0,976971983.0,870606587.0,2115369839.0,761822754.0,988348910.0,548837002.0,57375602682.0,963547667.0,989018741.0,1030133151.0,3020459771.0
7. Chi phí tài chính,3141407191.0,6232965605.0,3223957127.0,4569100645.0,3173726923.0,9866422948.0,7317059816.0,6102260897.0,7898049683.0,7853409248.0,5759350178.0,5074031789.0,6062478350.0,1990220152.0,599120085.0,1442156159.0,1160406017.0,700161641.0,497716262.0,628129252.0,1687960014.0,1221740500.0,1337084094.0,731357621.0,1178254938.0,5232555866.0,1218813505.0,57374110.0,54845548.0,12888089.0,219922737.0,102105006.0,265140332.0,189657785.0,230339918.0,191269807.0,2056421832.0,676035083.0,826749782.0,786954150.0,985880084.0,1232600429.0,2058108042.0,1317374048.0,2405640591.0,626278484.0,2032149460.0,882397565.0,1158809304.0,3186106531.0,1503231707.0
Trong đó: Chi phí lãi vay,1148460998.0,3534489101.0,403624325.0,3321292928.0,182770730.0,11631868806.0,4071636506.0,5696385084.0,9370870567.0,7623088018.0,4347128630.0,7410391.0,9443542560.0,195079685.0,0.0,1208971038.0,1187602974.0,542123422.0,306464149.0,445054898.0,772297327.0,1144094351.0,1146265920.0,652675719.0,1097872260.0,1942809049.0,-430018042.0,554513.0,20491956.0,0.0,128620319.0,31566896.0,66422376.0,60717611.0,161606572.0,100435276.0,452916024.0,535207947.0,686147911.0,733599989.0,757828538.0,1113402251.0,1130857183.0,973381319.0,648810171.0,499213443.0,596664580.0,677105945.0,778339076.0,1132975177.0,1083360119.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,1114289231.0,-449567257.0,960073106.0,365019692.0,1184598934.0,2131762150.0,1561931062.0,1947775960.0,1732068772.0,2154069289.0,7089050238.0,0.0,-506332083.0,0.0,667883314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4824109304.0,4727922540.0,-2507996682.0
9. Chi phí bán hàng,10268946902.0,16352733832.0,9284513543.0,10184809474.0,9895121461.0,15047349110.0,8570857209.0,10346989038.0,10861603330.0,7111733917.0,10196268951.0,8704520398.0,9007462085.0,8573481714.0,5229576460.0,7615331263.0,8250416727.0,8962380937.0,12700401801.0,7133210496.0,11444441275.0,13147448007.0,12255838975.0,9035313223.0,11281260370.0,21667228001.0,10302333105.0,9808931827.0,11492512530.0,13983224707.0,13200575507.0,10418443634.0,9685188916.0,18525274085.0,11092087684.0,10771469050.0,10725325174.0,13466956030.0,9412967039.0,9440348250.0,12043694904.0,10945564408.0,16679125165.0,10488353262.0,10622837060.0,12342965509.0,10352524647.0,10557361643.0,10789663302.0,10718698666.0,10542976424.0
