Period,Lưu chuyển tiền thuần trong kỳ
Q1 2011,-15668220948.0
Q2 2011,-18148160041.0
Q3 2011,-10225946440.0
Q1 2012,-14577185778.0
Q2 2012,16497994303.0
Q3 2012,-10486627652.0
Q4 2012,18633709410.0
Q1 2013,33731122860.0
Q2 2013,-10015514720.0
Q3 2013,-42264240220.0
Q4 2013,-9911308609.0
Q1 2014,7306501912.0
Q2 2014,-10642556557.0
Q3 2014,3566929277.0
Q4 2014,13973294869.0
Q1 2015,12849442347.0
Q2 2015,-1889522241.0
Q3 2015,3849344135.0
Q4 2015,8474997053.0
Q1 2016,30381051168.0
Q2 2016,-38437413407.0
Q3 2016,-7274534193.0
Q4 2016,61594003997.0
Q1 2017,-11865717670.0
Q2 2017,23392251449.0
Q3 2017,-24907014859.0
Q4 2017,34025623684.0
Q1 2018,-22244148100.0
Q2 2018,23818030720.0
Q3 2018,-4551894304.0
Q4 2018,-31067547025.0
Q1 2019,-19691703173.0
Q2 2019,-23197419766.0
Q3 2019,7506397251.0
Q4 2019,-8738622998.0
Q1 2020,-59488312056.0
Q2 2020,16956648587.0
Q3 2020,1783804278.0
Q4 2020,735603374.0
Q1 2021,3463106670.0
Q2 2021,3283226858.0
Q3 2021,33285381599.0
Q4 2021,603902146.0
Q2 2022,15499426425.0
Q3 2022,-45764624019.0
Q4 2022,16543207439.0
Q1 2023,-9878000695.0
