Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2009 - Q4,93159.0,40257.0,40257.0,0.0,52902.0,1577.0,17657.0,0.0
2010 - Q2,92622.0,43083.0,43083.0,0.0,49539.0,1678.0,16535.0,0.0
2010 - Q3,82556.0,30418.0,32869.0,-2451.0,52138.0,2545.0,17402.0,0.0
2010 - Q4,90996.0,34675.0,34602.0,73.0,56320.0,2364.0,18798.0,10.58
2011 - Q1,112285.0,55128.0,55055.0,73.0,57157.0,2494.0,19078.0,7.06
2011 - Q2,96285.0,45023.0,44950.0,73.0,51262.0,2514.0,17110.0,7.68
2011 - Q3,83987.0,37441.0,37368.0,73.0,46546.0,737.0,15536.0,12.89
2011 - Q4,110460.0,49378.0,49312.0,66.0,59722.0,1811.0,17381.0,4.31
2012 - Q1,81713.0,28539.0,28513.0,26.0,47991.0,319.0,16018.0,21.93
2012 - Q2,78300.0,23995.0,24172.0,-177.0,48603.0,198.0,16223.0,27.72
2012 - Q3,80224.0,25627.0,25914.0,-287.0,48925.0,1352.0,16330.0,3.63
2012 - Q4,95581.0,35038.0,35038.0,0.0,54984.0,995.0,18353.0,5.13
2013 - Q1,87515.0,27469.0,27469.0,0.0,54567.0,2312.0,18213.0,3.2
2013 - Q2,86860.0,29306.0,29306.0,0.0,51590.0,2180.0,17220.0,2.98
2013 - Q3,74264.0,18709.0,18709.0,0.0,49665.0,1398.0,16577.0,3.5
2013 - Q4,96282.0,33948.0,33948.0,0.0,55893.0,1044.0,18656.0,4.02
2014 - Q1,81587.0,24921.0,24879.0,42.0,51159.0,782.0,17076.0,11.5
2014 - Q2,79353.0,20858.0,20816.0,42.0,52535.0,1402.0,17535.0,5.06
2014 - Q3,88489.0,26857.0,26815.0,42.0,55215.0,2723.0,18187.0,1.65
2014 - Q4,84126.0,29267.0,28626.0,641.0,54859.0,1604.0,18311.0,3.06
2015 - Q1,69347.0,13672.0,13117.0,555.0,55675.0,2182.0,18583.0,2.43
2015 - Q2,64754.0,14092.0,13626.0,466.0,50662.0,1123.0,16910.0,3.92
2015 - Q3,76928.0,24526.0,24147.0,379.0,52402.0,921.0,17490.0,3.91
2015 - Q4,120383.0,64562.0,64270.0,292.0,55821.0,1422.0,18632.0,3.87
2016 - Q1,91693.0,39232.0,38440.0,792.0,52462.0,1701.0,21018.0,2.88
2016 - Q2,98959.0,45259.0,43480.0,1779.0,53700.0,2453.0,17924.0,2.16
2016 - Q3,111305.0,55095.0,55095.0,0.0,56211.0,2711.0,14074.0,1.59
2016 - Q4,141079.0,88135.0,87342.0,793.0,52944.0,1901.0,17671.0,2.68
2017 - Q1,158833.0,97521.0,97521.0,0.0,61312.0,2448.0,20465.0,4.86
2017 - Q2,173900.0,116905.0,116905.0,0.0,56995.0,2391.0,19024.0,7.24
2017 - Q3,156519.0,96218.0,96218.0,0.0,60301.0,2656.0,20127.0,5.65
2017 - Q4,199878.0,138665.0,138665.0,0.0,61213.0,2629.0,20432.0,7.08
2018 - Q1,140995.0,78510.0,78510.0,0.0,62485.0,1907.0,20856.0,9.34
2018 - Q2,125700.0,67765.0,67765.0,0.0,57935.0,2061.0,19337.0,9.27
2018 - Q3,134196.0,74825.0,74825.0,0.0,59370.0,1437.0,19816.0,11.35
2018 - Q4,151067.0,89019.0,89019.0,0.0,62048.0,2026.0,20710.0,8.54
2019 - Q1,129732.0,67127.0,67127.0,0.0,62605.0,1836.0,20896.0,8.17
2019 - Q2,143390.0,81917.0,81917.0,0.0,61474.0,2926.0,20518.0,5.81
2019 - Q3,130918.0,68601.0,68601.0,0.0,62317.0,2729.0,20800.0,5.72
2019 - Q4,175521.0,108919.0,108919.0,0.0,66601.0,3265.0,22230.0,4.13
2020 - Q1,139358.0,70960.0,70960.0,0.0,68398.0,3679.0,22830.0,4.29
2020 - Q2,125400.0,61581.0,61581.0,0.0,63819.0,3014.0,21301.0,6.44
2020 - Q3,146024.0,80159.0,80159.0,0.0,65865.0,3400.0,21984.0,4.65
2020 - Q4,166258.0,97941.0,97941.0,0.0,68317.0,2789.0,22803.0,6.46
2021 - Q1,128327.0,58782.0,58782.0,0.0,69545.0,2592.0,23213.0,8.68
2021 - Q2,118855.0,53407.0,53407.0,0.0,65448.0,2397.0,21845.0,10.01
2021 - Q3,110065.0,45460.0,45460.0,0.0,64605.0,1446.0,21564.0,21.43
2021 - Q4,102088.0,35418.0,35418.0,0.0,66670.0,1318.0,22253.0,17.84
2022 - Q1,95250.0,27308.0,27308.0,0.0,67942.0,1170.0,11339.0,14.19
2022 - Q2,114070.0,47840.0,47840.0,0.0,66230.0,1131.0,11053.0,12.82
2022 - Q3,243865.0,171801.0,171801.0,0.0,72063.0,2305.0,12027.0,4.12
2022 - Q4,249343.0,176537.0,176537.0,0.0,72806.0,1757.0,12150.0,7.68
2023 - Q1,211320.0,136991.0,136991.0,0.0,74328.0,1722.0,12405.0,8.13
2023 - Q2,179113.0,110152.0,110152.0,0.0,68960.0,1634.0,11509.0,8.39
2023 - Q3,158111.0,87020.0,87020.0,0.0,71090.0,1015.0,11864.0,12.51
