Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006,53166.0,34493.0,34493.0,0.0,18673.0,4587.0,18673.0,0.0
2007,72155.0,20618.0,20618.0,0.0,51537.0,1751.0,17202.0,0.0
2008,96055.0,43024.0,43024.0,0.0,53031.0,1986.0,17700.0,0.0
2009,93159.0,40257.0,40257.0,0.0,52902.0,2485.0,17657.0,0.0
2010,99794.0,43158.0,43085.0,73.0,56636.0,2611.0,18904.0,9.57
2011,98287.0,39775.0,39709.0,66.0,52648.0,491.0,17573.0,15.9
2012,95300.0,35285.0,35285.0,0.0,54698.0,951.0,18257.0,5.36
2013,96786.0,36768.0,36726.0,42.0,54690.0,964.0,18254.0,4.36
2014,84126.0,29267.0,28626.0,641.0,54859.0,1265.0,18311.0,3.87
2015,120649.0,64839.0,64033.0,806.0,55809.0,1418.0,18628.0,3.88
2016,155722.0,97698.0,97698.0,0.0,58024.0,2053.0,19367.0,2.47
2017,190394.0,129034.0,129034.0,0.0,61360.0,2678.0,20481.0,6.95
2018,151067.0,89019.0,89019.0,0.0,62048.0,2026.0,20710.0,8.54
2019,175447.0,108845.0,108845.0,0.0,66601.0,3264.0,22230.0,4.14
2020,164549.0,96212.0,96212.0,0.0,68337.0,2810.0,22809.0,6.41
2021,102076.0,35418.0,35418.0,0.0,66658.0,1314.0,22249.0,17.89
2022,249343.0,176537.0,176537.0,0.0,72806.0,1757.0,12150.0,7.68
