Date,Sales
Q1/2009,8163956343
Q2/2009,7399617846
Q3/2009,32193188251
Q4/2009,47501284213
Q1/2010,6189634089
Q2/2010,12751686795
Q3/2010,35164925572
Q4/2010,54955197750
Q1/2011,6906405535
Q2/2011,28023785737
Q3/2011,13829187180
Q4/2011,56151696109
Q1/2012,17434622602
Q2/2012,31492195326
Q3/2012,24995218675
Q4/2012,52645230698
Q1/2013,17312562442
Q2/2013,34481352291
Q3/2013,17045977306
Q4/2013,57414911298
Q1/2014,21068673395
Q2/2014,35491865999
Q3/2014,44338482186
Q4/2014,39631819664
Q1/2015,20957826556
Q2/2015,18314616883
Q3/2015,24826103171
Q4/2015,58313289554
Q1/2016,20263406211
Q2/2016,36128857693
Q3/2016,53468251260
Q4/2016,131771751462
Q1/2017,52487147271
Q2/2017,56918876241
Q3/2017,68028698000
Q4/2017,110131779770
Q1/2018,60140560349
Q2/2018,25553610843
Q3/2018,33329725308
Q4/2018,79478294486
Q1/2019,16364537735
Q2/2019,48785863289
Q3/2019,25395571842
Q4/2019,95296941593
Q1/2020,32095118561
Q2/2020,25204126421
Q3/2020,50637554312
Q4/2020,126261982210
Q1/2021,26372981867
Q2/2021,22300868874
Q3/2021,6613437755
Q4/2021,32703931406
Q1/2022,22094701066
Q2/2022,32893698017
Q3/2022,172553846366
Q4/2022,56184893365
Q1/2023,82127147645
Q2/2023,29073604334
Q3/2023,21340003088
