tradingTime,lastPrice
2024-01-12,13.5
2024-01-11,13.5
2024-01-10,13.5
2024-01-09,13.5
2024-01-08,15.0
2024-01-05,13.9
2024-01-04,14.0
2024-01-03,14.0
2024-01-02,14.0
2023-12-29,14.0
2023-12-28,13.0
2023-12-27,13.0
2023-12-26,13.0
2023-12-25,13.0
2023-12-22,12.0
2023-12-21,12.0
2023-12-20,11.5
2023-12-19,11.5
2023-12-18,11.5
2023-12-15,11.5
2023-12-14,11.5
2023-12-13,11.5
2023-12-12,11.5
2023-12-11,11.5
2023-12-08,11.5
2023-12-07,11.5
2023-12-06,12.3
2023-12-05,12.3
2023-12-04,12.3
2023-12-01,12.3
2023-11-30,12.3
2023-11-29,12.3
2023-11-28,12.3
2023-11-27,12.3
2023-11-24,12.3
2023-11-23,12.3
2023-11-22,12.3
2023-11-21,12.0
2023-11-20,12.0
2023-11-17,12.0
2023-11-16,12.0
2023-11-15,12.0
2023-11-14,12.0
2023-11-13,12.0
2023-11-10,12.0
2023-11-09,12.0
2023-11-08,12.0
2023-11-07,12.0
2023-11-06,12.0
2023-11-03,12.0
2023-11-02,12.0
2023-11-01,12.0
2023-10-31,12.0
2023-10-30,12.0
2023-10-27,12.0
2023-10-26,12.0
2023-10-25,12.0
2023-10-24,12.0
2023-10-23,12.0
2023-10-20,11.7
2023-10-19,13.0
2023-10-18,13.0
2023-10-17,13.4
2023-10-16,13.4
2023-10-13,13.1
2023-10-12,13.0
2023-10-11,12.8
2023-10-10,12.8
2023-10-09,12.7
2023-10-06,12.7
2023-10-05,12.7
2023-10-04,12.7
2023-10-03,12.7
2023-10-02,12.7
2023-09-29,12.7
2023-09-28,12.7
2023-09-27,12.7
2023-09-26,12.7
2023-09-25,12.7
2023-09-22,12.8
2023-09-21,12.8
2023-09-20,12.8
2023-09-19,12.06
2023-09-18,12.06
2023-09-15,12.06
2023-09-14,12.16
2023-09-13,13.17
2023-09-12,13.17
2023-09-11,13.17
2023-09-08,12.89
2023-09-07,13.17
2023-09-06,12.43
2023-09-05,12.71
2023-08-31,12.52
2023-08-30,12.52
2023-08-29,12.52
2023-08-28,12.52
2023-08-25,12.52
2023-08-24,12.52
2023-08-23,12.52
2023-08-22,12.52
2023-08-21,12.52
2023-08-18,12.52
2023-08-17,12.62
2023-08-16,11.6
2023-08-15,11.6
2023-08-14,12.52
2023-08-11,12.62
2023-08-10,12.71
2023-08-09,12.89
2023-08-08,11.97
2023-08-07,11.97
2023-08-04,12.89
2023-08-03,12.89
2023-08-02,12.89
2023-08-01,12.89
2023-07-31,12.89
2023-07-28,12.89
2023-07-27,11.97
2023-07-26,11.97
2023-07-25,11.97
2023-07-24,11.97
2023-07-21,13.26
2023-07-20,13.26
2023-07-19,13.26
2023-07-18,14.64
2023-07-17,13.54
2023-07-14,12.52
2023-07-13,13.72
2023-07-12,13.72
2023-07-11,12.98
2023-07-10,12.43
2023-07-07,12.43
2023-07-06,12.43
2023-07-05,11.97
