Item,Q4 2006,Q4 2007,Q4 2008,Q4 2009,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,41830671860.0,62903049306.0,83668731122.0,79458653459.0,79661446366.0,68388961702.0,78877812638.0,100833410313.0,80254079561.0,70865072097.0,97534113154.0,70000830849.0,66859308789.0,69961639738.0,85651795348.0,77937738046.0,78380520525.0,66543996769.0,89045525792.0,75504034425.0,73501842741.0,82865254830.0,75757888437.0,61370456525.0,57215369772.0,69493749975.0,113003984063.0,97596930845.0,91552869749.0,103663408420.0,147805770408.0,151664084165.0,166357495234.0,148129540958.0,189793095181.0,130775560264.0,116517733613.0,123611163864.0,141523153316.0,120366818975.0,134118638240.0,122149273243.0,167773199110.0,131515520685.0,117982494239.0,135713688953.0,156016282161.0,118089831676.0,108714546946.0,100221923223.0,92705377890.0,83981875991.0,193099146558.0,235102859833.0,240911736486.0,202759491942.0
I. Tiền và các khoản tương đương tiền,4787131922.0,2480849094.0,3377060908.0,4976904673.0,8436612848.0,7320299935.0,3375810026.0,5254655776.0,10149534355.0,1637274465.0,12823419455.0,7835169612.0,11835896221.0,13841404544.0,11798837555.0,15480949036.0,18307548537.0,15797856024.0,12000061882.0,13579819146.0,7293142061.0,10769147943.0,8701114289.0,18924224143.0,23538931346.0,21980722647.0,7582029075.0,10831909580.0,11732432946.0,1731171193.0,27189042482.0,25774487551.0,4110078179.0,18093492123.0,40355493423.0,10779290670.0,12898356276.0,10697980052.0,28538264567.0,17561854926.0,36973982267.0,15900904642.0,30349467650.0,31654771177.0,39608197486.0,37047434628.0,39519487447.0,44489359628.0,54013766563.0,58553254283.0,44771868205.0,48549950590.0,23284508659.0,52440149321.0,55330292787.0,40860645274.0
1. Tiền,4787131922.0,2480849094.0,3377060908.0,3182804673.0,8436612848.0,7320299935.0,3375810026.0,5254655776.0,5149534355.0,1637274465.0,12823419455.0,3835169612.0,6377834894.0,4441404544.0,7298837555.0,6480949036.0,4307548537.0,4297856024.0,7640061882.0,8579819146.0,3793142061.0,8769147943.0,5701114289.0,5924224143.0,8538931346.0,3980722647.0,5582029075.0,5831909580.0,6732432946.0,1731171193.0,27189042482.0,20774487551.0,2090128179.0,14863401890.0,30900859744.0,10779290670.0,11898356276.0,10197980052.0,28194998528.0,14561854926.0,28572592632.0,7549515007.0,14349467650.0,9831502942.0,6578739216.0,15857400240.0,20659233716.0,11489359628.0,8513766563.0,7803254283.0,3836868205.0,6566865595.0,4999508659.0,29935149321.0,42715292787.0,7245645274.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,1794100000.0,0.0,0.0,0.0,0.0,5000000000.0,0.0,0.0,4000000000.0,5458061327.0,9400000000.0,4500000000.0,9000000000.0,14000000000.0,11500000000.0,4360000000.0,5000000000.0,3500000000.0,2000000000.0,3000000000.0,13000000000.0,15000000000.0,18000000000.0,2000000000.0,5000000000.0,5000000000.0,0.0,0.0,5000000000.0,2019950000.0,3230090233.0,9454633679.0,0.0,1000000000.0,500000000.0,343266039.0,3000000000.0,8401389635.0,8351389635.0,16000000000.0,21823268235.0,33029458270.0,21190034388.0,18860253731.0,33000000000.0,45500000000.0,50750000000.0,40935000000.0,41983084995.0,18285000000.0,22505000000.0,12615000000.0,33615000000.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,3000000000.0,0.0,0.0,0.0,0.0,400000000.0,3550000000.0,0.0,0.0,0.0,431605000.0,0.0,738588927.0,1843006602.0,1479470922.0,1553378675.0,1498447675.0,3441565675.0,2034115675.0,3339165675.0,3392165675.0,2637728675.0,2760728675.0,3034867934.0,3333062735.0,3933790475.0,4858755675.0,850000000.0,3644975675.0,7006175675.0,2100000.0,26208853.0,26208853.0,673272532.0,798372532.0,8000000.0,515189926.0,0.0,0.0,0.0,0.0,0.0,88544643.0,7500000000.0,0.0,0.0,0.0,2315000000.0,0.0,0.0,435000000.0,9695000000.0,0.0,22266269476.0,6384259801.0
1. Chứng khoán kinh doanh,0.0,3000000000.0,0.0,0.0,0.0,0.0,400000000.0,3550000000.0,0.0,0.0,0.0,431605000.0,0.0,738588927.0,1843006602.0,1479470922.0,1553378675.0,1498447675.0,3441565675.0,2034115675.0,3339165675.0,3392165675.0,2637728675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2760728675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3034867934.0,3333062735.0,3933790475.0,4858755675.0,850000000.0,3644975675.0,7006175675.0,2100000.0,26208853.0,26208853.0,673272532.0,798372532.0,8000000.0,515189926.0,0.0,0.0,0.0,0.0,0.0,88544643.0,7500000000.0,0.0,0.0,0.0,2315000000.0,0.0,0.0,435000000.0,9695000000.0,0.0,22266269476.0,6384259801.0
III. Các khoản phải thu ngắn hạn,26580857739.0,38598039641.0,49550068867.0,48245005114.0,29131212403.0,33315272721.0,53569272526.0,58196334877.0,45861727180.0,36456392480.0,54998798637.0,40552611993.0,36216674618.0,33993205956.0,58120986260.0,39645348280.0,40005041555.0,31479338448.0,62082150707.0,40765421912.0,42722267836.0,49379103696.0,51858965820.0,27619383482.0,23172665726.0,33564112673.0,86087684182.0,72710357862.0,68745209348.0,66343543598.0,79902551626.0,84599777889.0,97361746587.0,83131881281.0,109497931849.0,110432270340.0,93857764832.0,88680512440.0,92002934388.0,81382269231.0,84618982345.0,86545781087.0,128467994528.0,92992062682.0,63783857350.0,62925735038.0,112385135394.0,71263571322.0,48849529029.0,37683728195.0,40391236522.0,27178319694.0,47523474327.0,170579153149.0,115032372065.0,150319592266.0
