Item,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,8176541584.0,7399617846.0,32305648282.0,47660036291.0,6189859826.0,12822240216.0,35399217135.0,54995010525.0,6906405535.0,28154000329.0,13830645344.0,56234735223.0,17625743931.0,31498017326.0,24995218675.0,53107893935.0,17312806252.0,34488284018.0,17049279526.0,60192630348.0,21081593395.0,35798302400.0,44338482186.0,39756498720.0,21269975708.0,18519451580.0,24831785905.0,58340088927.0,20347178710.0,36201906034.0,53708817173.0,132816768228.0,52802813336.0,56781970742.0,70732596856.0,111862090361.0,60275243512.0,25470159223.0,33525920693.0,80261690723.0,16466450887.0,49098895788.0,25580297479.0,95350125969.0,32127254542.0,25235777567.0,51063429784.0,126469497581.0,26372981867.0,22308616662.0,6715885188.0,32957146444.0,22142794478.0,32894071470.0,172699675566.0,59073607488.0,82127147645.0
2. Các khoản giảm trừ doanh thu,12585241.0,0.0,112460031.0,158752078.0,225737.0,70553421.0,234291563.0,39812775.0,0.0,130214592.0,1458164.0,83039114.0,191121329.0,5822000.0,0.0,462663237.0,243810.0,6931727.0,3302220.0,2777719050.0,12920000.0,306436401.0,0.0,124679056.0,312149152.0,204834697.0,5682734.0,26799373.0,83772499.0,73048341.0,240565913.0,1045016766.0,315666065.0,-136905499.0,2703898856.0,1730310591.0,134683163.0,-83451620.0,196195385.0,783396237.0,101913152.0,313032499.0,184725637.0,53184376.0,32135981.0,31651146.0,425875472.0,207515371.0,0.0,7747788.0,102447433.0,253215038.0,48093412.0,373453.0,145829200.0,2888714123.0,0.0
3. Doanh thu thuần (1)-(2),8163956343.0,7399617846.0,32193188251.0,47501284213.0,6189634089.0,12751686795.0,35164925572.0,54955197750.0,6906405535.0,28023785737.0,13829187180.0,56151696109.0,17434622602.0,31492195326.0,24995218675.0,52645230698.0,17312562442.0,34481352291.0,17045977306.0,57414911298.0,21068673395.0,35491865999.0,44338482186.0,39631819664.0,20957826556.0,18314616883.0,24826103171.0,58313289554.0,20263406211.0,36128857693.0,53468251260.0,131771751462.0,52487147271.0,56918876241.0,68028698000.0,110131779770.0,60140560349.0,25553610843.0,33329725308.0,79478294486.0,16364537735.0,48785863289.0,25395571842.0,95296941593.0,32095118561.0,25204126421.0,50637554312.0,126261982210.0,26372981867.0,22300868874.0,6613437755.0,32703931406.0,22094701066.0,32893698017.0,172553846366.0,56184893365.0,82127147645.0
4. Giá vốn hàng bán,5726736238.0,3715395497.0,24561265154.0,33026415443.0,3212584069.0,4237044425.0,26665367815.0,39109362867.0,2969113576.0,22484838939.0,9751880313.0,37212888041.0,12693051436.0,24275083993.0,18035756267.0,39252183287.0,11391011726.0,27954997791.0,12675593399.0,44626800445.0,16182461788.0,26996424910.0,34494906567.0,32796659374.0,16650276556.0,16995530461.0,20207293763.0,50226488017.0,15618332334.0,31350649736.0,47295104285.0,122624686190.0,45218360728.0,52126524353.0,60635424889.0,101606945758.0,55158769827.0,20900800711.0,27568067929.0,69750792877.0,11987490836.0,38766800841.0,20400045017.0,83567979152.0,26700354606.0,19517245907.0,43869568662.0,117186287505.0,21023225810.0,16928149017.0,5385060527.0,27978555480.0,17305291489.0,26550138457.0,159772539197.0,50251181566.0,77061620202.0
5. Lợi nhuận gộp (3)-(4),2437220105.0,3684222349.0,7631923097.0,14474868770.0,2977050020.0,8514642370.0,8499557757.0,15845834883.0,3937291959.0,5538946798.0,4077306867.0,18938808068.0,4741571166.0,7217111333.0,6959462408.0,13393047411.0,5921550716.0,6526354500.0,4370383907.0,12788110853.0,4886211607.0,8495441089.0,9843575619.0,6835160290.0,4307550000.0,1319086422.0,4618809408.0,8086801537.0,4645073877.0,4778207957.0,6173146975.0,9147065272.0,7268786543.0,4792351888.0,7393273111.0,8524834012.0,4981790522.0,4652810132.0,5761657379.0,9727501609.0,4377046899.0,10019062448.0,4995526825.0,11728962441.0,5394763955.0,5686880514.0,6767985650.0,9075694705.0,5349756057.0,5372719857.0,1228377228.0,4725375926.0,4789409577.0,6343559560.0,12781307169.0,5933711799.0,5065527443.0
6. Doanh thu hoạt động tài chính,119883024.0,16913222.0,16071941.0,961429245.0,23618788.0,455536502.0,303454756.0,315237757.0,123435901.0,242631256.0,100436522.0,157280821.0,129802533.0,202484951.0,127300960.0,395794660.0,141032877.0,262426683.0,188009292.0,480465512.0,169063482.0,228728189.0,121439944.0,1082379619.0,99303016.0,319576067.0,208420072.0,1338132884.0,58719253.0,75011859.0,144577155.0,34444067.0,98102311.0,976878743.0,64942216.0,138183001.0,102755084.0,22308792.0,21174306.0,88229177.0,41807051.0,149192613.0,85909381.0,83661466.0,182073085.0,519984944.0,709623624.0,403618838.0,224598158.0,377128720.0,308441429.0,415602215.0,264689556.0,394383971.0,153459206.0,1049031116.0,598043088.0
7. Chi phí tài chính,258271934.0,443354798.0,244965765.0,994790162.0,328607643.0,172352994.0,410407681.0,236776538.0,373368491.0,434710070.0,304885255.0,368473706.0,333299594.0,151003538.0,12888889.0,15627205.0,0.0,99070.0,0.0,347473528.0,987000.0,0.0,0.0,14268250.0,10122292.0,34416902.0,11292362.0,8819838.0,6585103.0,4467604.0,6068294.0,61269892.0,8279891.0,18714235.0,135962636.0,162944600.0,160053135.0,112056785.0,115570019.0,141760524.0,4654860.0,66880.0,1682036.0,1477961.0,2627130.0,6171745.0,184246.0,0.0,0.0,0.0,0.0,497637.0,0.0,0.0,0.0,0.0,0.0
Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,328607643.0,107242906.0,410407681.0,427019519.0,373368491.0,328053364.0,304885255.0,368473706.0,333299594.0,145787538.0,12888889.0,13577778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10122292.0,11942697.0,11292362.0,8819838.0,6585103.0,4467604.0,6068294.0,59406498.0,8279891.0,15787407.0,135962636.0,162874160.0,160053135.0,111744185.0,115570019.0,141727035.0,4119820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,100778883.0,178000200.0,120210232.0,173468253.0,45650908.0,290414858.0,96550175.0,168703115.0,141539269.0,140603117.0,178818572.0,272108133.0,110722233.0,139874846.0,132200732.0,127084405.0,102222506.0,161235801.0,100105848.0,113064271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
