Quarter,VLA,UNI,ST8,SRA,SMT,SGT,SAM,POT,ONE,KST,ITD,HIG,FPT,ELC,CMG,CKV
2002 Q1,,,,,,,,,,,,,,,,
2002 Q2,,,,,,,27720,,,,,,,,,
2002 Q3,,,,,,,,,,,,,,,,
2002 Q4,,,,,,,,,,,,,,,,
2003 Q1,,,,,,,13206,,,,,,,,,
2003 Q2,,,,,,,14030,,,,,,,,,
2003 Q3,,,,,,,14380,,,,,,,,,
2003 Q4,,,,,,,,,,,,,,,,
2004 Q1,,,,,,,,,,,,,,,,
2004 Q2,,,,,,,,,,,,,,,,
2004 Q3,,,,,,,,,,,,,,,,
2004 Q4,,,,,,,22216,,,,,,,,,
2005 Q1,,,,,,,16830,,,,,,,,,
2005 Q2,,514,,,,,23369,,,,,,,,,
2005 Q3,,390,,,,,26139,,,,,,,,,
2005 Q4,,980,,,,,36862,,,,,,,,,
2006 Q1,,730,,,,,25763,,,,,,,,,
2006 Q2,,655,,,,,29685,,,,,,,,,
2006 Q3,,697,,,,,66814,,,,,,,,,
2006 Q4,,646,,,,,81517,14011,,,,,240015,,,
2007 Q1,,1354,,,,,48606,4664,,,,,179456,8523,,
2007 Q2,,1354,,,,,41323,15618,,,,,256617,9585,,
2007 Q3,,2681,,,,,52356,6879,,,,,128385,,,
2007 Q4,,1692,14140,975,,44709,54600,6801,,,,,312744,,,
2008 Q1,,2062,14713,452,69,33445,48021,259,,,,,246359,,,
2008 Q2,,1656,18195,10,1128,67463,-113538,3555,1662,,,,272587,,,
2008 Q3,,3290,16522,-344,715,41839,152986,68,319,,,,175795,,,
2008 Q4,,-4183,5950,-702,547,73438,-154848,12584,4794,,,,360779,,,
2009 Q1,,1723,8385,6,570,6590,13248,848,1631,,,,317120,,,
2009 Q2,,5285,17670,,1469,14221,164197,1545,714,,,,314615,,,
2009 Q3,371,5857,19165,280,951,29039,54325,2466,73,,,,405963,,6129,1406
2009 Q4,150,4148,24961,-231,1212,22157,23028,11685,5825,4726,,,366566,,,2142
2010 Q1,905,7974,8046,108,54,2058,26613,2751,353,,,4309,384409,10785,10823,759
2010 Q2,632,2246,18334,1036,2136,19872,49276,1059,194,301,,,505273,9835,6186,1220
2010 Q3,1427,2201,12587,101,1041,5006,50,3777,1093,2599,,,372831,58489,32726,744
2010 Q4,-518,2527,10668,1518,1012,5595,-13,11303,11167,4183,,,428709,91194,32726,1525
2011 Q1,570,873,6515,2174,1,-10309,-22,249,522,391,,,416327,30655,5869,362
2011 Q2,1205,-3020,10143,-1472,674,-36084,-90,268,-4955,360,,,553046,9718,2208,1745
2011 Q3,865,5702,9415,-494,49,-25531,2,-1609,-677,-2725,15239,,539533,34959,3335,987
2011 Q4,538,-11082,7405,-200,12,-63895,-77,9744,11379,7697,35582,,579689,41262,-63511,1772
2012 Q1,343,3402,8439,-463,334,-46715,38,52,2428,-3592,90,,460417,32021,-3397,187
