Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2008 - Q1,40971.0,14448.0,14448.0,0.0,26524.0,748.0,13262.0,0.0
2008 - Q2,39565.0,11380.0,11380.0,0.0,28185.0,1579.0,14093.0,16.34
2008 - Q3,37405.0,9696.0,9696.0,0.0,27709.0,1739.0,12047.0,9.95
2008 - Q4,63807.0,30216.0,30216.0,0.0,33590.0,3975.0,14604.0,1.94
2009 - Q1,62094.0,29331.0,29331.0,0.0,32763.0,3918.0,14245.0,2.73
2009 - Q2,46684.0,13581.0,13581.0,0.0,33103.0,3412.0,12515.0,5.22
2009 - Q3,66452.0,35790.0,35790.0,0.0,30662.0,3187.0,11593.0,5.46
2009 - Q4,102211.0,64882.0,64882.0,0.0,37329.0,3510.0,14113.0,4.64
2010 - Q1,106011.0,70117.0,59000.0,11117.0,35895.0,2867.0,13571.0,5.55
2010 - Q2,82317.0,37363.0,26665.0,10698.0,44954.0,2563.0,12592.0,6.55
2010 - Q3,120013.0,78453.0,68924.0,9529.0,41560.0,2628.0,11641.0,4.79
2010 - Q4,150441.0,93991.0,84328.0,9663.0,56450.0,4097.0,15812.0,2.47
2011 - Q1,123659.0,60364.0,53031.0,7333.0,63295.0,3885.0,13844.0,2.47
2011 - Q2,99950.0,47610.0,40413.0,7197.0,52340.0,2005.0,10468.0,3.44
2011 - Q3,171909.0,120202.0,119989.0,213.0,51708.0,1416.0,10342.0,4.17
2011 - Q4,135497.0,70463.0,70122.0,341.0,65034.0,1353.0,13007.0,3.7
2012 - Q1,143558.0,77073.0,76848.0,225.0,66485.0,1653.0,13297.0,4.17
2012 - Q2,164562.0,99911.0,99828.0,83.0,64651.0,3365.0,12930.0,2.11
2012 - Q3,187105.0,119797.0,119734.0,63.0,67309.0,3998.0,13462.0,1.5
2012 - Q4,175348.0,109069.0,101011.0,8058.0,66280.0,1478.0,13256.0,5.41
2013 - Q1,194496.0,127556.0,116026.0,11530.0,66940.0,1464.0,13388.0,4.24
2013 - Q2,169915.0,102665.0,92722.0,9943.0,67250.0,858.0,13450.0,7.92
2013 - Q3,170464.0,107792.0,94364.0,13428.0,62671.0,652.0,12534.0,10.89
2013 - Q4,158156.0,93319.0,79973.0,13346.0,64837.0,1186.0,12967.0,5.4
2014 - Q1,231831.0,167188.0,158714.0,8474.0,64644.0,923.0,12929.0,8.89
2014 - Q2,270679.0,209011.0,200050.0,8961.0,61668.0,1228.0,12334.0,6.44
2014 - Q3,260979.0,196487.0,185200.0,11287.0,64492.0,1542.0,12898.0,5.71
2014 - Q4,228918.0,163413.0,136391.0,27022.0,65504.0,1378.0,13101.0,6.39
2015 - Q1,252825.0,186786.0,185953.0,833.0,66039.0,1622.0,13208.0,5.49
2015 - Q2,246329.0,176233.0,175212.0,1021.0,70095.0,2196.0,14019.0,5.01
2015 - Q3,309356.0,243527.0,243527.0,0.0,65829.0,1788.0,13166.0,5.59
2015 - Q4,388717.0,320216.0,320216.0,0.0,68501.0,2014.0,13700.0,5.11
2016 - Q1,317787.0,232839.0,232839.0,0.0,84948.0,1960.0,13146.0,4.49
2016 - Q2,313058.0,225594.0,225594.0,0.0,87464.0,1568.0,13535.0,4.97
2016 - Q3,377245.0,284638.0,284081.0,557.0,92607.0,2249.0,12796.0,3.56
2016 - Q4,351925.0,260305.0,259840.0,465.0,91621.0,1465.0,12660.0,4.85
2017 - Q1,320821.0,228711.0,228614.0,97.0,92109.0,1155.0,12728.0,5.72
2017 - Q2,342982.0,248711.0,248614.0,97.0,94270.0,1063.0,13026.0,5.46
2017 - Q3,345555.0,248481.0,248384.0,97.0,97074.0,623.0,12195.0,7.86
2017 - Q4,376519.0,277899.0,277899.0,0.0,98619.0,1068.0,12389.0,4.59
2018 - Q1,390491.0,291420.0,291420.0,0.0,99071.0,1034.0,12446.0,5.13
2018 - Q2,326730.0,233185.0,233185.0,0.0,93544.0,848.0,11751.0,6.13
2018 - Q3,294887.0,199188.0,199188.0,0.0,95699.0,764.0,12022.0,6.54
2018 - Q4,357201.0,260285.0,260285.0,0.0,96916.0,723.0,12175.0,6.08
2019 - Q1,260547.0,161253.0,161253.0,0.0,99294.0,989.0,12474.0,4.45
2019 - Q2,261542.0,167184.0,167184.0,0.0,94358.0,768.0,11884.0,5.73
