Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2007,66749.0,41905.0,41905.0,0.0,24845.0,3460.0,12422.0,0.0
2008,63811.0,33026.0,33026.0,0.0,30785.0,3528.0,13385.0,2.18
2009,102708.0,67285.0,67285.0,0.0,35424.0,3210.0,13393.0,5.08
2010,150522.0,97941.0,90577.0,7364.0,52581.0,3244.0,14729.0,3.11
2011,135652.0,72404.0,72063.0,341.0,63248.0,1535.0,12842.0,3.26
2012,173280.0,110013.0,101955.0,8058.0,63267.0,1326.0,12846.0,6.03
2013,153690.0,90404.0,77058.0,13346.0,63286.0,1136.0,12850.0,5.63
2014,228999.0,165221.0,138198.0,27023.0,63778.0,1232.0,12950.0,7.14
2015,397467.0,324225.0,323736.0,489.0,73242.0,1924.0,14648.0,5.35
2016,351823.0,260328.0,260231.0,97.0,91495.0,1467.0,12643.0,4.83
2017,379442.0,280912.0,280912.0,0.0,98530.0,1062.0,12378.0,4.61
2018,357515.0,260376.0,260376.0,0.0,97139.0,745.0,12203.0,5.91
2019,300053.0,203899.0,203899.0,0.0,96154.0,512.0,12110.0,6.64
2020,485930.0,389007.0,378332.0,10675.0,96923.0,762.0,12207.0,6.04
2021,530548.0,431874.0,422951.0,8923.0,98674.0,860.0,12606.0,9.89
2022,511994.0,411659.0,404648.0,7011.0,100335.0,767.0,12711.0,7.95
