Date,Sales
Q1/2008,26203734357
Q2/2008,19903517943
Q3/2008,14691147219
Q4/2008,47451751127
Q1/2009,17288486076
Q2/2009,21249771732
Q3/2009,19609135598
Q4/2009,72317030746
Q1/2010,40523763133
Q2/2010,16888541754
Q3/2010,38534434076
Q4/2010,153794214112
Q1/2011,35939760906
Q2/2011,37590108681
Q3/2011,74053962338
Q4/2011,104331712455
Q1/2012,61663710326
Q2/2012,43657693876
Q3/2012,56024931334
Q4/2012,93383205695
Q1/2013,78803505906
Q2/2013,42476286083
Q3/2013,54702214069
Q4/2013,92448105142
Q1/2014,23716356472
Q2/2014,61697760306
Q3/2014,151289720208
Q4/2014,117169561696
Q1/2015,94328544826
Q2/2015,144864385982
Q3/2015,108827049961
Q4/2015,201357333505
Q1/2016,112493012047
Q2/2016,118336117339
Q3/2016,151655587323
Q4/2016,186022095862
Q1/2017,44021567260
Q2/2017,144752763883
Q3/2017,120797871060
Q4/2017,115966096819
Q1/2018,45150173448
Q2/2018,88682562782
Q3/2018,81454579226
Q4/2018,166430077127
Q1/2019,66084148828
Q2/2019,62444186372
Q3/2019,53271108196
Q4/2019,202981078249
Q1/2020,69216087026
Q2/2020,66235667789
Q3/2020,117852014010
Q4/2020,381562094856
Q1/2021,100509586131
Q2/2021,150707923733
Q3/2021,74386327741
Q4/2021,379840224031
Q1/2022,127649572974
Q2/2022,76919581268
Q3/2022,61498867019
Q4/2022,459744684955
Q1/2023,58669927385
Q2/2023,133951238045
Q3/2023,85441258163
