Item,Q4 2006,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,30447178777.0,65698651839.0,39575980849.0,37025040822.0,34922720296.0,61541033966.0,59503489265.0,43987899022.0,63987649871.0,99108441817.0,84193459280.0,59287684514.0,98149820771.0,128761634425.0,101448080882.0,75693595126.0,147912092128.0,111387353613.0,119853399408.0,141773408656.0,163329093122.0,151715675790.0,170963735944.0,147064458348.0,146976883766.0,134296354906.0,207887513274.0,246661135003.0,237392740700.0,205216563816.0,229630581637.0,222868260994.0,306123549417.0,385353710293.0,314975579854.0,309704559605.0,375168427754.0,350140524415.0,319081463202.0,342041660765.0,344269939750.0,375465906851.0,389592839291.0,325135645338.0,294102511986.0,356597381093.0,260093123578.0,261506685976.0,276037879404.0,298417001005.0,274722828309.0,230837452118.0,299542609429.0,464800189825.0,459428660228.0,391928678821.0,351554874875.0,513320182061.0,361264515594.0,359698434267.0,497086674187.0,319733046807.0,305530756001.0,298524739138.0
I. Tiền và các khoản tương đương tiền,3099510315.0,16147841352.0,1637956740.0,2798287745.0,2337581488.0,3969334676.0,7408935796.0,1965157791.0,525491271.0,1638275854.0,2429901691.0,1453047996.0,3373540299.0,5161646895.0,8411741509.0,14820224434.0,7771940218.0,25272401741.0,5259627690.0,5100962030.0,6102673808.0,17711864046.0,7116992247.0,7800487915.0,9252926915.0,7082036434.0,36785581912.0,42400269347.0,9847609407.0,35589085184.0,24902779511.0,34294444517.0,8214337152.0,20101588668.0,33845922709.0,25135584611.0,58633654456.0,15626771265.0,16377397254.0,14597888623.0,11237825332.0,25602604906.0,10333182200.0,3045032267.0,24397832994.0,51593552033.0,25155881897.0,27982115991.0,14444459202.0,49630001274.0,28970354683.0,12978431804.0,20688094161.0,63596411839.0,22257202467.0,36378545295.0,26886453603.0,106304228550.0,23975992968.0,49740508046.0,83997735329.0,2366241154.0,15127525016.0,12264674081.0
1. Tiền,3099510315.0,16147841352.0,1637956740.0,2798287745.0,,3969334676.0,,1965157791.0,525491271.0,,2429901691.0,1453047996.0,3373540299.0,5161646895.0,2092401509.0,6320224434.0,4271940218.0,9272401741.0,4259627690.0,3850962030.0,3447173808.0,12486364046.0,5091492247.0,2370783415.0,7452926915.0,7082036434.0,7785581912.0,34891881544.0,4988539969.0,19856648370.0,21731102047.0,12867242430.0,3474317867.0,19773175668.0,12359598859.0,14565470247.0,46275795943.0,7143625121.0,7894251110.0,10261176489.0,6901113198.0,23434254906.0,10333182200.0,3045032267.0,24397832994.0,51593552033.0,11993995452.0,24820229546.0,14077579202.0,35205890274.0,22970354683.0,8478431804.0,14488094161.0,57496411839.0,22257202467.0,35626646665.0,26134554973.0,105552329920.0,23214699682.0,49740508046.0,83997735329.0,2366241154.0,15127525016.0,12264674081.0
2. Các khoản tương đương tiền,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,6319340000.0,8500000000.0,3500000000.0,16000000000.0,1000000000.0,1250000000.0,2655500000.0,5225500000.0,2025500000.0,5429704500.0,1800000000.0,0.0,29000000000.0,7508387803.0,4859069438.0,15732436814.0,3171677464.0,21427202087.0,4740019285.0,328413000.0,21486323850.0,10570114364.0,12357858513.0,8483146144.0,8483146144.0,4336712134.0,4336712134.0,2168350000.0,0.0,0.0,0.0,0.0,13161886445.0,3161886445.0,366880000.0,14424111000.0,6000000000.0,4500000000.0,6200000000.0,6100000000.0,0.0,751898630.0,751898630.0,751898630.0,761293286.0,0.0,0.0,0.0,0.0,0.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549364384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549364384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III. Các khoản phải thu ngắn hạn,14474089614.0,10249794957.0,13668938395.0,18911491091.0,17950810652.0,42747215044.0,36944619339.0,30348016475.0,46917445527.0,72370296952.0,49580678899.0,28144861625.0,37243606789.0,102268705600.0,59298247619.0,18924101867.0,78926118548.0,56214761810.0,61909300087.0,75613893173.0,70665739903.0,92547012315.0,87060268028.0,74703859171.0,58558766651.0,59551980638.0,84049953415.0,46434522218.0,77287240155.0,94238019989.0,91423631068.0,93065967485.0,118108011520.0,196371720299.0,140142688370.0,127034802921.0,155778863946.0,252785406728.0,160415006031.0,196536665311.0,227189626435.0,236265086198.0,180992998953.0,161975134919.0,126226658972.0,189033626146.0,79831387864.0,56159259074.0,87517267894.0,135520393420.0,138171794472.0,102364488001.0,129734392640.0,300891141178.0,226164986622.0,227202131830.0,205022641904.0,325775220053.0,252567815008.0,183685702254.0,315285484925.0,206899868744.0,187582410967.0,193808139083.0
