Item,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
1. Tổng doanh thu hoạt động kinh doanh,26203734357.0,19903517943.0,14691147219.0,47451751127.0,17288486076.0,21380974971.0,19609135598.0,72317030746.0,40523763133.0,16888541754.0,38556388726.0,153794214112.0,35939760906.0,37700203041.0,74053962338.0,104331712455.0,61679737599.0,43657693876.0,56024931334.0,93383205695.0,78803505906.0,42476286083.0,54702214069.0,92448105142.0,23716356472.0,61697760306.0,151289720208.0,117169561696.0,94340544826.0,144931019982.0,108827049961.0,201357333505.0,112493012047.0,118336117339.0,151655587323.0,186022095862.0,44021567260.0,144752763883.0,120797871060.0,115966096819.0,45150173448.0,88682562782.0,81454579226.0,166430077127.0,66084148828.0,62444186372.0,53271108196.0,202981078249.0,69216087026.0,66235667789.0,117852014010.0,381562094856.0,100509586131.0,150707923733.0,74386327741.0,379840224031.0,127649572974.0,76919581268.0,61498867019.0,459744684955.0,58669927385.0,133951238045.0,85441258163.0
2. Các khoản giảm trừ doanh thu,0.0,0.0,0.0,0.0,0.0,131203239.0,0.0,0.0,0.0,0.0,21954650.0,0.0,0.0,110094360.0,0.0,0.0,16027273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,66634000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Doanh thu thuần (1)-(2),26203734357.0,19903517943.0,14691147219.0,47451751127.0,17288486076.0,21249771732.0,19609135598.0,72317030746.0,40523763133.0,16888541754.0,38534434076.0,153794214112.0,35939760906.0,37590108681.0,74053962338.0,104331712455.0,61663710326.0,43657693876.0,56024931334.0,93383205695.0,78803505906.0,42476286083.0,54702214069.0,92448105142.0,23716356472.0,61697760306.0,151289720208.0,117169561696.0,94328544826.0,144864385982.0,108827049961.0,201357333505.0,112493012047.0,118336117339.0,151655587323.0,186022095862.0,44021567260.0,144752763883.0,120797871060.0,115966096819.0,45150173448.0,88682562782.0,81454579226.0,166430077127.0,66084148828.0,62444186372.0,53271108196.0,202981078249.0,69216087026.0,66235667789.0,117852014010.0,381562094856.0,100509586131.0,150707923733.0,74386327741.0,379840224031.0,127649572974.0,76919581268.0,61498867019.0,459744684955.0,58669927385.0,133951238045.0,85441258163.0
4. Giá vốn hàng bán,21114427989.0,14454570476.0,10884259294.0,34893727972.0,11297125379.0,15447979646.0,15519380869.0,55583620903.0,34782047415.0,12711994482.0,31640162370.0,126103112910.0,27262136774.0,29919322771.0,68460011281.0,82041631213.0,51019323821.0,32725398578.0,47337938060.0,77971197586.0,69459309766.0,34007997783.0,46201468573.0,79546907366.0,16902033107.0,53540182429.0,137841223441.0,104320143382.0,83125642708.0,131809297631.0,96644773085.0,180928487926.0,99875117497.0,108971722982.0,133670154245.0,172087571152.0,35470306588.0,132912327680.0,105283609605.0,98997909031.0,38496612180.0,71433169772.0,66807396894.0,148443249818.0,58189457538.0,60816514168.0,44843455180.0,189358923259.0,57736752043.0,60712909704.0,107922371145.0,367843071987.0,92576618898.0,141816892304.0,66227521292.0,365002236345.0,120020874670.0,69403499076.0,53741843046.0,440638852813.0,55304672658.0,122190924985.0,78110501282.0
5. Lợi nhuận gộp (3)-(4),5089306368.0,5448947467.0,3806887925.0,12558023155.0,5991360697.0,5801792086.0,4089754729.0,16733409843.0,5741715718.0,4176547272.0,6894271706.0,27691101202.0,8677624132.0,7670785910.0,5593951057.0,22290081242.0,10644386505.0,10932295298.0,8686993274.0,15412008109.0,9344196140.0,8468288300.0,8500745496.0,12901197776.0,6814323365.0,8157577877.0,13448496767.0,12849418314.0,11202902118.0,13055088351.0,12182276876.0,20428845579.0,12617894550.0,9364394357.0,17985433078.0,13934524710.0,8551260672.0,11840436203.0,15514261455.0,16968187788.0,6653561268.0,17249393010.0,14647182332.0,17986827309.0,7894691290.0,1627672204.0,8427653016.0,13622154990.0,11479334983.0,5522758085.0,9929642865.0,13719022869.0,7932967233.0,8891031429.0,8158806449.0,14837987686.0,7628698304.0,7516082192.0,7757023973.0,19105832142.0,3365254727.0,11760313060.0,7330756881.0
6. Doanh thu hoạt động tài chính,177713167.0,30985898.0,34309237.0,30030520.0,59673681.0,108819572.0,4635201.0,33450975.0,75063041.0,156869250.0,534364991.0,133728670.0,845301233.0,217046518.0,127465971.0,833971954.0,216983868.0,211680698.0,113135129.0,161787909.0,20146725.0,378287506.0,52903497.0,228346171.0,345898228.0,533354759.0,197330921.0,84599376.0,72570077.0,132975244.0,83464183.0,482743024.0,337988677.0,420274925.0,209289141.0,204140770.0,170552674.0,153142597.0,71717813.0,96585731.0,40060147.0,17408272.0,6434239.0,13353818.0,244666779.0,194478510.0,42725212.0,100135411.0,103337415.0,129844057.0,54964609.0,230846014.0,42105626.0,388352662.0,10444080.0,25147683.0,84181719.0,438292680.0,16705334.0,598546489.0,39809018.0,571658815.0,7968330.0
7. Chi phí tài chính,12211378.0,175935726.0,194527739.0,629905853.0,801034172.0,1065831516.0,218737719.0,2491338495.0,970058688.0,2184722494.0,1081756618.0,3176236005.0,1842472585.0,7140246197.0,1086199682.0,2863286489.0,1049926375.0,1421618195.0,862298697.0,1375460999.0,530842347.0,1419611927.0,848327545.0,470646225.0,412708403.0,1559237600.0,561791169.0,490612947.0,706573950.0,1598031864.0,2977668095.0,4189737944.0,2651595272.0,3685078753.0,2248286175.0,4498352658.0,2123405669.0,3583417101.0,3040288548.0,3050109529.0,1291282233.0,3323324040.0,1453541838.0,1349534595.0,440578597.0,360700951.0,2960130.0,368014301.0,325347969.0,322527079.0,79727152.0,850066865.0,993080356.0,2883755088.0,943968239.0,2127655848.0,687573116.0,2224249788.0,718453395.0,2429316965.0,913318059.0,1001799508.0,1185230645.0
Trong đó: Chi phí lãi vay,4659200.0,167706667.0,193068816.0,130162948.0,0.0,0.0,187860748.0,595593657.0,607998688.0,720773149.0,631988159.0,1487427300.0,808766058.0,978928296.0,1053415934.0,1984568705.0,662997472.0,1353109455.0,848755049.0,1299476770.0,467968339.0,1212717213.0,714029632.0,284354663.0,397811139.0,1070597873.0,541297202.0,362537518.0,687055517.0,1485491133.0,1853053608.0,4016775501.0,2253731570.0,3637190776.0,2242009896.0,3960569885.0,2107386860.0,3579083208.0,3035414438.0,3044711191.0,1282149491.0,3297672822.0,1387890281.0,1274501904.0,440578597.0,273648490.0,0.0,367915700.0,212365937.0,322527079.0,78312141.0,843612809.0,989080356.0,2885956052.0,943855178.0,1650226754.0,687573116.0,1722498874.0,682601346.0,2338287204.0,913318059.0,1001685108.0,1181159565.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,587098118.0,1385277053.0,662875559.0,1515651712.0,807732669.0,819209053.0,700050598.0,1225419562.0,1128185432.0,802020587.0,1006519083.0,1722718132.0,1269656831.0,2023313579.0,1611359206.0,1569795359.0,1139199653.0,950620778.0,940922327.0,1858721676.0,1162455492.0,943738279.0,1247738815.0,1094293953.0,804196915.0,1273048973.0,1338027404.0,1919039024.0,1558425358.0,1808440675.0,1437783699.0,2357082810.0,1893142469.0,1641817110.0,2461003904.0,2986939001.0,1539726865.0,1695738427.0,1627936863.0,2068021264.0,1649791893.0,1636400891.0,1422410387.0,1647325439.0,1294898355.0,1024616189.0,1165099294.0,1381390654.0,1325383128.0,523984645.0,795953487.0,1492718641.0,1058659728.0,964749466.0,265968652.0,779141940.0,505587626.0,533204402.0,653803203.0,648371983.0,573799864.0,303631676.0,377778288.0
10. Chi phí quản lý doanh nghiệp,2578508842.0,2251315418.0,2529742364.0,3921908035.0,2600038380.0,3107910808.0,3061850581.0,5975066057.0,3303658940.0,4008005650.0,4071312682.0,7703695059.0,5806611435.0,3553420936.0,4049800616.0,6481652856.0,5409998146.0,4319178117.0,4088536847.0,13391156967.0,4560027631.0,2339538459.0,4811765253.0,9511126940.0,4821973741.0,3775627370.0,5880715970.0,9495573250.0,6051341233.0,4108067673.0,6888444436.0,11903591947.0,5927167033.0,3552011617.0,5565862384.0,8529214613.0,4378674918.0,2756159245.0,5311571753.0,9897650893.0,3069376196.0,9374561461.0,9099123222.0,13623381477.0,3411775606.0,437482472.0,6258867116.0,9816383036.0,7730512448.0,3865023898.0,7494714478.0,8500005431.0,4503241801.0,3811936947.0,5787066011.0,9108320129.0,4732608174.0,4787559446.0,5903316653.0,13939935824.0,3821549380.0,8548479384.0,5177386162.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),2089201197.0,1667405168.0,454051500.0,6520588075.0,1842229157.0,917660281.0,113751032.0,7075036704.0,414875699.0,-2661332209.0,1269048314.0,15222180676.0,604184514.0,-4829148284.0,-1025942476.0,12209318492.0,3262246199.0,4452558906.0,2908370532.0,-1051543624.0,3111017395.0,4143687141.0,1645817380.0,2053476829.0,1121342534.0,2083018693.0,5865293145.0,1028792469.0,2959131654.0,5673523383.0,961844829.0,2461175902.0,2483978453.0,905761802.0,7919569756.0,-1875840792.0,680005894.0,3958264027.0,5606182104.0,2048991833.0,683171093.0,2932514890.0,2678541124.0,1379939616.0,2992105511.0,-648898.0,1043451688.0,2156502410.0,2201428853.0,941066520.0,1614212357.0,3107077946.0,1420090974.0,1618942590.0,1172247627.0,2848017452.0,1787111107.0,409361236.0,498156056.0,2686753859.0,-1903603558.0,2478061307.0,598330116.0
