Period,Lưu chuyển tiền thuần trong kỳ
Q1 2008,-14509884612.0
Q2 2008,1160331005.0
Q3 2008,-460706257.0
Q4 2008,1631753188.0
Q3 2009,-1439666520.0
Q1 2010,791625837.0
Q2 2010,-976853695.0
Q3 2010,1920492303.0
Q4 2010,1791265801.0
Q1 2011,-40749905386.0
Q2 2011,6410699767.0
Q3 2011,-7048284216.0
Q4 2011,17508216093.0
Q1 2012,-22012774051.0
Q2 2012,-158665660.0
Q3 2012,1001711778.0
Q4 2012,-9560500022.0
Q1 2013,-10594871799.0
Q2 2013,683212095.0
Q3 2013,1452439000.0
Q4 2013,-2171164101.0
Q1 2014,29705190982.0
Q2 2014,5612870014.0
Q3 2014,-32550842519.0
Q4 2014,25739616812.0
Q1 2015,-10698454137.0
Q2 2015,9391775330.0
Q3 2015,-26080217689.0
Q4 2015,11887251516.0
Q1 2016,13744341966.0
Q2 2016,-8710520893.0
Q3 2016,33498252640.0
Q4 2016,-43006883191.0
Q1 2017,747706134.0
Q2 2017,-1775173438.0
Q3 2017,-3364641832.0
Q4 2017,14365065178.0
Q1 2018,-15269437921.0
Q2 2018,-7288422875.0
Q3 2018,21353073669.0
Q4 2018,27195719039.0
Q1 2019,-26437705565.0
Q2 2019,2826129274.0
Q3 2019,-13537551969.0
Q4 2019,35185542072.0
Q1 2020,-19159398427.0
Q2 2020,-15991922879.0
Q3 2020,7709662357.0
Q4 2020,42908317678.0
Q1 2021,-61272834787.0
Q2 2021,14127245243.0
Q3 2021,-9497994107.0
Q4 2021,79417774947.0
Q1 2022,-84815719029.0
Q2 2022,25764382113.0
Q3 2022,-41904964427.0
Q4 2022,76162324675.0
Q1 2023,-81631494175.0
