Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2006 - Q4,528688.0,309091.0,290358.0,18733.0,219598.0,934.0,14641.0,56.73
2007 - Q1,539467.0,340335.0,320011.0,20324.0,199131.0,1245.0,13277.0,59.03
2007 - Q2,551606.0,342759.0,322141.0,20618.0,208847.0,2286.0,13924.0,22.7
2007 - Q3,625264.0,411703.0,391500.0,20203.0,213561.0,2745.0,14224.0,18.14
2007 - Q4,506781.0,212806.0,200714.0,12092.0,293974.0,2227.0,16339.0,20.43
2008 - Q1,508649.0,214447.0,207466.0,6981.0,294202.0,1853.0,16352.0,10.42
2008 - Q2,414655.0,134664.0,127918.0,6746.0,279991.0,1047.0,15562.0,11.37
2008 - Q3,389486.0,108974.0,102950.0,6024.0,280512.0,599.0,14437.0,19.52
2008 - Q4,431030.0,139962.0,127959.0,12003.0,291068.0,880.0,14981.0,10.11
2009 - Q1,449902.0,159277.0,145433.0,13844.0,290625.0,897.0,14959.0,8.13
2009 - Q2,424894.0,145114.0,133081.0,12033.0,279780.0,780.0,14507.0,13.72
2009 - Q3,416239.0,133710.0,122966.0,10744.0,282529.0,904.0,14649.0,15.26
2009 - Q4,466738.0,174031.0,167630.0,6401.0,292706.0,858.0,15065.0,15.85
2010 - Q1,490385.0,193996.0,187949.0,6047.0,296388.0,956.0,15248.0,14.22
2010 - Q2,480409.0,197506.0,192086.0,5420.0,282904.0,931.0,14565.0,27.49
2010 - Q3,508513.0,221571.0,215454.0,6117.0,286942.0,999.0,14767.0,17.61
2010 - Q4,511894.0,212593.0,207027.0,5566.0,299301.0,980.0,15405.0,14.8
2011 - Q1,516920.0,218563.0,212912.0,5651.0,298356.0,850.0,15355.0,11.3
2011 - Q2,491963.0,207671.0,203126.0,4545.0,284292.0,809.0,14622.0,8.41
2011 - Q3,463458.0,180756.0,173717.0,7039.0,282702.0,529.0,14541.0,22.48
2011 - Q4,642755.0,348036.0,319088.0,28948.0,294719.0,449.0,15171.0,17.39
2012 - Q1,573902.0,281219.0,239372.0,41847.0,292683.0,438.0,15065.0,19.16
2012 - Q2,619161.0,334015.0,268548.0,65467.0,285146.0,473.0,14677.0,23.68
2012 - Q3,642903.0,355616.0,292108.0,63508.0,287287.0,664.0,14786.0,11.29
2012 - Q4,663947.0,371743.0,173431.0,198312.0,292204.0,431.0,15040.0,20.9
2013 - Q1,559948.0,407690.0,105262.0,302428.0,291874.0,432.0,15022.0,18.3
2013 - Q2,610331.0,323604.0,136220.0,187384.0,286727.0,519.0,14757.0,14.26
2013 - Q3,628694.0,340596.0,154531.0,186065.0,288098.0,482.0,14828.0,14.1
2013 - Q4,634141.0,338421.0,176760.0,161661.0,295720.0,437.0,15221.0,16.94
2014 - Q1,658329.0,361211.0,201935.0,159276.0,297117.0,476.0,15292.0,19.12
2014 - Q2,670201.0,378058.0,193620.0,184438.0,292144.0,520.0,15036.0,25.97
2014 - Q3,710971.0,420580.0,256709.0,163871.0,290391.0,579.0,14945.0,24.37
2014 - Q4,808275.0,510866.0,320780.0,190086.0,297409.0,607.0,15307.0,23.57
2015 - Q1,932320.0,630918.0,455834.0,175084.0,301402.0,775.0,15512.0,19.35
2015 - Q2,1167535.0,867895.0,649702.0,218193.0,299639.0,1106.0,15421.0,13.65
2015 - Q3,1279367.0,971428.0,744229.0,227199.0,307939.0,1388.0,15849.0,10.81
2015 - Q4,1453192.0,1139403.0,882105.0,257298.0,313788.0,1439.0,16155.0,10.49
2016 - Q1,1359055.0,1036982.0,771484.0,265498.0,322073.0,1675.0,16576.0,9.61
2016 - Q2,1249085.0,940396.0,657555.0,282841.0,308689.0,1599.0,15887.0,9.38
2016 - Q3,1078614.0,765910.0,474685.0,291225.0,312704.0,1410.0,16094.0,10.85
2016 - Q4,1096272.0,779385.0,489946.0,289439.0,316887.0,1322.0,16311.0,14.3
