Duration,Total Assests,Liabilities,Short-term Liabilities,Long-term Liabilities,Owner's Equity,EPS,BVPS,PE
2005,322434.0,175326.0,166820.0,8506.0,147108.0,0.0,12259.0,0.0
2006,532250.0,314982.0,298408.0,16574.0,217268.0,3566.0,14486.0,14.86
2007,500747.0,206788.0,196676.0,10112.0,293958.0,2039.0,16338.0,22.31
2008,475928.0,186044.0,171925.0,14119.0,289884.0,1048.0,15032.0,8.49
2009,467727.0,174885.0,170958.0,3927.0,292842.0,855.0,15178.0,15.91
2010,511894.0,212593.0,207027.0,5566.0,299301.0,991.0,15520.0,14.63
2011,644605.0,351995.0,321588.0,30407.0,292610.0,456.0,15175.0,17.1
2012,631871.0,340101.0,186485.0,153616.0,291770.0,406.0,15130.0,22.14
2013,640781.0,344427.0,186033.0,158394.0,296355.0,444.0,15367.0,16.67
2014,783451.0,486143.0,310199.0,175944.0,297308.0,609.0,15415.0,23.49
2015,1419762.0,1106486.0,856580.0,249906.0,313276.0,1435.0,16128.0,10.52
2016,1061405.0,744475.0,452593.0,291882.0,316930.0,1304.0,16313.0,14.44
2017,1846215.0,1518672.0,1059620.0,459052.0,327544.0,1629.0,16638.0,13.51
2018,2343131.0,2016787.0,963488.0,1053299.0,326344.0,1685.0,16656.0,10.21
2019,2295573.0,1971480.0,972450.0,999030.0,324093.0,926.0,16679.0,16.53
2020,2096537.0,1768334.0,941147.0,827187.0,328203.0,930.0,16892.0,20.76
2021,2313265.0,1985097.0,980940.0,1004157.0,328168.0,682.0,16890.0,27.7
2022,2475298.0,2144956.0,1170454.0,974502.0,330342.0,786.0,17002.0,23.28
