Date,Sales
Q4/2006,211893709157
Q1/2007,139672266222
Q2/2007,187658105150
Q3/2007,245071764286
Q4/2007,204676275833
Q1/2008,103953838134
Q2/2008,140018221660
Q3/2008,97943368624
Q4/2008,145863266134
Q1/2009,77345450394
Q2/2009,92154751042
Q3/2009,72020759249
Q4/2009,157602862971
Q1/2010,107269833770
Q2/2010,119695815627
Q3/2010,116561887537
Q4/2010,203680172016
Q1/2011,71662626503
Q2/2011,109014291672
Q3/2011,92284961203
Q4/2011,289613370221
Q1/2012,55381313160
Q2/2012,70480409550
Q3/2012,93384021877
Q4/2012,255881086999
Q1/2013,38941064792
Q2/2013,161309841136
Q3/2013,104795641714
Q4/2013,220986679943
Q1/2014,80116403397
Q2/2014,118760241284
Q3/2014,162395123375
Q4/2014,214296215702
Q1/2015,216817642269
Q2/2015,422715008552
Q3/2015,384832504928
Q4/2015,603412516221
Q1/2016,416108422329
Q2/2016,360971148799
Q3/2016,236245414514
Q4/2016,263428585820
Q1/2017,178866067483
Q2/2017,542786091293
Q3/2017,504803836296
Q4/2017,498581043059
Q1/2018,219338240860
Q2/2018,304140823716
Q3/2018,610059628536
Q4/2018,510612060870
Q1/2019,230033044798
Q2/2019,239665192964
Q3/2019,204268990397
Q4/2019,526208478942
Q1/2020,143041639670
Q2/2020,233505646888
Q3/2020,232267661608
Q4/2020,471283363133
Q1/2021,158376873762
Q2/2021,203619499083
Q3/2021,292571616555
Q4/2021,450735520239
Q1/2022,227590944505
Q2/2022,290243777486
Q3/2022,311816946402
Q4/2022,652593312548
Q1/2023,237930919458
Q2/2023,241965163531
Q3/2023,114794358030
