tradingTime,lastPrice
2023-12-19,17.5
2023-12-18,17.5
2023-12-15,17.3
2023-12-14,17.2
2023-12-13,17.2
2023-12-12,16.7
2023-12-11,17.8
2023-12-08,17.8
2023-12-07,17.8
2023-12-06,17.8
2023-12-05,17.8
2023-12-04,17.8
2023-12-01,17.5
2023-11-30,17.2
2023-11-29,17.2
2023-11-28,17.2
2023-11-27,17.2
2023-11-24,16.2
2023-11-23,18.0
2023-11-22,18.0
2023-11-21,18.0
2023-11-20,17.1
2023-11-17,17.1
2023-11-16,17.1
2023-11-15,17.1
2023-11-14,17.1
2023-11-13,16.5
2023-11-10,16.5
2023-11-09,16.3
2023-11-08,16.3
2023-11-07,17.9
2023-11-06,16.6
2023-11-03,16.0
2023-11-02,15.9
2023-11-01,15.9
2023-10-31,15.9
2023-10-30,15.4
2023-10-27,15.4
2023-10-26,16.0
2023-10-25,16.9
2023-10-24,16.7
2023-10-23,16.7
2023-10-20,16.4
2023-10-19,15.9
2023-10-18,15.9
2023-10-17,15.7
2023-10-16,15.2
2023-10-13,15.2
2023-10-12,15.2
2023-10-11,15.0
2023-10-10,15.0
2023-10-09,15.0
2023-10-06,14.5
2023-10-05,14.5
2023-10-04,14.9
2023-10-03,14.7
2023-10-02,15.2
2023-09-29,14.7
2023-09-28,15.1
2023-09-27,16.3
2023-09-26,15.9
2023-09-25,17.2
2023-09-22,17.5
2023-09-21,17.8
2023-09-20,17.8
2023-09-19,17.3
2023-09-18,18.0
2023-09-15,17.6
2023-09-14,17.6
2023-09-13,17.9
2023-09-12,18.0
2023-09-11,19.0
2023-09-08,18.6
2023-09-07,18.6
2023-09-06,18.6
2023-09-05,18.6
2023-08-31,18.6
2023-08-30,18.9
2023-08-29,19.0
2023-08-28,18.9
2023-08-25,18.9
2023-08-24,18.6
2023-08-23,18.5
2023-08-22,18.5
2023-08-21,18.1
2023-08-18,18.1
2023-08-17,18.7
2023-08-16,18.8
2023-08-15,19.3
2023-08-14,19.1
2023-08-11,19.1
2023-08-10,19.0
2023-08-09,19.2
2023-08-08,19.1
2023-08-07,18.8
2023-08-04,18.8
2023-08-03,18.7
2023-08-02,18.8
2023-08-01,18.1
2023-07-31,19.2
2023-07-28,18.9
2023-07-27,18.9
2023-07-26,18.9
2023-07-25,19.2
2023-07-24,17.65
2023-07-21,18.04
2023-07-20,18.33
2023-07-19,18.23
2023-07-18,17.94
2023-07-17,17.75
2023-07-14,18.72
2023-07-13,18.33
2023-07-12,17.65
2023-07-11,17.84
2023-07-10,18.33
2023-07-07,18.33
2023-07-06,17.84
2023-07-05,18.23
2023-07-04,18.42
2023-07-03,18.42
2023-06-30,18.42
2023-06-29,18.91
2023-06-28,19.68
2023-06-27,19.88
2023-06-26,20.17
2023-06-23,21.14
2023-06-22,21.82
2023-06-21,20.95
2023-06-20,20.95
2023-06-19,20.36
2023-06-16,20.95
2023-06-15,21.14
2023-06-14,20.36
2023-06-13,20.07
2023-06-12,20.56
2023-06-09,20.56
2023-06-08,19.78
2023-06-07,19.3
2023-06-06,17.55
2023-06-05,19.49
2023-06-02,19.01
2023-06-01,20.95
2023-05-31,20.95
2023-05-30,19.1
2023-05-29,17.75
2023-05-26,16.19
2023-05-25,16.1
2023-05-24,16.1
2023-05-23,15.9
2023-05-22,15.22
2023-05-19,15.03
2023-05-18,15.52
2023-05-17,15.52
2023-05-16,16.48
2023-05-15,15.71
2023-05-12,15.22
2023-05-11,15.32
2023-05-10,15.42
2023-05-09,15.42
2023-05-08,14.64
2023-05-05,16.0
2023-05-04,14.93
2023-04-28,14.93
2023-04-27,15.9
2023-04-26,15.81
2023-04-25,15.52
2023-04-24,15.52
2023-04-21,15.52
2023-04-20,14.84
2023-04-19,14.93
2023-04-18,15.13
2023-04-17,15.13
2023-04-14,15.13
2023-04-13,15.81
2023-04-12,15.71
2023-04-11,15.71
2023-04-10,15.71
2023-04-07,15.71
2023-04-06,16.48
2023-04-05,16.29
2023-04-04,16.0
2023-04-03,16.0
2023-03-31,15.42
2023-03-30,15.32
2023-03-29,15.32
2023-03-28,15.9
2023-03-27,15.52
2023-03-24,15.22
2023-03-23,14.93
2023-03-22,14.93
2023-03-21,15.61
2023-03-20,14.84
2023-03-17,15.52
2023-03-16,15.13
2023-03-15,15.71
2023-03-14,15.71
2023-03-13,16.29
2023-03-10,16.39
2023-03-09,16.19
2023-03-08,16.29
2023-03-07,15.61
2023-03-06,16.0
2023-03-03,15.42
2023-03-02,15.42
2023-03-01,16.48
2023-02-28,16.48
2023-02-27,16.48
2023-02-24,16.48
2023-02-23,16.48
2023-02-22,16.0
2023-02-21,16.0
2023-02-20,16.68
2023-02-17,16.68
2023-02-16,17.36
2023-02-15,15.81
2023-02-14,15.42
2023-02-13,14.06
2023-02-10,15.22
2023-02-09,16.48
2023-02-08,16.39
2023-02-07,15.71
2023-02-06,16.97
2023-02-03,17.75
2023-02-02,16.68
2023-02-01,17.45
2023-01-31,18.62
2023-01-30,19.01
2023-01-27,19.49
2023-01-19,19.39
2023-01-18,19.39
2023-01-17,17.65
2023-01-16,18.42
2023-01-13,19.3
2023-01-12,19.3
2023-01-11,18.33
2023-01-10,20.27
2023-01-09,18.42
2023-01-06,18.52
2023-01-05,17.75
2023-01-04,17.75
2023-01-03,17.75
2022-12-30,17.75
2022-12-29,18.33
2022-12-28,18.23
2022-12-27,17.75
2022-12-26,17.75
2022-12-23,17.75
2022-12-22,17.75
2022-12-21,16.48
2022-12-20,18.13
2022-12-19,18.33
2022-12-16,17.75
2022-12-15,17.75
2022-12-14,18.13
2022-12-13,16.87
2022-12-12,17.94
2022-12-09,19.3
2022-12-08,18.42
2022-12-07,18.04
2022-12-06,18.13
2022-12-05,18.13
2022-12-02,18.62
2022-12-01,18.62
2022-11-30,19.3
2022-11-29,19.2
2022-11-28,18.42
2022-11-25,18.23
2022-11-24,19.2
2022-11-23,18.13
2022-11-22,18.04
2022-11-21,19.98
2022-11-18,20.27
2022-11-17,22.5
2022-11-16,21.72
2022-11-15,20.56
2022-11-14,22.79
2022-11-11,24.24
2022-11-10,22.3
2022-11-09,23.27
2022-11-08,23.85
2022-11-07,24.05
2022-11-04,23.66
2022-11-03,23.85
2022-11-02,24.34
2022-11-01,26.96
2022-10-31,24.53
2022-10-28,27.25
2022-10-27,25.31
2022-10-26,23.56
2022-10-25,24.05
2022-10-24,23.27
2022-10-21,23.27
2022-10-20,23.27
2022-10-19,23.27
2022-10-18,23.76
2022-10-17,25.02
2022-10-14,23.66
2022-10-13,23.95
2022-10-12,24.15
2022-10-11,23.37
2022-10-10,25.89
2022-10-07,25.89
2022-10-06,28.7
2022-10-05,28.8
