Item,Q4 2005,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023
TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Tài sản lưu động và đầu tư ngắn hạn,231493368255.0,433597000932.0,437120865887.0,452015589712.0,525359106997.0,402964684657.0,394370639749.0,299710695225.0,282068988372.0,301839267400.0,348707250367.0,320510702383.0,320898897019.0,374849396167.0,400139671625.0,387912632363.0,417152167835.0,412817728663.0,420648705222.0,397131570280.0,370182519859.0,549183745867.0,423528702001.0,415250433509.0,463581373532.0,455470404884.0,346174789671.0,364725430062.0,412522742068.0,420092503686.0,442374840701.0,453435619507.0,493175714884.0,582612456267.0,703645714811.0,879746887509.0,1034586003034.0,1204657798316.0,1106736264320.0,959621727321.0,817790873986.0,832768632947.0,818312550775.0,1037680365356.0,1698033092842.0,1582747541480.0,1531955777568.0,1326055527552.0,1391638132222.0,1165960771759.0,1162876230069.0,903871853945.0,877226346498.0,1092831387904.0,1065243655435.0,931384708769.0,1071365308573.0,985660532382.0,930919791317.0,764056129607.0,768337973088.0,1150127787330.0,1035326174862.0,986057433844.0,961129256088.0,1094165014391.0,1112321591394.0,1020180234627.0,996429755805.0
I. Tiền và các khoản tương đương tiền,16820071927.0,63465511662.0,12308515184.0,16443431981.0,70697665330.0,40730366456.0,23570129419.0,15969447198.0,4977850683.0,14957501912.0,78165161294.0,84693074369.0,67953182277.0,81173502826.0,54530734054.0,39199661627.0,35350246511.0,90943948377.0,98570436863.0,60916205158.0,32841743118.0,20546447930.0,85053760431.0,47152795934.0,59185654080.0,61605403884.0,35034281758.0,28220080837.0,42986959339.0,56816303651.0,58280063114.0,50206629567.0,51377447596.0,59702657888.0,57608298252.0,73344592326.0,119600565206.0,175746676020.0,150251408197.0,173339217617.0,135952520805.0,180027021209.0,89393580073.0,88287085918.0,126099765453.0,164567258370.0,84613530173.0,167934649513.0,127644798284.0,130935470431.0,161728415231.0,50805324599.0,72108809356.0,68949329210.0,43564274725.0,79674310731.0,136096631800.0,188153308358.0,256541342371.0,70609641891.0,46659284698.0,179086810431.0,129086459105.0,124231653772.0,97848425137.0,202153522721.0,149295528788.0,92173892674.0,67297626092.0
1. Tiền,,,,,,,,,,,,34393074369.0,,,20430734054.0,18864009354.0,12863704911.0,13432897947.0,14751982852.0,12712096047.0,14320819501.0,15546447930.0,85053760431.0,35325124268.0,59185654080.0,61605403884.0,10927079664.0,16087960444.0,17446808043.0,34179517173.0,12349313028.0,20642981883.0,24506266496.0,21283324555.0,30417719079.0,39233755241.0,86489728121.0,107935838935.0,77990571112.0,101528380532.0,67141683720.0,115003827897.0,31575386761.0,44521721995.0,74339765453.0,98107258370.0,40133530173.0,137014649513.0,97402798284.0,93193470431.0,130686415231.0,35149324599.0,58737809356.0,55576879895.0,29452271645.0,65253740465.0,121673419562.0,123726666689.0,232169230702.0,48233869668.0,46659284698.0,127084347417.0,127083996091.0,119214607303.0,91823833965.0,194111816594.0,141263498500.0,86143552418.0,60221021606.0
2. Các khoản tương đương tiền,,,,,,,,,,,,50300000000.0,,,34100000000.0,20335652273.0,22486541600.0,77511050430.0,83818454011.0,48204109111.0,18520923617.0,5000000000.0,0.0,11827671666.0,0.0,0.0,24107202094.0,12132120393.0,25540151296.0,22636786478.0,45930750086.0,29563647684.0,26871181100.0,38419333333.0,27190579173.0,34110837085.0,33110837085.0,67810837085.0,72260837085.0,71810837085.0,68810837085.0,65023193312.0,57818193312.0,43765363923.0,51760000000.0,66460000000.0,44480000000.0,30920000000.0,30242000000.0,37742000000.0,31042000000.0,15656000000.0,13371000000.0,13372449315.0,14112003080.0,14420570266.0,14423212238.0,64426641669.0,24372111669.0,22375772223.0,0.0,52002463014.0,2002463014.0,5017046469.0,6024591172.0,8041706127.0,8032030288.0,6030340256.0,7076604486.0
II. Các khoản đầu tư tài chính ngắn hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700000000.0,4172900000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,25000000.0,29400000.0,29400000.0,29400000.0,29400000.0,19040000.0,30520000.0,30520000.0,42560000.0,42560000.0,42560000.0,42560000.0,66920000.0,66920000.0,66920000.0,66920000.0,66920000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,60200000.0,48720000.0,48720000.0,48720000.0,54600000.0,57400000.0,57400000.0,57400000.0,61600000.0,72900000.0,72900000.0,72900000.0,50072900000.0,72900000.0,72900000.0,72900000.0,72900000.0,1098491790.0,72900000.0
1. Chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,72900000.0,,,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0,72900000.0
2. Dự phòng giảm giá chứng khoán kinh doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-47900000.0,,,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-47900000.0,-43500000.0,-43500000.0,-43500000.0,-43500000.0,-53860000.0,-42380000.0,-42380000.0,-30340000.0,-30340000.0,-30340000.0,-30340000.0,-5980000.0,-5980000.0,-5980000.0,-5980000.0,-5980000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12700000.0,-24180000.0,-24180000.0,-24180000.0,-18300000.0,-15500000.0,-15500000.0,-15500000.0,-11300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3. Đầu tư nắm giữ đến ngày đáo hạn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000000000.0,0.0,0.0,0.0,0.0,1025591790.0,0.0
III. Các khoản phải thu ngắn hạn,148743178232.0,194152365150.0,204643405063.0,187606632568.0,202936265277.0,164127829897.0,167978312961.0,149444061860.0,141582201703.0,164212958600.0,142578736415.0,115171518137.0,106647437059.0,153629725050.0,184494314412.0,169775426425.0,197551497333.0,206220452058.0,150906470149.0,148858605459.0,138591830074.0,410639210628.0,207305166949.0,208076535328.0,229042326624.0,212548618701.0,185850817512.0,210193429617.0,238864260774.0,234437083849.0,239841941797.0,250889519380.0,263127376540.0,329307674468.0,387767113323.0,506726388125.0,579945142237.0,673298299651.0,653913950898.0,493512172001.0,416920649903.0,399065314191.0,390521470680.0,661693930677.0,1293404066706.0,1154856134235.0,1094423961222.0,768093532116.0,919288469297.0,688830979080.0,700809359933.0,547403064334.0,487649141894.0,747621076762.0,765075715346.0,603668653330.0,658988916914.0,587511207562.0,418095756422.0,378326364606.0,445911211441.0,691869966449.0,578174544755.0,524728504957.0,480640368181.0,544258481318.0,534602155898.0,529698255195.0,454974431330.0
