Item,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023
1. Tổng doanh thu hoạt động kinh doanh,213047222912.0,140481446222.0,187938421950.0,246651411919.0,205818553033.0,104046926134.0,145855758910.0,100410554624.0,147651514134.0,77347650394.0,92293768091.0,72222565649.0,157741477765.0,107311413770.0,119846968127.0,119722617009.0,203850411751.0,72086588403.0,109114058752.0,92300219203.0,290755190248.0,55404877680.0,70647637550.0,93391061877.0,256767236881.0,38941064792.0,161321093136.0,104839318745.0,221283383843.0,80124449797.0,119162860284.0,164352853375.0,214296215702.0,216927418269.0,424816909172.0,384832504928.0,603412826221.0,416144575009.0,361244954119.0,236245414514.0,263428585820.0,178866067483.0,542786091293.0,504803836296.0,498581043059.0,219338240860.0,304140823716.0,610068128536.0,510620560870.0,230033044798.0,239681767964.0,205569150397.0,526208478942.0,143041639670.0,234158853288.0,232267661608.0,471758465933.0,158376873762.0,205294105448.0,292598863355.0,450779696148.0,227808365717.0,290235356274.0,312250739179.0,652811422902.0,238032343204.0
2. Các khoản giảm trừ doanh thu,1153513755.0,809180000.0,280316800.0,1579647633.0,1142277200.0,93088000.0,5837537250.0,2467186000.0,1788248000.0,2200000.0,139017049.0,201806400.0,138614794.0,41580000.0,151152500.0,3160729472.0,170239735.0,423961900.0,99767080.0,15258000.0,1141820027.0,23564520.0,167228000.0,7040000.0,886149882.0,0.0,11252000.0,43677031.0,296703900.0,8046400.0,402619000.0,1957730000.0,0.0,109776000.0,2101900620.0,0.0,310000.0,36152680.0,273805320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500000.0,8500000.0,0.0,16575000.0,1300160000.0,0.0,0.0,653206400.0,0.0,475102800.0,0.0,1674606365.0,27246800.0,44175909.0,217421212.0,-8421212.0,433792777.0,218110354.0,101423746.0
3. Doanh thu thuần (1)-(2),211893709157.0,139672266222.0,187658105150.0,245071764286.0,204676275833.0,103953838134.0,140018221660.0,97943368624.0,145863266134.0,77345450394.0,92154751042.0,72020759249.0,157602862971.0,107269833770.0,119695815627.0,116561887537.0,203680172016.0,71662626503.0,109014291672.0,92284961203.0,289613370221.0,55381313160.0,70480409550.0,93384021877.0,255881086999.0,38941064792.0,161309841136.0,104795641714.0,220986679943.0,80116403397.0,118760241284.0,162395123375.0,214296215702.0,216817642269.0,422715008552.0,384832504928.0,603412516221.0,416108422329.0,360971148799.0,236245414514.0,263428585820.0,178866067483.0,542786091293.0,504803836296.0,498581043059.0,219338240860.0,304140823716.0,610059628536.0,510612060870.0,230033044798.0,239665192964.0,204268990397.0,526208478942.0,143041639670.0,233505646888.0,232267661608.0,471283363133.0,158376873762.0,203619499083.0,292571616555.0,450735520239.0,227590944505.0,290243777486.0,311816946402.0,652593312548.0,237930919458.0
4. Giá vốn hàng bán,173300980353.0,121840788774.0,155947209834.0,218359026447.0,186291662295.0,97588975824.0,122501474969.0,83456603626.0,126888494711.0,66993011289.0,79666687533.0,56139521838.0,129743181112.0,91537300771.0,103863945137.0,95978476473.0,170435696693.0,58439799560.0,94628681998.0,78404237038.0,258111674698.0,45582238194.0,57466824972.0,80495284187.0,232425451056.0,25300166642.0,142556177920.0,87417056211.0,198134704030.0,64128521587.0,96793725095.0,139952177743.0,182251549883.0,180383527975.0,365970177882.0,328522715969.0,520314769198.0,356667494195.0,307771668042.0,195261350159.0,216643831733.0,145060346829.0,481248409597.0,444094877666.0,427207062885.0,183292963954.0,253451669555.0,537620383070.0,473099914597.0,200996360538.0,199779632405.0,169888171567.0,463834530737.0,115643603018.0,202390447642.0,202048910300.0,411855278431.0,132018784704.0,171981089954.0,261984133233.0,393016742833.0,201830838782.0,249433986836.0,275473616248.0,591292219476.0,211597197350.0
5. Lợi nhuận gộp (3)-(4),38592728804.0,17831477448.0,31710895316.0,26712737839.0,18384613538.0,6364862310.0,17516746691.0,14486764998.0,18974771423.0,10352439105.0,12488063509.0,15881237411.0,27859681859.0,15732532999.0,15831870490.0,20583411064.0,33244475323.0,13222826943.0,14385609674.0,13880724165.0,31501695523.0,9799074966.0,13013584578.0,12888737690.0,23455635943.0,13640898150.0,18753663216.0,17378585503.0,22851975913.0,15987881810.0,21966516189.0,22442945632.0,32044665819.0,36434114294.0,56744830670.0,56309788959.0,83097747023.0,59440928134.0,53199480757.0,40984064355.0,46784754087.0,33805720654.0,61537681696.0,60708958630.0,71373980174.0,36045276906.0,50689154161.0,72439245466.0,37512146273.0,29036684260.0,39885560559.0,34380818830.0,62373948205.0,27398036652.0,31115199246.0,30218751308.0,59428084702.0,26358089058.0,31638409129.0,30587483322.0,57718777406.0,25760105723.0,40809790650.0,36343330154.0,61301093072.0,26333722108.0
6. Doanh thu hoạt động tài chính,129536684.0,567856448.0,279288265.0,108574912.0,1857332108.0,945658591.0,430882300.0,513583665.0,5207299045.0,220974199.0,599328520.0,1238776068.0,1661514802.0,1412181456.0,1893127798.0,1427302100.0,2010701437.0,4502121624.0,3652113342.0,1903319754.0,530926291.0,2091425963.0,1104216023.0,949845563.0,1113174311.0,748744570.0,861866007.0,428534062.0,141451911.0,779694430.0,720975957.0,418029663.0,950301458.0,424933111.0,1223179702.0,358977215.0,676218726.0,459049712.0,654401597.0,604291156.0,2466923521.0,561827780.0,885151551.0,1134959629.0,711800123.0,861538440.0,432420025.0,688585313.0,378586451.0,638979600.0,620636086.0,-29071308.0,169357269.0,27365504.0,1245492688.0,25542052.0,36439882.0,206336992.0,624285883.0,216124406.0,968637181.0,84180421.0,880174827.0,74540925.0,467020938.0,158331996.0
7. Chi phí tài chính,4790057495.0,3323205730.0,5495095553.0,8324220971.0,4950947525.0,2331818942.0,5511934312.0,6245008899.0,6005271500.0,377909896.0,2138682095.0,2592011648.0,5018564847.0,3221116421.0,4628221171.0,4265169825.0,8375822476.0,6457905051.0,5785009415.0,5494695828.0,6673149532.0,1776627457.0,3741594621.0,1822257182.0,2360568032.0,1054572611.0,2161569327.0,1450681288.0,2428990947.0,2475216001.0,2197604880.0,2007532216.0,3818599352.0,5072445555.0,4510377148.0,7261917535.0,7773474117.0,8105935185.0,8079996550.0,5781158230.0,5218385852.0,3491926504.0,5876823652.0,6004977518.0,8528612613.0,7841109089.0,9334196369.0,11445943495.0,7693526050.0,9202134543.0,10958715190.0,9142255413.0,10871706991.0,8355896742.0,10807777311.0,9377347880.0,8602919899.0,7496368139.0,9503130128.0,8069941182.0,8052907571.0,8921859092.0,13462152379.0,12301119583.0,13647121858.0,10959646105.0
Trong đó: Chi phí lãi vay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902659231.0,1586843404.0,3389920256.0,2591451283.0,4441045292.0,4169209031.0,4604756484.0,4624563993.0,5460875699.0,4700898221.0,6292489577.0,1737106129.0,3337811362.0,1404190079.0,2276613525.0,813580676.0,1888336140.0,1258651145.0,2216646961.0,2461066861.0,1995444650.0,2017843256.0,3439550598.0,4967692432.0,4313142203.0,6982199588.0,7675324900.0,8105935185.0,7575870447.0,5764413107.0,4662406481.0,3397621870.0,5453561365.0,6002123610.0,8470588442.0,7841109089.0,9137126140.0,9341173727.0,8538889437.0,9198848203.0,10675819040.0,9142255413.0,10823640380.0,8353270437.0,10795956871.0,9272376977.0,8507998975.0,7496368139.0,9280300229.0,8069941182.0,8052762821.0,8904560056.0,9565777772.0,9327876111.0,13906014447.0,10959646105.0
8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1437621115.0,0.0,0.0,0.0,-816276710.0,0.0,0.0,0.0,-301396972.0,0.0,0.0,0.0,-195163881.0,0.0,-2330857841.0,0.0,-449848478.0,0.0,-325434771.0,-200000000.0,-100000000.0,-300000000.0,-250000000.0,-100000000.0,-200000000.0,-300000000.0,-300000000.0,0.0,-200000000.0,-200000000.0,-150000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9. Chi phí bán hàng,14713176073.0,5464088644.0,5990577808.0,5881805910.0,2628842179.0,3889435649.0,4268618099.0,5028672097.0,7834899606.0,4331373728.0,5037029794.0,5285341665.0,7451434117.0,5084443219.0,5050832966.0,6706241971.0,6443745254.0,4724154389.0,4411592604.0,5584125570.0,17615020267.0,2854346162.0,5989610816.0,5113532785.0,7722095770.0,8307295570.0,6374835990.0,7893783991.0,8457617256.0,5929226643.0,6566973989.0,11391908312.0,12408265019.0,16075483584.0,28784376340.0,30030720471.0,49663656625.0,27520218974.0,19588008947.0,18194668702.0,19114138808.0,10082108165.0,26366528800.0,24480236041.0,30743344705.0,7884906057.0,12509243991.0,28598883239.0,-363328749.0,2367908840.0,7781064266.0,7154426597.0,14635850817.0,6077752848.0,8914440858.0,7480018525.0,14799100808.0,5871165707.0,6056422450.0,6530874865.0,18177362989.0,1807393519.0,7045309375.0,4694751382.0,9712729571.0,3457775735.0
