Period,Lưu chuyển tiền thuần trong kỳ
Q3 2009,-16739892092.0
Q1 2010,-27257968772.0
Q2 2010,-15444229833.0
Q3 2010,-3849415116.0
Q1 2011,7626488486.0
Q2 2011,-37654231705.0
Q3 2011,-28074462040.0
Q4 2011,-12295295188.0
Q1 2012,64507312501.0
Q2 2012,-37890813724.0
Q3 2012,12022707373.0
Q4 2012,2419749804.0
Q1 2013,-26571145077.0
Q2 2013,-6796722258.0
Q3 2013,14749399839.0
Q4 2013,13843482993.0
Q1 2014,1461339340.0
Q2 2014,-8073433547.0
Q3 2014,1170818029.0
Q4 2014,8325210292.0
Q1 2015,-2094359635.0
Q2 2015,15736294073.0
Q3 2015,46255972881.0
Q4 2015,56146110814.0
Q1 2016,-25471163695.0
Q2 2016,23084972859.0
Q3 2016,-37383860251.0
Q4 2016,44074500404.0
Q1 2017,-90633441136.0
Q2 2017,-1202991609.0
Q3 2017,37909176989.0
Q4 2017,38467492917.0
Q1 2018,-79968476339.0
Q2 2018,83319537067.0
Q3 2018,-40288268956.0
Q4 2018,3290672147.0
Q1 2019,30788622417.0
Q2 2019,-110923090632.0
Q3 2019,21298676326.0
Q4 2019,-3154729875.0
Q1 2020,-25980966269.0
Q2 2020,36110036006.0
Q3 2020,56422321069.0
Q4 2020,52056676558.0
Q1 2021,68117516935.0
Q2 2021,-185930478354.0
Q3 2021,-23951443662.0
Q4 2021,132427390076.0
Q1 2022,35803786544.0
Q2 2022,-40655603387.0
Q3 2022,-26386793128.0
Q4 2022,104305097584.0
Q1 2023,-51859098084.0
Q2 2023,-57118828453.0
Q3 2023,-24879073968.0
